Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,100,111.8041858,119.0057313,127.7952231,133.7683667,132.8832092,138.7086655,145.6107414,146.5224819,149.8959752,..
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.4291232,105.5303817,107.5751604,109.3241873,113.1518549,112.7362286,115.0592696,117.3927402,119.0492584,120.9789119
Algeria,DZA,Consumer price index (2010 = 100),FP.CPI.TOTL,100,104.5242115,113.8179305,117.5218381,120.9498642,126.7366464,134.8448702,142.3842032,148.4639947,151.3616678,155.0172502
American Samoa,ASM,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Consumer price index (2010 = 100),FP.CPI.TOTL,100,113.4824679,125.1460881,136.1311793,146.0420564,159.4054479,208.3354491,270.5102195,323.6076093,378.8837215,..
Antigua and Barbuda,ATG,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.4567497,106.9503604,108.0834972,109.2610037,110.3197357,109.7797892,112.4501693,113.8076204,115.4366126,116.1592339
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,Consumer price index (2010 = 100),FP.CPI.TOTL,100,107.6500081,110.4037169,116.7957253,120.2777664,124.7661613,123.014934,124.2076293,127.337952,129.1760073,130.7408917
Aruba,ABW,Consumer price index (2010 = 100),FP.CPI.TOTL,100,104.3162974,104.970853,102.4808759,102.9127722,103.4013646,102.4384952,101.3851388,105.061406,109.5343554,..
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.3038502,105.1248699,107.7003122,110.3798127,112.0447451,113.4755463,115.6867846,117.8980229,119.7970864,120.8116545
Austria,AUT,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.2865791,105.8539485,107.9711927,109.7050069,110.6885818,111.6754721,113.9997392,116.277887,118.0579801,119.6894358
Azerbaijan,AZE,Consumer price index (2010 = 100),FP.CPI.TOTL,100,107.8583333,109.0083333,111.6416667,113.175,117.7333333,132.3833333,149.5083333,152.9,156.8915643,161.2214726
"Bahamas, The",BHS,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.1987814,105.2352727,105.9955079,107.6000217,109.6029778,109.2233384,110.8815748,113.3939999,116.2189112,116.26368
Bahrain,BHR,Consumer price index (2010 = 100),FP.CPI.TOTL,100,99.5999593,102.3463253,105.7237659,108.5228588,110.5290422,113.6092583,115.1846987,117.5893744,118.7721119,116.0193231
Bangladesh,BGD,Consumer price index (2010 = 100),FP.CPI.TOTL,100,111.3951652,118.3211643,127.2312288,136.1267769,144.5588509,152.5291403,161.2264589,170.1642434,179.6798217,189.9055347
Barbados,BRB,Consumer price index (2010 = 100),FP.CPI.TOTL,100,109.4322024,114.3931445,116.4683555,118.5292668,117.210285,118.7128367,124.245074,128.8096071,134.0911741,..
Belarus,BLR,Consumer price index (2010 = 100),FP.CPI.TOTL,100,153.2286983,243.970329,288.6468125,340.9483285,387.0939452,432.9126326,459.0252181,481.3903139,508.3392944,536.5426883
Belgium,BEL,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.5320821,106.4720448,107.6571808,108.0232183,108.6296921,110.7738822,113.1289026,115.4516256,117.1104572,117.9780019
Belize,BLZ,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Consumer price index (2010 = 100),FP.CPI.TOTL,100,102.7042391,109.631314,110.1015105,109.4973201,109.7368848,108.8655189,110.791799,111.5061885,110.7200402,114.0667983
Bermuda,BMU,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Consumer price index (2010 = 100),FP.CPI.TOTL,100,108.8489857,120.7349215,129.194415,139.8822914,146.2391237,150.9497423,158.428614,162.7429734,167.1810768,176.5923663
Bolivia,BOL,Consumer price index (2010 = 100),FP.CPI.TOTL,100,109.8844642,114.8464103,121.43446,128.4371005,133.6511464,138.4936139,142.4029535,145.6384339,148.3175185,149.7128039
Bosnia and Herzegovina,BIH,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.67125,105.7992833,105.7008417,104.7525,103.66724,102.0250472,102.8515861,104.3091043,104.8961374,103.7933684
Botswana,BWA,Consumer price index (2010 = 100),FP.CPI.TOTL,100,108.4598723,116.6343873,123.4978627,128.9345512,132.882568,136.6231564,141.143034,145.7132674,149.7536988,152.5845815
Brazil,BRA,Consumer price index (2010 = 100),FP.CPI.TOTL,100,106.6364496,112.3985493,119.3721044,126.9272129,138.3886146,150.4825942,155.6687862,161.3738142,167.3978603,172.7742913
British Virgin Islands,VGB,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Consumer price index (2010 = 100),FP.CPI.TOTL,100,100.1379116,100.249832,100.6400094,100.4315751,99.94112012,99.66259095,98.40633836,99.4150543,99.02681657,100.9482537
Bulgaria,BGR,Consumer price index (2010 = 100),FP.CPI.TOTL,100,104.2199035,107.2991517,108.2542145,106.7189708,106.6073072,105.7558881,107.9361475,110.9740586,114.4183932,116.3319732
Burkina Faso,BFA,Consumer price index (2010 = 100),FP.CPI.TOTL,100,102.7597672,106.6832918,107.2527016,106.9758936,107.7512966,108.2265245,109.8315227,111.9797647,108.3590229,110.4009836
Burundi,BDI,Consumer price index (2010 = 100),FP.CPI.TOTL,100,109.5921661,129.495249,139.7745276,145.932088,154.0235683,162.5837201,188.6825292,183.3716857,182.11234,195.4449782
Cabo Verde,CPV,Consumer price index (2010 = 100),FP.CPI.TOTL,100,104.4738834,107.1279342,108.7418625,108.4822107,108.6245263,107.0952925,107.9353643,109.2911963,110.5016065,111.1710206
Cambodia,KHM,Consumer price index (2010 = 100),FP.CPI.TOTL,100,105.4784475,108.5735186,111.7673444,116.0767452,117.4974456,121.0448577,124.5704532,127.6337468,130.113128,133.938838
Cameroon,CMR,Consumer price index (2010 = 100),FP.CPI.TOTL,100,102.9396995,105.7628558,107.9406048,109.9203767,112.8728191,113.8454896,114.5771444,115.8080461,118.6485883,121.5407767
Canada,CAN,Consumer price index (2010 = 100),FP.CPI.TOTL,100,102.9121351,104.4719519,105.4522038,107.4627934,108.6720092,110.2246709,111.9848311,114.5248998,116.7572982,117.5944476
Cayman Islands,CYM,Consumer price index (2010 = 100),FP.CPI.TOTL,100,101.3254358,102.530143,104.745421,106.0798558,103.5896018,102.9418991,..,..,..,..
Central African Republic,CAF,Consumer price index (2010 = 100),FP.CPI.TOTL,100,101.1944757,106.7382086,114.1979215,131.2119091,133.0527731,139.6328085,145.4704699,147.8156821,151.7850853,155.2817337
Chad,TCD,Consumer price index (2010 = 100),FP.CPI.TOTL,100,102.0292405,109.6983946,109.9426617,111.7918677,116.6851394,115.760479,113.9811251,118.8533874,117.6982047,122.9524225
Channel Islands,CHI,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Consumer price index (2010 = 100),FP.CPI.TOTL,100,103.3412169,106.4491507,108.3541174,113.4669963,118.401419,122.884326,125.5665448,128.6239518,131.913567,135.9309826
China,CHN,Consumer price index (2010 = 100),FP.CPI.TOTL,100,105.5538989,108.318909,111.1580018,113.2940602,114.9221228,117.2205674,119.0880504,121.5588779,125.0831544,128.1094436
