Country Name,Country Code,Series,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1055.5574588535,1025.20824467105,1099.10456823771,1123.87132250309,1247.75311771131,1267.64493878823,1502.35407317932,1671.58123769109,1626.76479325583,1772.7649742986,1807.76234428536,1795.73583437878,1766.59307686426,1757.0234901613,1758.46563622212,1734.72321415839,..
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,6607.76762746182,7001.05408173824,7426.11544298798,7914.03585303716,8450.91823570927,9154.71374865938,9525.37797946435,9927.63820407249,10207.7523472149,10369.5610324771,10492.6690281171,10700.9932164462,10970.3214009733,11352.1014215285,11796.7191847363,12316.0715010455,..
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,11507.4829913352,11845.1705118832,12370.8920050248,12397.4670476696,12621.6441718317,12714.8135075909,12697.6907797038,12919.4910536141,13046.1285113709,13229.0087109151,13329.7707580155,13557.7697574639,13774.758920347,13926.9104885426,13822.3890868998,13737.3560625058,..
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,4295.90856883368,4604.65704387396,5112.58920166573,5500.24253587994,6044.21715551043,6474.37642342765,6292.53485632204,6360.44193782807,6346.39512245023,6645.08562465345,6730.94582201132,6813.05210589335,6644.85725505813,6258.37662755942,6044.97203549524,5725.32723774516,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,20274.5382519488,21161.1235315004,22205.9891867516,24657.4651453771,26516.7409537933,26083.1677616184,22568.6265297858,20555.4142048045,19876.2153228796,20283.8975341342,19918.131682288,20440.5405551225,20994.7258901414,21923.7960368902,22400.3795618565,23840.7298964163,..
Arab World,ARB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,11595.9441377036,12407.2319835557,12856.6018836517,13434.0340473221,13860.4178215275,14377.8301123513,14354.8140290559,14759.0509260106,14825.909579814,15342.7954476867,15454.9682410093,..,..,..,..,..,..
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,13439.1071255147,14498.7723316514,15619.451344,16705.8696830038,18029.6825798292,18575.8877229221,17302.6541492773,18911.8231883276,19817.4504765479,19392.3097931241,19637.7553833376,18935.0024966208,19243.5794686236,18645.0918508457,18945.1440219822,18288.2445989345,..
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,4206.79947455511,4673.81650269449,5356.59645608394,6110.62482273624,7011.67412540552,7559.92654863541,6534.07715174723,6702.82936989704,7019.76774846004,7505.12457412053,7717.06096440542,7954.19533052503,8171.83235372945,8158.63479378224,8744.73136772524,9177.74415916106,..
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,37303.3326851659,39553.3740743505,39515.814603003,39612.976748349,40171.5234529023,40081.2323667298,35830.4979582943,34437.4941743467,35492.6184873268,34830.9765514284,36082.5224859839,36172.9333549571,35814.2614376623,35557.6568622291,35861.8281181686,..,..
