Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,8.47558379,6.586469715,4.896754928,3.273007828,0.876868739,0.213407395,1.275135299,0.418733053,0.852546231,-2.048033233
Algeria,DZA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,28.85422844,25.36668316,24.93954292,24.07037736,23.12556687,19.36354332,22.77843369,22.19021607,21.81636026,20.73905891
American Samoa,ASM,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-2.815262888,-1.478422246,1.247788664,-0.243830088,2.607538292,7.997221003,7.238977543,1.549669397,-4.67611705,-6.134863051
Antigua and Barbuda,ATG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,20.10035377,24.21934279,22.82005422,20.33583552,17.87774411,10.38606654,10.70920705,13.10721996,14.70703817,13.59140567
Argentina,ARG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,7.025001304,7.234323804,5.468081392,4.279201681,4.591211915,4.939187812,5.050171611,4.944988688,4.67534119,5.261859897
Armenia,ARM,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,0.778639709,-1.097625326,1.948050569,2.463121498,0.99038205,5.252540081,4.466368749,3.834393703,1.565456156,-3.781921726
Aruba,ABW,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-3.233307376,-10.47069151,-3.438339021,0.415180178,4.511939153,9.164361268,9.646101042,9.380601066,..,..
Australia,AUS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,7.375591688,8.728131846,10.3576381,9.696017071,8.214282108,7.263653913,5.298791735,6.591302598,5.970546891,6.367928062
