"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76390981674194","4.39554023742676","4.71468019485474","4.73986005783081","4.92364978790283","","4.40848016738892","4.68132019042969","","4.81504011154175","4.9992299079895","5.9247899055481","6.92926979064941","6.11913013458252","6.54905986785889","6.44295978546143","5.85128021240234","5.88826990127563","5.4913501739502","","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","","","","","","","","","","","","","","4.46733486652374","3.76910996437073","4.66841983795166","","","3.74496006965637","4.00578022003174","3.87146997451782","","4.52595520019531","","4.49659013748169","4.38598012924194","5.50903987884521","4.6217348575592","4.91695022583008","5.07900500297546","4.88108491897583","5.02312994003296","4.95163488388062","4.71929979324341","",
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.16035997867584","1.11717998981476","1.42788004875183","","1.30332005023956","","","","1.7398099899292","1.84092998504639","1.90917003154755","1.72997999191284","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4794499874115","3.4620099067688","","3.45445990562439","3.69521999359131","3.2558000087738","3.5119800567627","3.37331008911133","3.19979000091553","3.21377992630005","",
"Africa Western and Central","AFW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50674998760223","2.59340000152588","2.42614006996155","2.58843493461609","2.73821997642517","2.79026997089386","2.84207499027252","2.74145007133484","3.04492497444153","2.72311997413635","3.10942006111145","3.07808995246887","2.987459897995","3.01340007781982","3.02971005439758","3.161789894104","3.11513507366181","2.83455002307891","3.43119990825654","3.06633508205414","3.03285002708435","",
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","5.72269010543823","5.05850982666016","","","","","","","","","","","2.56712007522583","","2.60753011703491","","","","","2.12011003494263","2.28146004676819","","","","3.42131996154785","3.2437698841095","3.27847003936768","3.8720600605011","2.93055009841919","3.48690009117126","2.75494003295898","2.46688008308411","2.04469990730286","1.82117998600006","",
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44697999954224","3.81464004516602","3.08350992202759","3.37947010993958","3.53697991371155","3.59293007850647","3.4301700592041","3.45869994163513","3.11779999732971","3.13824009895325","3.22751998901367","3.28154993057251","3.1914598941803","3.27592992782593","","","","","","3.53929996490479","","3.43796992301941","3.96209001541138","3.61172008514404","","3.94576001167297","",
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71327996253967","","","","","1.65971004962921","","1.54411995410919","1.64497005939484","2.24489998817444","2.10469007492065","2.87392997741699","3.14292001724243","2.97662997245789","2.98706007003784","","2.50616002082825","3.07420992851257","3.28034996986389","3.23707008361816","3.21708989143372","3.2467200756073","3.15060997009277","",
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67072010040283","","","","4.33701992034912","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.10269999504089","",
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.4580899477005","","1.93620002269745","1.78051996231079","1.92351996898651","1.84360003471375","1.16563999652863","1.71984004974365","1.93554997444153","2.4002799987793","2.60715007781982","","1.59786999225616","1.61749994754791","2.56972002983093","1.36186003684998","1.261549949646","1.28229999542236","","1.04612004756927","1.06737995147705","","","","","","3.73198008537292","","4.03986978530884","4.52167987823486","4.58030986785889","4.833740234375","4.01734018325806","3.53504991531372","3.48652005195618","3.86000990867615","4.12821006774902","4.46260023117065","4.84440994262695","5.53105020523071","5.01971006393433","5.29062986373901","5.34582996368408","5.43661022186279","5.36144018173218","5.77611017227173","5.54548978805542","5.45431995391846","4.94551992416382","4.80237007141113","",
