Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015]
Afghanistan,AFG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.844836364,2.593520489
Albania,ALB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.112995933,3.124240985
Algeria,DZA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.4671956,4.4671956
American Samoa,ASM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,11.760709,11.760709
Andorra,AND,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.01,2.44
Angola,AGO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.57,3.57
Antigua and Barbuda,ATG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.25,2.25
Argentina,ARG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.52,5.260921791
Armenia,ARM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.854241486,2.696449093
Aruba,ABW,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.58,6.242441087
Australia,AUS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.08,5.022076247
Austria,AUT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.4,5.208314895
Azerbaijan,AZE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.9,3.001922247
"Bahamas, The",BHS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.8356,3.8356
Bahrain,BHR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.735,2.91
Bangladesh,BGD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.77803045,1.433232956
Barbados,BRB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.78,5.576369075
Belarus,BLR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.95,4.770348747
Belgium,BEL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.1,6.040945906
Belize,BLZ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.471428571,6.39
Benin,BEN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.79,2.933139279
Bermuda,BMU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.1,1.615598957
Bhutan,BTN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.05,7.030715777
Bolivia,BOL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.21,6.08
Bosnia and Herzegovina,BIH,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Botswana,BWA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,9.48,9.48
Brazil,BRA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.39,6.109572982
British Virgin Islands,VGB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Brunei Darussalam,BRN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.03,3.663453073
Bulgaria,BGR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.98,3.934358312
Burkina Faso,BFA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.23,4.31
Burundi,BDI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.36,5.175521639
Cabo Verde,CPV,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.91,5.280458821
Cambodia,KHM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.607375228,2.004175808
Cameroon,CMR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.96,2.68
Canada,CAN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5,4.93
Cayman Islands,CYM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Central African Republic,CAF,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.15,1.15
Chad,TCD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.48,1.765598482
Channel Islands,CHI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..
Chile,CHL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.23,4.928079593
China,CHN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.79,1.79
Colombia,COL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.90620083,3.385372583
Comoros,COM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.398472083,2.534845809
"Congo, Dem. Rep.",COD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.52,2.06
"Congo, Rep.",COG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.52,2.52
Costa Rica,CRI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.417877211,7.109837927
Cote d'Ivoire,CIV,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.396783684,3.362245598
Croatia,HRV,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.08,4.158008856
Cuba,CUB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,13.01,13.01
Curacao,CUW,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.018117877,5.018117877
Cyprus,CYP,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.22,6.111728646
Czech Republic,CZE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.93,5.726321564
Denmark,DNK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.94,7.025988444
Djibouti,DJI,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.802882708,7.802882708
Dominica,DMA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5,5
Dominican Republic,DOM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.910150585,2.519252247
