Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,333.9136778,280.28091,194.4843053,135.4340827,28.73379665,-1.63553485,42.52969505,6.949594664,30.97309683,-122.1210185
Algeria,DZA,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,1272.297965,1351.212333,1349.196437,1275.520674,1223.56984,775.2400903,877.0897073,885.0432692,869.9947919,790.763371
American Samoa,ASM,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,-124.8876618,-105.1683719,14.46537656,-54.71380761,93.56920761,285.9462672,215.8405775,31.61866497,-164.0584166,-175.0955076
Antigua and Barbuda,ATG,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,693.6663072,889.170175,682.0658458,530.2105235,537.2324929,648.3499665,613.5767483,684.4946289,508.8049257,487.1576658
Armenia,ARM,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,8.517826146,-58.28232637,57.14571396,83.37007546,24.77319088,182.2661201,149.4496498,141.0574625,52.02958053,-192.8317666
Aruba,ABW,Adjusted net savings per capita (current US$),NY.ADJ.SVNG.PC.CD,..,..,..,..,..,..,..,..,..,..
