Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,511.8977707,557.0807375,605.2911953,602.6518121,580.8572036,553.2653858,489.1031733,501.8283842,473.3193708,490.2323142,..
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3498.342005,3733.5752,3508.380807,3765.181415,3850.053559,3272.394147,3448.324569,3722.954182,4326.330596,4319.487639,..
Algeria,DZA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3419.213995,3983.925814,4080.39501,4053.402801,4116.277083,3292.044469,3280.32176,3313.945114,3219.975007,3114.08073,..
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1742.400607,2285.740639,2733.049877,3053.728146,3470.102913,3119.03307,2633.77617,2866.864672,2000.546817,1700.318461,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,8614.989878,10687.8064,10827.73081,10836.29317,10212.7923,11677.28869,10803.64227,12497.73051,9676.811107,8160.572029,..
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2924.465669,3164.503513,3332.075254,3562.031034,3653.790372,3241.924007,3172.823146,3522.861657,3685.765957,4024.138558,..
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,19831.32266,20055.18369,21093.23665,21960.63799,22980.21285,23868.33972,24041.90164,24369.29844,..,..,..
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,40233.32563,48283.02595,53474.85056,53920.03703,48738.74797,44352.13785,39137.30036,42036.79642,44300.56228,42151.08638,..
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39003.6633,42581.45348,39996.85954,41700.68221,42432.30127,35815.13636,37186.24832,38448.41835,41712.20127,41179.54893,..
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3834.859776,4640.948685,5148.236905,5698.291736,5988.916331,4424.790963,2997.667453,3173.625336,3359.638152,3501.650356,..
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,25770.0046,25452.39324,27202.28064,26641.05705,26501.01168,27332.32969,27696.17474,29372.05085,29629.28518,31439.33611,..
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16652.60821,16804.14397,19942.52541,20631.12382,20622.14797,18914.99813,19277.46364,20137.77731,20217.33548,19490.59179,..
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,774.8919807,850.6138121,876.3789377,972.9425027,1091.500856,1217.843462,1360.152445,1493.416108,1626.320285,1777.276295,..
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13981.61265,13623.59538,13898.56005,14052.38091,14083.91184,14086.70729,14368.71974,14808.94118,15113.48412,15641.52675,..
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4848.626567,5175.011023,5515.279097,6247.969641,6589.865124,4655.476359,3935.942586,4546.701569,4999.357416,5282.873642,..
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,36309.10588,38241.68157,36970.10815,38775.52457,39500.762,33795.26477,34512.83046,36348.29167,39098.08554,38208.4492,..
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2962.248258,3132.513645,3242.914999,3371.682194,3495.174518,3767.120163,3761.922978,3757.811863,3572.21158,3549.716206,..
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,860.4628794,948.051914,967.1574311,1076.575143,1115.485829,930.8888584,938.7206171,974.0879168,1076.952733,1058.616792,..
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1882.626514,2124.430596,2083.872635,2055.732418,2203.364683,2267.220207,2366.80928,2679.376347,2661.521424,2719.831694,..
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1593.021879,1865.17234,2025.871122,2265.980594,2466.262193,2578.920788,2650.685075,2788.369329,2936.954498,2986.569811,..
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4051.152026,4338.66764,3991.296849,4323.692679,4414.405422,3925.677262,4156.482694,4513.786801,5071.974326,5113.447455,..
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4628.933742,5904.244235,5408.419654,5342.942648,5897.807015,5149.705535,5070.479422,5545.618121,5799.849919,5617.684648,..
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9774.813616,11492.06823,10786.69029,10878.54601,10674.81531,7831.53981,7743.61781,8818.872255,7850.803551,7628.82845,..
