rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
22/03/2018 09:14,201801,London Area Airports,GATWICK,19084,18731,0,239,0,0,20,0,0,0,0,94
22/03/2018 09:14,201801,London Area Airports,HEATHROW,38100,38064,0,33,0,0,1,0,0,2,0,0
22/03/2018 09:14,201801,London Area Airports,LONDON CITY,6331,6277,409,42,0,12,0,0,0,0,0,0
22/03/2018 09:14,201801,London Area Airports,LUTON,9388,7159,0,80,0,8,34,0,6,4,0,2097
22/03/2018 09:14,201801,London Area Airports,SOUTHEND,1861,1030,94,42,13,43,4,453,193,1,0,82
22/03/2018 09:14,201801,London Area Airports,STANSTED,14376,13175,25,369,0,6,83,0,0,0,1,742
22/03/2018 09:14,201801,Miscellaneous,METRO LONDON HELIPORT,621,154,154,132,58,0,92,0,176,2,0,7
22/03/2018 09:14,201801,Non UK Reporting Airports,ALDERNEY,477,324,22,9,60,5,4,30,45,0,0,0
22/03/2018 09:14,201801,Non UK Reporting Airports,GUERNSEY,2309,1554,110,119,153,9,26,233,181,0,0,34
22/03/2018 09:14,201801,Non UK Reporting Airports,ISLE OF MAN,1627,1256,141,88,0,10,0,108,70,0,4,91
22/03/2018 09:14,201801,Non UK Reporting Airports,JERSEY,2707,1911,296,78,1,20,1,158,243,0,12,283
22/03/2018 09:14,201801,Other UK Airports,ABERDEEN,7655,6810,230,285,0,293,164,91,0,0,6,6
22/03/2018 09:14,201801,Other UK Airports,BARRA,94,94,0,0,0,0,0,0,0,0,0,0
22/03/2018 09:14,201801,Other UK Airports,BELFAST CITY (GEORGE BEST),2654,2598,36,38,0,9,0,0,7,2,0,0
22/03/2018 09:14,201801,Other UK Airports,BELFAST INTERNATIONAL,3957,3179,68,39,167,28,0,61,32,0,412,39
22/03/2018 09:14,201801,Other UK Airports,BENBECULA,262,244,104,18,0,0,0,0,0,0,0,0
22/03/2018 09:14,201801,Other UK Airports,BIGGIN HILL,2741,683,675,7,0,0,0,1314,465,0,2,270
22/03/2018 09:14,201801,Other UK Airports,BIRMINGHAM,7818,7176,105,144,162,9,271,0,54,0,2,0
22/03/2018 09:14,201801,Other UK Airports,BLACKPOOL,2230,602,70,12,0,115,0,1044,392,0,10,55
22/03/2018 09:14,201801,Other UK Airports,BOURNEMOUTH,2581,217,0,34,0,1347,365,173,312,0,12,121
22/03/2018 09:14,201801,Other UK Airports,BRISTOL,4987,4344,118,75,0,28,187,349,0,0,4,0
22/03/2018 09:14,201801,Other UK Airports,CAMBRIDGE,1032,0,0,0,220,9,0,572,74,0,26,131
22/03/2018 09:14,201801,Other UK Airports,CAMPBELTOWN,133,94,16,17,0,0,0,0,8,0,14,0
22/03/2018 09:14,201801,Other UK Airports,CARDIFF WALES,1693,1067,0,59,0,0,0,298,259,0,10,0
22/03/2018 09:14,201801,Other UK Airports,CARLISLE,96,39,39,0,5,0,0,2,2,0,12,36
22/03/2018 09:14,201801,Other UK Airports,CITY OF DERRY (EGLINTON),341,203,10,3,4,44,0,36,30,0,8,13
22/03/2018 09:14,201801,Other UK Airports,COVENTRY,1282,0,0,0,10,988,1,0,283,0,0,0
22/03/2018 09:14,201801,Other UK Airports,DONCASTER SHEFFIELD,1095,630,88,52,0,124,100,151,6,0,32,0
22/03/2018 09:14,201801,Other UK Airports,DUNDEE,1916,105,9,21,5,80,3,1583,67,0,28,24
22/03/2018 09:14,201801,Other UK Airports,DURHAM TEES VALLEY,1211,486,16,2,0,18,415,195,45,0,50,0
22/03/2018 09:14,201801,Other UK Airports,EAST MIDLANDS INTERNATIONAL,5164,4081,347,323,0,29,317,0,68,0,4,342
22/03/2018 09:14,201801,Other UK Airports,EDINBURGH,8799,8479,44,131,2,2,0,0,171,3,11,0
22/03/2018 09:14,201801,Other UK Airports,EXETER,2269,844,0,30,220,94,57,360,388,0,30,246
22/03/2018 09:14,201801,Other UK Airports,GLASGOW,6772,6141,100,116,0,47,276,173,0,0,2,17
22/03/2018 09:14,201801,Other UK Airports,GLOUCESTERSHIRE,4628,17,17,27,198,795,19,2559,911,0,7,95
22/03/2018 09:14,201801,Other UK Airports,HAWARDEN,1218,0,0,1,140,17,199,435,234,14,69,109
22/03/2018 09:14,201801,Other UK Airports,HUMBERSIDE,1263,487,8,79,28,493,99,0,43,0,16,18
22/03/2018 09:14,201801,Other UK Airports,INVERNESS,1947,1049,306,89,40,98,2,574,65,0,0,30
22/03/2018 09:14,201801,Other UK Airports,ISLAY,161,130,6,4,0,0,0,0,27,0,0,0
22/03/2018 09:14,201801,Other UK Airports,ISLES OF SCILLY (ST.MARYS),499,466,2,2,0,2,0,0,15,14,0,0
22/03/2018 09:14,201801,Other UK Airports,KIRKWALL,1096,982,113,87,2,14,2,0,7,0,0,2
22/03/2018 09:14,201801,Other UK Airports,LANDS END (ST JUST),622,431,14,15,2,116,2,8,22,0,26,0
22/03/2018 09:14,201801,Other UK Airports,LEEDS BRADFORD,2235,1849,78,89,0,173,11,0,104,0,9,0
22/03/2018 09:14,201801,Other UK Airports,LERWICK (TINGWALL),61,50,13,9,0,2,0,0,0,0,0,0
22/03/2018 09:14,201801,Other UK Airports,LIVERPOOL (JOHN LENNON),3669,2565,45,24,0,8,0,867,80,0,16,109
22/03/2018 09:14,201801,Other UK Airports,LYDD,1028,13,13,15,0,6,0,493,407,94,0,0
22/03/2018 09:14,201801,Other UK Airports,MANCHESTER,13542,12961,2,194,2,14,0,1,0,0,0,370
22/03/2018 09:14,201801,Other UK Airports,NEWCASTLE,3440,2673,5,46,0,4,1,0,474,178,58,6
22/03/2018 09:14,201801,Other UK Airports,NEWQUAY,1989,581,212,17,0,535,31,0,320,0,454,51
22/03/2018 09:14,201801,Other UK Airports,NORWICH,2427,2043,478,11,0,65,35,95,177,0,1,0
22/03/2018 09:14,201801,Other UK Airports,OXFORD (KIDLINGTON),1936,12,12,220,2,719,0,0,824,0,0,159
22/03/2018 09:14,201801,Other UK Airports,PRESTWICK,1482,238,0,19,0,512,0,417,103,0,193,0
22/03/2018 09:14,201801,Other UK Airports,SCATSTA,721,678,0,35,0,6,2,0,0,0,0,0
22/03/2018 09:14,201801,Other UK Airports,SHOREHAM,1989,42,42,5,36,65,31,1323,470,0,4,13
22/03/2018 09:14,201801,Other UK Airports,SOUTHAMPTON,3032,2709,7,111,0,2,36,0,0,0,1,173
22/03/2018 09:14,201801,Other UK Airports,STORNOWAY,907,787,159,20,14,62,0,0,22,0,2,0
22/03/2018 09:14,201801,Other UK Airports,SUMBURGH,1150,794,95,158,27,91,78,0,2,0,0,0
22/03/2018 09:14,201801,Other UK Airports,SWANSEA,393,0,0,0,0,0,0,306,87,0,0,0
22/03/2018 09:14,201801,Other UK Airports,TIREE,136,132,10,0,0,0,0,0,4,0,0,0
22/03/2018 09:14,201801,Other UK Airports,WICK JOHN O GROATS,279,172,42,54,0,10,4,2,31,0,6,0

