rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
22/03/2018 09:20,201801,1,3,Other UK Airports,ABERDEEN,6790,3095,802,226,2400,267,0
22/03/2018 09:20,201801,2,4,Non UK Reporting Airports,ALDERNEY,353,353,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BARRA,106,106,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2726,2461,232,19,13,1,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BELFAST INTERNATIONAL,3064,2440,270,0,216,138,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BENBECULA,142,142,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BIGGIN HILL,8,0,0,0,1,7,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BIRMINGHAM,7147,3248,2873,735,255,32,4
22/03/2018 09:20,201801,1,3,Other UK Airports,BLACKPOOL,532,0,0,0,532,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BOURNEMOUTH,213,28,100,26,55,4,0
22/03/2018 09:20,201801,1,3,Other UK Airports,BRISTOL,4283,2801,1180,0,267,35,0
22/03/2018 09:20,201801,1,3,Other UK Airports,CAMPBELTOWN,84,84,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,CARDIFF WALES,1082,749,227,0,98,8,0
22/03/2018 09:20,201801,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),198,114,84,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,DONCASTER SHEFFIELD,502,147,248,0,106,1,0
22/03/2018 09:20,201801,1,3,Other UK Airports,DUNDEE,96,94,0,0,0,2,0
22/03/2018 09:20,201801,1,3,Other UK Airports,DURHAM TEES VALLEY,508,349,156,0,3,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,3663,1240,1293,214,199,711,6
22/03/2018 09:20,201801,1,3,Other UK Airports,EDINBURGH,8435,5707,2332,243,86,67,0
22/03/2018 09:20,201801,1,3,Other UK Airports,EXETER,844,734,0,0,107,3,0
22/03/2018 09:20,201801,1,1,London Area Airports,GATWICK,18911,11985,4153,1841,749,174,9
22/03/2018 09:20,201801,1,3,Other UK Airports,GLASGOW,6219,4690,1215,228,86,0,0
22/03/2018 09:20,201801,2,4,Non UK Reporting Airports,GUERNSEY,1508,1356,0,0,70,82,0
22/03/2018 09:20,201801,1,1,London Area Airports,HEATHROW,38061,20695,7481,9790,14,61,20
22/03/2018 09:20,201801,1,3,Other UK Airports,HUMBERSIDE,597,143,178,0,272,4,0
22/03/2018 09:20,201801,1,3,Other UK Airports,INVERNESS,757,702,45,0,10,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,ISLAY,134,134,0,0,0,0,0
22/03/2018 09:20,201801,2,4,Non UK Reporting Airports,ISLE OF MAN,1115,961,98,0,10,46,0
22/03/2018 09:20,201801,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),464,464,0,0,0,0,0
22/03/2018 09:20,201801,2,4,Non UK Reporting Airports,JERSEY,1612,1517,53,0,2,40,0
22/03/2018 09:20,201801,1,3,Other UK Airports,KIRKWALL,920,918,0,0,2,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,LANDS END (ST JUST),417,417,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,LEEDS BRADFORD,1893,1099,786,0,1,7,0
22/03/2018 09:20,201801,1,3,Other UK Airports,LERWICK (TINGWALL),37,37,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),2524,1392,1124,0,6,1,1
22/03/2018 09:20,201801,1,1,London Area Airports,LONDON CITY,5969,3673,1793,503,0,0,0
22/03/2018 09:20,201801,1,1,London Area Airports,LUTON,7206,3323,3754,74,55,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,MANCHESTER,13054,6717,4253,1464,595,21,4
22/03/2018 09:20,201801,1,3,Other UK Airports,NEWCASTLE,2707,1774,818,62,16,2,35
22/03/2018 09:20,201801,1,3,Other UK Airports,NEWQUAY,373,331,42,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,NORWICH,1565,489,170,0,861,45,0
22/03/2018 09:20,201801,1,3,Other UK Airports,PRESTWICK,238,0,230,0,2,3,3
22/03/2018 09:20,201801,1,3,Other UK Airports,SCATSTA,672,0,0,0,672,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,SOUTHAMPTON,2800,2650,136,4,10,0,0
22/03/2018 09:20,201801,1,1,London Area Airports,SOUTHEND,937,419,518,0,0,0,0
22/03/2018 09:20,201801,1,1,London Area Airports,STANSTED,13177,2089,9943,814,295,31,5
22/03/2018 09:20,201801,1,3,Other UK Airports,STORNOWAY,666,666,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,SUMBURGH,718,532,0,0,186,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,TIREE,144,144,0,0,0,0,0
22/03/2018 09:20,201801,1,3,Other UK Airports,WICK JOHN O GROATS,140,140,0,0,0,0,0

