Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
20/04/2018 13:52:38,      201802,201702,London Area Airports,GATWICK,"2,703,532","1,626,234","107,191","1,733,425","1,793,304",-3.3390323,"898,828","71,279","970,107","861,521",12.6039876
20/04/2018 13:52:38,      201802,201702,London Area Airports,HEATHROW,"4,998,803","1,772,826","2,539","1,775,365","1,781,388",-0.3381071,"3,221,534","1,904","3,223,438","3,149,398",2.3509255
20/04/2018 13:52:38,      201802,201702,London Area Airports,LONDON CITY,"254,998","204,891",0,"204,891","203,486",0.6904652,"50,107",0,"50,107","54,491",-8.0453653
20/04/2018 13:52:38,      201802,201702,London Area Airports,LUTON,"970,895","818,832","11,646","830,478","859,695",-3.3985309,"140,417",0,"140,417","119,240",17.7599799
20/04/2018 13:52:38,      201802,201702,London Area Airports,SOUTHEND,"72,898","65,860",0,"65,860","52,940",24.4049868,"7,038",0,"7,038","6,644",5.9301626
20/04/2018 13:52:38,      201802,201702,London Area Airports,STANSTED,"1,642,733","1,495,155","24,377","1,519,532","1,405,612",8.1046548,"121,579","1,622","123,201","107,093",15.0411325
20/04/2018 13:52:38,      201802,201702,Other UK Airports,ABERDEEN,"85,818","44,914","2,785","47,699","46,358",2.8927046,"14,554","23,565","38,119","40,358",-5.5478468
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BELFAST CITY (GEORGE BEST),"3,927","2,953",629,"3,582","5,883",-39.1126976,345,0,345,0,0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BELFAST INTERNATIONAL,"101,755","80,665","10,883","91,548","84,338",8.5489341,"9,425",782,"10,207","7,218",41.4103630
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BIGGIN HILL,104,0,87,87,49,77.5510204,0,17,17,6,183.3333333
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BIRMINGHAM,"668,675","454,277","39,352","493,629","534,245",-7.6025045,"159,178","15,868","175,046","176,399",-0.7670112
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BLACKPOOL,"1,809",0,0,0,0,0.0000000,0,"1,809","1,809","1,498",20.7610147
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BOURNEMOUTH,"31,355","15,092","8,745","23,837","24,617",-3.1685421,"6,779",739,"7,518","8,601",-12.5915591
20/04/2018 13:52:38,      201802,201702,Other UK Airports,BRISTOL,"413,166","343,681","29,603","373,284","342,711",8.9209275,"37,521","2,361","39,882","44,931",-11.2372304
20/04/2018 13:52:38,      201802,201702,Other UK Airports,CARDIFF WALES,"58,639","42,518","14,704","57,222","49,660",15.2275473,820,597,"1,417","2,741",-48.3035389
20/04/2018 13:52:38,      201802,201702,Other UK Airports,CITY OF DERRY (EGLINTON),22,22,0,22,41,-46.3414634,0,0,0,0,0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,DONCASTER SHEFFIELD,"60,655","44,193","16,442","60,635","72,437",-16.2927786,5,15,20,38,-47.3684211
20/04/2018 13:52:38,      201802,201702,Other UK Airports,DUNDEE,4,0,4,4,0,0.0000000,0,0,0,0,0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,DURHAM TEES VALLEY,"7,952","7,952",0,"7,952","7,299",8.9464310,0,0,0,5,0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"188,773","164,087","15,888","179,975","196,106",-8.2256535,"5,069","3,729","8,798","7,562",16.3448823
20/04/2018 13:52:38,      201802,201702,Other UK Airports,EDINBURGH,"480,320","384,077","18,654","402,731","356,666",12.9154447,"76,472","1,117","77,589","66,517",16.6453689
20/04/2018 13:52:38,      201802,201702,Other UK Airports,EXETER,"25,510","14,378","10,571","24,949","21,160",17.9064272,561,0,561,"1,138",-50.7029877
20/04/2018 13:52:38,      201802,201702,Other UK Airports,GLASGOW,"275,175","210,366","12,539","222,905","224,711",-0.8036990,"48,909","3,361","52,270","59,696",-12.4396945
20/04/2018 13:52:38,      201802,201702,Other UK Airports,HUMBERSIDE,"10,566","9,055",68,"9,123","9,790",-6.8130746,0,"1,443","1,443","1,400",3.0714286
20/04/2018 13:52:38,      201802,201702,Other UK Airports,INVERNESS,"3,453","3,453",0,"3,453","3,509",-1.5958963,0,0,0,"1,095",0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,LEEDS BRADFORD,"169,836","159,215","1,353","160,568","159,629",0.5882390,"8,935",333,"9,268","11,032",-15.9898477
20/04/2018 13:52:38,      201802,201702,Other UK Airports,LIVERPOOL (JOHN LENNON),"259,232","234,988",469,"235,457","219,861",7.0935728,"23,381",394,"23,775","23,167",2.6244227
20/04/2018 13:52:38,      201802,201702,Other UK Airports,LYDD,11,0,11,11,28,-60.7142857,0,0,0,1,0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,MANCHESTER,"1,496,807","903,043","81,062","984,105","1,011,716",-2.7291256,"470,782","41,920","512,702","474,335",8.0885872
20/04/2018 13:52:38,      201802,201702,Other UK Airports,NEWCASTLE,"200,033","167,240",66,"167,306","168,225",-0.5462922,"32,727",0,"32,727","30,715",6.5505453
20/04/2018 13:52:38,      201802,201702,Other UK Airports,NEWQUAY,"1,357","1,357",0,"1,357","1,117",21.4861235,0,0,0,0,0.0000000
20/04/2018 13:52:38,      201802,201702,Other UK Airports,NORWICH,"19,979","11,054","2,877","13,931","13,425",3.7690875,0,"6,048","6,048","7,444",-18.7533584
20/04/2018 13:52:38,      201802,201702,Other UK Airports,PRESTWICK,"24,720","23,315","1,098","24,413","23,279",4.8713433,3,304,307,85,261.1764706
20/04/2018 13:52:38,      201802,201702,Other UK Airports,SCATSTA,"6,167",0,0,0,0,0.0000000,0,"6,167","6,167","5,900",4.5254237
20/04/2018 13:52:38,      201802,201702,Other UK Airports,SOUTHAMPTON,"50,351","45,198",641,"45,839","55,212",-16.9763819,"4,512",0,"4,512","1,519",197.0375247
20/04/2018 13:52:38,      201802,201702,Non UK Reporting Airports,GUERNSEY,883,621,262,883,628,40.6050955,0,0,0,0,0.0000000
20/04/2018 13:52:38,      201802,201702,Non UK Reporting Airports,ISLE OF MAN,"3,761","3,243",0,"3,243","2,773",16.9491525,0,518,518,487,6.3655031
20/04/2018 13:52:38,      201802,201702,Non UK Reporting Airports,JERSEY,"2,177","1,454",220,"1,674","1,684",-0.5938242,503,0,503,557,-9.6947935

