rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_this_period,total_pax_last_period,total_pax_percent
20/04/2018 15:03,201802,201702,Other UK Airports,ABERDEEN,116470,11737,128207,121608,5.426452
20/04/2018 15:03,201802,201702,Non UK Reporting Airports,ALDERNEY,2820,0,2820,2793,0.966702
20/04/2018 15:03,201802,201702,Other UK Airports,BARRA,959,0,959,1090,-12.018349
20/04/2018 15:03,201802,201702,Other UK Airports,BELFAST CITY (GEORGE BEST),170165,0,170165,167370,1.669953
20/04/2018 15:03,201802,201702,Other UK Airports,BELFAST INTERNATIONAL,280822,99,280921,309763,-9.310989
20/04/2018 15:03,201802,201702,Other UK Airports,BENBECULA,2279,0,2279,2322,-1.851852
20/04/2018 15:03,201802,201702,Other UK Airports,BIGGIN HILL,0,100,100,0,Null
20/04/2018 15:03,201802,201702,Other UK Airports,BIRMINGHAM,96080,0,96080,96985,-0.933134
20/04/2018 15:03,201802,201702,Other UK Airports,BLACKPOOL,0,0,0,888,Null
20/04/2018 15:03,201802,201702,Other UK Airports,BOURNEMOUTH,0,416,416,346,20.231214
20/04/2018 15:03,201802,201702,Other UK Airports,BRISTOL,103519,516,104035,101949,2.046121
20/04/2018 15:03,201802,201702,Other UK Airports,CAMPBELTOWN,474,0,474,494,-4.048583
20/04/2018 15:03,201802,201702,Other UK Airports,CARDIFF WALES,18628,753,19381,18872,2.697117
20/04/2018 15:03,201802,201702,Other UK Airports,CITY OF DERRY (EGLINTON),14955,0,14955,20920,-28.513384
20/04/2018 15:03,201802,201702,Other UK Airports,DONCASTER SHEFFIELD,707,30,737,813,-9.348093
20/04/2018 15:03,201802,201702,Other UK Airports,DUNDEE,1398,0,1398,1414,-1.131542
20/04/2018 15:03,201802,201702,Other UK Airports,DURHAM TEES VALLEY,2507,0,2507,1666,50.480192
20/04/2018 15:03,201802,201702,Other UK Airports,EAST MIDLANDS INTERNATIONAL,27491,283,27774,29195,-4.867272
20/04/2018 15:03,201802,201702,Other UK Airports,EDINBURGH,364054,171,364225,387344,-5.968596
20/04/2018 15:03,201802,201702,Other UK Airports,EXETER,29807,68,29875,28656,4.253908
20/04/2018 15:03,201802,201702,London Area Airports,GATWICK,276103,237,276340,304680,-9.301562
20/04/2018 15:03,201802,201702,Other UK Airports,GLASGOW,291688,0,291688,319065,-8.580383
20/04/2018 15:03,201802,201702,Other UK Airports,GLOUCESTERSHIRE,0,0,0,601,Null
20/04/2018 15:03,201802,201702,Non UK Reporting Airports,GUERNSEY,48194,2,48196,48556,-0.741412
20/04/2018 15:03,201802,201702,London Area Airports,HEATHROW,347169,0,347169,335535,3.467298
20/04/2018 15:03,201802,201702,Other UK Airports,HUMBERSIDE,1580,68,1648,1713,-3.794513
20/04/2018 15:03,201802,201702,Other UK Airports,INVERNESS,48149,0,48149,50359,-4.388491
20/04/2018 15:03,201802,201702,Other UK Airports,ISLAY,1795,0,1795,1715,4.664723
20/04/2018 15:03,201802,201702,Non UK Reporting Airports,ISLE OF MAN,54618,0,54618,56172,-2.766503
20/04/2018 15:03,201802,201702,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3291,0,3291,3142,4.742202
20/04/2018 15:03,201802,201702,Non UK Reporting Airports,JERSEY,94491,0,94491,88114,7.237215
20/04/2018 15:03,201802,201702,Other UK Airports,KIRKWALL,11012,0,11012,10470,5.176695
20/04/2018 15:03,201802,201702,Other UK Airports,LANDS END (ST JUST),2797,0,2797,2592,7.908951
20/04/2018 15:03,201802,201702,Other UK Airports,LEEDS BRADFORD,28099,0,28099,32086,-12.425980
20/04/2018 15:03,201802,201702,Other UK Airports,LERWICK (TINGWALL),221,0,221,192,15.104167
20/04/2018 15:03,201802,201702,Other UK Airports,LIVERPOOL (JOHN LENNON),75490,308,75798,78185,-3.053015
20/04/2018 15:03,201802,201702,London Area Airports,LONDON CITY,74636,0,74636,81976,-8.953840
20/04/2018 15:03,201802,201702,London Area Airports,LUTON,81968,238,82206,81533,0.825433
20/04/2018 15:03,201802,201702,Other UK Airports,MANCHESTER,181220,309,181529,175921,3.187795
20/04/2018 15:03,201802,201702,Other UK Airports,NEWCASTLE,87701,395,88096,86485,1.862751
20/04/2018 15:03,201802,201702,Other UK Airports,NEWQUAY,19192,0,19192,17399,10.305190
20/04/2018 15:03,201802,201702,Other UK Airports,NORWICH,8216,48,8264,9042,-8.604291
20/04/2018 15:03,201802,201702,Other UK Airports,PRESTWICK,0,144,144,394,-63.451777
20/04/2018 15:03,201802,201702,Other UK Airports,SCATSTA,0,7330,7330,6668,9.928014
20/04/2018 15:03,201802,201702,Other UK Airports,SOUTHAMPTON,83969,132,84101,83292,0.971282
20/04/2018 15:03,201802,201702,London Area Airports,SOUTHEND,5993,0,5993,1072,459.048507
20/04/2018 15:03,201802,201702,London Area Airports,STANSTED,88915,0,88915,139402,-36.216841
20/04/2018 15:03,201802,201702,Other UK Airports,STORNOWAY,9664,0,9664,8901,8.572071
20/04/2018 15:03,201802,201702,Other UK Airports,SUMBURGH,11595,4887,16482,14271,15.492958
20/04/2018 15:03,201802,201702,Other UK Airports,TIREE,674,0,674,668,0.898204
20/04/2018 15:03,201802,201702,Other UK Airports,WICK JOHN O GROATS,1226,0,1226,1339,-8.439134

