rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,ABERDEEN,254237,248554,2.286425,254237,248392,2.353135,0,162,Null
8/10/2018 12:01:47 PM,201804,201704,Non UK Reporting Airports,ALDERNEY,4096,4629,-11.514366,4096,4629,-11.514366,0,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BARRA,1402,1338,4.783259,1402,1338,4.783259,0,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BELFAST CITY (GEORGE BEST),204267,217699,-6.169987,203961,217699,-6.310548,306,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BELFAST INTERNATIONAL,498574,499007,-0.086772,498574,499007,-0.086772,0,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BENBECULA,2721,2812,-3.236131,2721,2788,-2.403156,0,24,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BIGGIN HILL,124,9,1277.777778,124,9,1277.777778,0,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BIRMINGHAM,962715,1063571,-9.482771,962676,1063293,-9.462773,39,278,-85.971223
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BLACKPOOL,2297,1504,52.726064,2297,1504,52.726064,0,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BOURNEMOUTH,64431,63469,1.515701,64431,63469,1.515701,0,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,BRISTOL,703428,673997,4.366637,702940,673440,4.380494,488,557,-12.387792
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,CAMPBELTOWN,651,657,-0.913242,645,657,-1.826484,6,0,Null
8/10/2018 12:01:47 PM,201804,201704,Other UK Airports,CARDIFF WALES,105117,95780,9.748382,104874,95780,9.494675,243,0,Null
