rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),3663,3663,0,3685,3685,0,-0.59701
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,BIRMINGHAM,9096,9096,0,11307,11307,0,-19.55426
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,BRISTOL,979,979,0,1217,1217,0,-19.55629
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,CARDIFF WALES,758,758,0,681,681,0,11.3069
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,DONCASTER SHEFFIELD,15,15,0,0,0,0,0
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,DURHAM TEES VALLEY,1880,1812,68,1342,1342,0,40.08942
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,EAST MIDLANDS INTERNATIONAL,22,22,0,0,0,0,0
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,HUMBERSIDE,1853,1853,0,1767,1767,0,4.86701
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,JERSEY,0,0,0,49,49,0,-100
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,KIRKWALL,4751,4751,0,3875,3875,0,22.60645
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,LEEDS BRADFORD,370,370,0,384,384,0,-3.64583
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,MANCHESTER,18207,18207,0,17028,17028,0,6.92389
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,NEWCASTLE,936,936,0,986,986,0,-5.07099
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,NORWICH,3585,3585,0,3250,3250,0,10.30769
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,SCATSTA,8565,0,8565,7582,0,7582,12.96492
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,1275,1275,0,598,598,0,113.2107
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,STORNOWAY,738,738,0,371,371,0,98.92183
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,SUMBURGH,13208,7994,5214,10969,8911,2058,20.41207
10/08/2018 12:02,201804,201704,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,658,658,0,494,494,0,33.19838
10/08/2018 12:02,201804,201704,Other Reporting Airports,ALDERNEY,GUERNSEY,2430,2430,0,2672,2672,0,-9.05689
10/08/2018 12:02,201804,201704,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,1666,1666,0,1957,1957,0,-14.8697
10/08/2018 12:02,201804,201704,Other Reporting Airports,ANGLESEY (VALLEY),CARDIFF WALES,1299,1299,0,845,845,0,53.72781
10/08/2018 12:02,201804,201704,Other Reporting Airports,BARRA,GLASGOW,1402,1402,0,1338,1338,0,4.78326
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,24295,24295,0,22295,22295,0,8.97062
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,5944,5944,0,3883,3883,0,53.07752
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,13095,13095,0,12845,12845,0,1.94628
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,12375,12318,57,14695,14695,0,-15.78768
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,3396,3396,0,3504,3504,0,-3.08219
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,11925,11925,0,13347,13347,0,-10.65408
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,3355,3355,0,3202,3202,0,4.77826
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ISLE OF MAN,679,679,0,697,697,0,-2.5825
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,14229,14229,0,13397,13397,0,6.21035
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),3197,3197,0,3523,3523,0,-9.25348
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,24202,24202,0,24531,24531,0,-1.34116
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWCASTLE,590,590,0,0,0,0,0
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWQUAY,0,0,0,325,325,0,-100
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,10763,10763,0,10045,10045,0,7.14783
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,19648,19648,0,21900,21900,0,-10.28311
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,21018,21018,0,22004,22004,0,-4.481
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,CARDIFF WALES,0,0,0,84,0,84,-100
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,28468,28468,0,23792,23792,0,19.65367
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,23798,23798,0,26445,26445,0,-10.00945
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,2027,2027,0,2449,2449,0,-17.23152
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),42553,42553,0,44062,44062,0,-3.42472
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,28936,28936,0,24131,24131,0,19.91215
10/08/2018 12:02,201804,201704,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,22793,22793,0,23624,23624,0,-3.51761
10/08/2018 12:02,201804,201704,Other Reporting Airports,BENBECULA,GLASGOW,2186,2186,0,2196,2196,0,-0.45537
10/08/2018 12:02,201804,201704,Other Reporting Airports,BENBECULA,INVERNESS,0,0,0,20,20,0,-100
10/08/2018 12:02,201804,201704,Other Reporting Airports,BENBECULA,MANCHESTER,0,0,0,77,77,0,-100
10/08/2018 12:02,201804,201704,Other Reporting Airports,BENBECULA,STORNOWAY,535,535,0,572,572,0,-6.46853
10/08/2018 12:02,201804,201704,Other Reporting Airports,BIGGIN HILL,EAST MIDLANDS INTERNATIONAL,39,0,39,0,0,0,0
10/08/2018 12:02,201804,201704,Other Reporting Airports,BIRMINGHAM,BRISTOL,33,33,0,0,0,0,0
10/08/2018 12:02,201804,201704,Other Reporting Airports,BIRMINGHAM,EDINBURGH,21487,21487,0,20090,20090,0,6.95371
10/08/2018 12:02,201804,201704,Other Reporting Airports,BIRMINGHAM,GLASGOW,19689,19689,0,16442,16442,0,19.74821
10/08/2018 12:02,201804,201704,Other Reporting Airports,BIRMINGHAM,GUERNSEY,1896,1896,0,2687,2687,0,-29.43803
