rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_freight_passenger_aircraft_this_period,total_freight_passenger_aircraft_last_period,total_freight_passenger_aircraft_percent_change,total_freight_cargo_aircraft_this_period,total_freight_cargo_aircraft_last_period,total_freight_cargo_aircraft_percent_change,total_freight_this_period,total_freight_last_period,total_freight_percent_change
10/08/2018 11:53:07,201804,201704,London Area Airports,  GATWICK,8787.714000,7142.211000,23.000000,0.000000,0.000000,0.000000,8787.714000,7142.211000,23.000000
10/08/2018 11:53:07,201804,201704,London Area Airports,  HEATHROW,133498.502000,129716.632000,3.000000,7678.540000,8262.865000,-7.000000,141177.042000,137979.497000,2.000000
10/08/2018 11:53:07,201804,201704,London Area Airports,  LONDON CITY,0.238000,6.064000,0.000000,0.000000,0.000000,0.000000,0.238000,6.064000,0.000000
10/08/2018 11:53:07,201804,201704,London Area Airports,  LUTON,19.418000,9.097000,111.000000,1758.838000,1651.247000,7.000000,1778.256000,1660.344000,7.000000
10/08/2018 11:53:07,201804,201704,London Area Airports,  STANSTED,0.000000,0.000000,0.000000,18350.261000,18602.571000,-1.000000,18350.261000,18602.571000,-1.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  ABERDEEN,160.654000,146.113000,10.000000,304.583000,327.845000,-7.000000,465.237000,473.958000,-2.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  BARRA,1.139000,1.121000,0.000000,0.000000,0.000000,0.000000,1.139000,1.121000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  BELFAST CITY (GEORGE BEST),20.615000,25.429000,-16.000000,0.000000,0.000000,0.000000,20.615000,25.429000,-16.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  BELFAST INTERNATIONAL,1.357000,0.000000,0.000000,2075.582000,0.000000,0.000000,2076.939000,0.000000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  BIRMINGHAM,1343.004000,2341.495000,-43.000000,1167.887000,1094.759000,7.000000,2510.891000,3436.254000,-27.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  BRISTOL,1.007000,0.783000,0.000000,0.000000,0.000000,0.000000,1.007000,0.783000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  CARDIFF WALES,0.000000,0.018000,0.000000,12.810000,0.000000,0.000000,12.810000,0.018000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  DONCASTER SHEFFIELD,0.350000,0.906000,0.000000,1360.935000,554.569000,145.000000,1361.285000,555.475000,145.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,0.000000,0.082000,0.000000,26086.934000,24037.063000,9.000000,26086.934000,24037.145000,9.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  EDINBURGH,8.438000,19.352000,-58.000000,1554.279000,1546.025000,1.000000,1562.717000,1565.377000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  GLASGOW,1330.971000,864.405000,54.000000,81.517000,66.301000,24.000000,1412.488000,930.706000,52.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  HUMBERSIDE,8.338000,7.110000,14.000000,0.877000,0.888000,0.000000,9.215000,7.998000,13.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  ISLAY,24.587000,22.115000,14.000000,0.000000,0.000000,0.000000,24.587000,22.115000,14.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),3.600000,4.700000,-20.000000,1.400000,1.400000,0.000000,5.000000,6.100000,-17.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  KIRKWALL,2.771000,2.805000,0.000000,0.000000,0.023000,0.000000,2.771000,2.828000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  LANDS END (ST JUST),3.500000,4.700000,-20.000000,1.400000,1.400000,0.000000,4.900000,6.100000,-17.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  LEEDS BRADFORD,1.193000,1.917000,-50.000000,0.000000,0.000000,0.000000,1.193000,1.917000,-50.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  LIVERPOOL (JOHN LENNON),4.752000,11.248000,-55.000000,0.045000,0.000000,0.000000,4.797000,11.248000,-55.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  MANCHESTER,8964.640000,8483.418000,6.000000,263.841000,563.337000,-53.000000,9228.481000,9046.755000,2.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  NEWCASTLE,492.112000,350.541000,40.000000,38.061000,39.373000,-3.000000,530.173000,389.914000,36.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  NEWQUAY,0.000000,1.306000,0.000000,0.000000,0.000000,0.000000,0.000000,1.306000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  NORWICH,0.000000,26.406000,0.000000,0.000000,0.000000,0.000000,0.000000,26.406000,0.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  PRESTWICK,0.080000,0.045000,0.000000,1181.276000,803.825000,47.000000,1181.356000,803.870000,47.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  SCATSTA,39.898000,38.059000,5.000000,0.000000,0.000000,0.000000,39.898000,38.059000,5.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  SOUTHAMPTON,18.124000,14.043000,29.000000,0.120000,0.000000,0.000000,18.244000,14.043000,29.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  STORNOWAY,18.668000,9.730000,90.000000,0.000000,0.000000,0.000000,18.668000,9.730000,90.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  SUMBURGH,34.418000,23.207000,48.000000,0.000000,0.000000,0.000000,34.418000,23.207000,48.000000
10/08/2018 11:53:07,201804,201704,Other UK Airports,  TIREE,1.118000,0.882000,0.000000,0.000000,0.000000,0.000000,1.118000,0.882000,0.000000
10/08/2018 11:53:07,201804,201704,Non UK Reporting Airports,  ALDERNEY,8.415000,9.038000,-11.000000,0.000000,0.219000,0.000000,8.415000,9.257000,-11.000000
10/08/2018 11:53:07,201804,201704,Non UK Reporting Airports,  GUERNSEY,19.756000,19.427000,5.000000,46.745000,56.318000,-16.000000,66.501000,75.745000,-12.000000
10/08/2018 11:53:07,201804,201704,Non UK Reporting Airports,  ISLE OF MAN,4.642000,10.057000,-50.000000,3.403000,4.424000,-25.000000,8.045000,14.481000,-43.000000
10/08/2018 11:53:07,201804,201704,Non UK Reporting Airports,  JERSEY,13.791000,12.989000,8.000000,0.000000,83.529000,0.000000,13.791000,96.518000,-86.000000

