rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
09/08/2018 15:44,201805,HEATHROW,78342511,286113393,76914839,276667981
09/08/2018 15:44,201805,GATWICK,45670255,286113393,44722023,276667981
09/08/2018 15:44,201805,MANCHESTER,27803902,286113393,26777692,276667981
09/08/2018 15:44,201805,STANSTED,26530575,286113393,24742238,276667981
09/08/2018 15:44,201805,LUTON,16122631,286113393,15511854,276667981
09/08/2018 15:44,201805,EDINBURGH,13657420,286113393,12760606,276667981
09/08/2018 15:44,201805,BIRMINGHAM,12714324,286113393,12290597,276667981
09/08/2018 15:44,201805,GLASGOW,9830166,286113393,9604552,276667981
09/08/2018 15:44,201805,BRISTOL,8344128,286113393,7926230,276667981
09/08/2018 15:44,201805,BELFAST INTERNATIONAL,5839415,286113393,5578234,276667981
09/08/2018 15:44,201805,NEWCASTLE,5327098,286113393,5035160,276667981
09/08/2018 15:44,201805,LIVERPOOL (JOHN LENNON),4956370,286113393,4802752,276667981
09/08/2018 15:44,201805,EAST MIDLANDS INTERNATIONAL,4867133,286113393,4745719,276667981
09/08/2018 15:44,201805,LONDON CITY,4582758,286113393,4564318,276667981
09/08/2018 15:44,201805,LEEDS BRADFORD,4009303,286113393,3799362,276667981
09/08/2018 15:44,201805,ABERDEEN,3120847,286113393,2995355,276667981
09/08/2018 15:44,201805,BELFAST CITY (GEORGE BEST),2558983,286113393,2613138,276667981
09/08/2018 15:44,201805,SOUTHAMPTON,2067556,286113393,2036581,276667981
09/08/2018 15:44,201805,CARDIFF WALES,1511504,286113393,1384492,276667981
09/08/2018 15:44,201805,DONCASTER SHEFFIELD,1301386,286113393,1316894,276667981
09/08/2018 15:44,201805,SOUTHEND,1201990,286113393,901915,276667981
09/08/2018 15:44,201805,EXETER,915865,286113393,882007,276667981
09/08/2018 15:44,201805,INVERNESS,873439,286113393,839428,276667981
09/08/2018 15:44,201805,PRESTWICK,709550,286113393,681863,276667981
09/08/2018 15:44,201805,BOURNEMOUTH,687628,286113393,690906,276667981
09/08/2018 15:44,201805,NORWICH,523715,286113393,517272,276667981
09/08/2018 15:44,201805,NEWQUAY,461582,286113393,405424,276667981
09/08/2018 15:44,201805,SUMBURGH,269904,286113393,242353,276667981
09/08/2018 15:44,201805,HUMBERSIDE,186344,286113393,197430,276667981
09/08/2018 15:44,201805,CITY OF DERRY (EGLINTON),185093,286113393,258802,276667981
09/08/2018 15:44,201805,SCATSTA,177281,286113393,165315,276667981
09/08/2018 15:44,201805,KIRKWALL,169058,286113393,155271,276667981
09/08/2018 15:44,201805,DURHAM TEES VALLEY,135806,286113393,125327,276667981
09/08/2018 15:44,201805,STORNOWAY,135166,286113393,126185,276667981
09/08/2018 15:44,201805,ISLES OF SCILLY (ST.MARYS),92362,286113393,93541,276667981
09/08/2018 15:44,201805,LANDS END (ST JUST),59730,286113393,62747,276667981
09/08/2018 15:44,201805,BENBECULA,33790,286113393,32742,276667981
09/08/2018 15:44,201805,ISLAY,33046,286113393,29507,276667981
09/08/2018 15:44,201805,BLACKPOOL,23356,286113393,32091,276667981
09/08/2018 15:44,201805,DUNDEE,20680,286113393,37321,276667981
09/08/2018 15:44,201805,WICK JOHN O GROATS,17063,286113393,18632,276667981
09/08/2018 15:44,201805,BARRA,14900,286113393,13929,276667981
09/08/2018 15:44,201805,TIREE,12376,286113393,11339,276667981
09/08/2018 15:44,201805,CAMPBELTOWN,8769,286113393,8568,276667981
09/08/2018 15:44,201805,LERWICK (TINGWALL),4188,286113393,4282,276667981
09/08/2018 15:44,201805,BIGGIN HILL,1652,286113393,669,276667981
09/08/2018 15:44,201805,LYDD,635,286113393,649,276667981
09/08/2018 15:44,201805,OXFORD (KIDLINGTON),100,286113393,460,276667981
09/08/2018 15:44,201805,GLOUCESTERSHIRE,60,286113393,9370,276667981

