rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
09/08/2018 15:56,201805,Other UK Airports,ABERDEEN,712,658,658,54,54,2738,370,370,2368,2337,3647,2957,2955,690,589
09/08/2018 15:56,201805,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,427,427,425,0,0
09/08/2018 15:56,201805,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,144,144,143,0,0
09/08/2018 15:56,201805,Other UK Airports,BELFAST CITY (GEORGE BEST),185,185,185,0,0,16,14,14,2,2,3121,3119,3119,2,2
09/08/2018 15:56,201805,Other UK Airports,BELFAST INTERNATIONAL,1433,1229,1229,204,147,84,56,56,28,28,2610,2367,2367,243,6
09/08/2018 15:56,201805,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,187,187,187,0,0
09/08/2018 15:56,201805,Other UK Airports,BIGGIN HILL,11,0,0,11,11,0,0,0,0,0,1,0,0,1,1
09/08/2018 15:56,201805,Other UK Airports,BIRMINGHAM,6735,6078,5924,657,652,923,828,828,95,94,1923,1921,1858,2,0
09/08/2018 15:56,201805,Other UK Airports,BLACKPOOL,0,0,0,0,0,393,0,0,393,393,0,0,0,0,0
09/08/2018 15:56,201805,Other UK Airports,BOURNEMOUTH,407,298,298,109,109,1,0,0,1,1,6,2,2,4,4
09/08/2018 15:56,201805,Other UK Airports,BRISTOL,4905,4518,4518,387,387,320,289,289,31,31,989,954,954,35,35
09/08/2018 15:56,201805,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0
09/08/2018 15:56,201805,Other UK Airports,CARDIFF WALES,1109,760,760,349,349,90,44,44,46,46,459,453,453,6,6
09/08/2018 15:56,201805,Other UK Airports,CITY OF DERRY (EGLINTON),0,0,0,0,0,0,0,0,0,0,189,189,189,0,0
09/08/2018 15:56,201805,Other UK Airports,DONCASTER SHEFFIELD,782,529,529,253,252,41,7,0,34,14,71,70,70,1,1
09/08/2018 15:56,201805,Other UK Airports,DUNDEE,1,0,0,1,1,2,0,0,2,2,106,100,100,6,6
09/08/2018 15:56,201805,Other UK Airports,DURHAM TEES VALLEY,167,163,163,4,2,0,0,0,0,0,151,147,147,4,4
09/08/2018 15:56,201805,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4036,3107,2597,929,302,256,198,64,58,23,1229,1081,628,148,0
09/08/2018 15:56,201805,Other UK Airports,EDINBURGH,5091,4953,4867,138,132,888,880,880,8,8,5497,5446,5175,51,0
09/08/2018 15:56,201805,Other UK Airports,EXETER,426,302,302,124,124,4,0,0,4,4,841,798,798,43,3
09/08/2018 15:56,201805,London Area Airports,GATWICK,17353,16368,16368,985,985,5487,5235,5235,252,252,2670,2656,2656,14,14
09/08/2018 15:56,201805,Other UK Airports,GLASGOW,2824,2640,2601,184,184,602,561,561,41,41,4676,4671,4635,5,5
09/08/2018 15:56,201805,Non UK Reporting Airports,GUERNSEY,37,29,29,8,8,4,4,4,0,0,1806,1649,1646,157,13
09/08/2018 15:56,201805,London Area Airports,HEATHROW,18753,18650,18535,103,49,19019,19015,18929,4,4,3445,3445,3445,0,0
09/08/2018 15:56,201805,Other UK Airports,HUMBERSIDE,186,170,170,16,16,350,0,0,350,336,157,157,157,0,0
09/08/2018 15:56,201805,Other UK Airports,INVERNESS,108,108,108,0,0,22,20,20,2,2,973,964,964,9,4
09/08/2018 15:56,201805,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,175,175,175,0,0
09/08/2018 15:56,201805,Non UK Reporting Airports,ISLE OF MAN,116,108,108,8,8,0,0,0,0,0,1196,1146,1146,50,4
09/08/2018 15:56,201805,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,1289,1289,1217,0,0
09/08/2018 15:56,201805,Non UK Reporting Airports,JERSEY,107,69,69,38,38,16,15,15,1,1,2181,2181,2064,0,0
09/08/2018 15:56,201805,Other UK Airports,KIRKWALL,0,0,0,0,0,1,0,0,1,1,1077,1075,1072,2,2
09/08/2018 15:56,201805,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,867,867,801,0,0
09/08/2018 15:56,201805,Other UK Airports,LEEDS BRADFORD,2293,2191,2191,102,102,82,79,79,3,3,703,703,703,0,0
09/08/2018 15:56,201805,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,126,126,126,0,0
09/08/2018 15:56,201805,Other UK Airports,LIVERPOOL (JOHN LENNON),2326,2293,2293,33,32,138,70,70,68,68,791,785,785,6,6
09/08/2018 15:56,201805,London Area Airports,LONDON CITY,4415,4414,4414,1,1,823,823,823,0,0,1689,1689,1689,0,0
09/08/2018 15:56,201805,London Area Airports,LUTON,7790,7574,7462,216,216,1079,1073,1056,6,6,821,821,821,0,0
09/08/2018 15:56,201805,Other UK Airports,LYDD,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
09/08/2018 15:56,201805,Other UK Airports,MANCHESTER,11121,10076,10038,1045,1037,3202,3010,3010,192,192,3368,3359,3342,9,9
09/08/2018 15:56,201805,Other UK Airports,NEWCASTLE,2667,2629,2629,38,5,324,323,323,1,1,1189,1180,1180,9,8
09/08/2018 15:56,201805,Other UK Airports,NEWQUAY,154,154,154,0,0,0,0,0,0,0,663,663,663,0,0
09/08/2018 15:56,201805,Other UK Airports,NORWICH,345,254,254,91,91,945,0,0,945,945,511,505,505,6,6
09/08/2018 15:56,201805,Other UK Airports,OXFORD (KIDLINGTON),2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
09/08/2018 15:56,201805,Other UK Airports,PRESTWICK,499,498,472,1,0,27,26,0,1,0,0,0,0,0,0
09/08/2018 15:56,201805,Other UK Airports,SCATSTA,0,0,0,0,0,518,0,0,518,518,303,0,0,303,303
09/08/2018 15:56,201805,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/08/2018 15:56,201805,Other UK Airports,SOUTHAMPTON,1113,1112,1111,1,1,0,0,0,0,0,2150,2145,2145,5,5
09/08/2018 15:56,201805,London Area Airports,SOUTHEND,1227,1227,1227,0,0,1,1,1,0,0,281,281,281,0,0
09/08/2018 15:56,201805,London Area Airports,STANSTED,13844,13608,13292,236,201,1383,1356,1055,27,22,1733,1551,1507,182,2
09/08/2018 15:56,201805,Other UK Airports,STORNOWAY,0,0,0,0,0,0,0,0,0,0,638,635,635,3,3
09/08/2018 15:56,201805,Other UK Airports,SUMBURGH,0,0,0,0,0,4,4,4,0,0,871,649,649,222,222
09/08/2018 15:56,201805,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,0,0,160,160,160,0,0
09/08/2018 15:56,201805,Other UK Airports,WICK JOHN O GROATS,0,0,0,0,0,0,0,0,0,0,142,142,142,0,0

