rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
09/08/2018 15:59,201805,201705,Other UK Airports,ABERDEEN,7097,6963,134,7166,7045,121,-0.962880,-1.163946,10.743802
09/08/2018 15:59,201805,201705,Non UK Reporting Airports,ALDERNEY,427,425,2,525,522,3,-18.666667,-18.582375,-33.333333
09/08/2018 15:59,201805,201705,Other UK Airports,BARRA,144,143,1,120,119,1,20.000000,20.168067,0.000000
09/08/2018 15:59,201805,201705,Other UK Airports,BELFAST CITY (GEORGE BEST),3322,3322,0,3282,3282,0,1.218769,1.218769,
09/08/2018 15:59,201805,201705,Other UK Airports,BELFAST INTERNATIONAL,4127,3833,294,3735,3735,0,10.495315,2.623829,
09/08/2018 15:59,201805,201705,Other UK Airports,BENBECULA,187,187,0,167,167,0,11.976048,11.976048,
09/08/2018 15:59,201805,201705,Other UK Airports,BIGGIN HILL,12,12,0,9,9,0,33.333333,33.333333,
09/08/2018 15:59,201805,201705,Other UK Airports,BIRMINGHAM,9581,9356,225,10802,10565,237,-11.303462,-11.443445,-5.063291
09/08/2018 15:59,201805,201705,Other UK Airports,BLACKPOOL,393,393,0,400,400,0,-1.750000,-1.750000,
09/08/2018 15:59,201805,201705,Other UK Airports,BOURNEMOUTH,414,414,0,440,440,0,-5.909091,-5.909091,
09/08/2018 15:59,201805,201705,Other UK Airports,BRISTOL,6214,6214,0,6000,6000,0,3.566667,3.566667,
09/08/2018 15:59,201805,201705,Other UK Airports,CAMPBELTOWN,100,100,0,100,100,0,0.000000,0.000000,
09/08/2018 15:59,201805,201705,Other UK Airports,CARDIFF WALES,1658,1658,0,1623,1623,0,2.156500,2.156500,
09/08/2018 15:59,201805,201705,Other UK Airports,CITY OF DERRY (EGLINTON),189,189,0,174,174,0,8.620690,8.620690,
09/08/2018 15:59,201805,201705,Other UK Airports,DONCASTER SHEFFIELD,894,866,28,959,939,20,-6.777894,-7.774228,40.000000
09/08/2018 15:59,201805,201705,Other UK Airports,DUNDEE,109,109,0,100,100,0,9.000000,9.000000,
09/08/2018 15:59,201805,201705,Other UK Airports,DURHAM TEES VALLEY,318,316,2,317,316,1,0.315457,0.000000,.000000
09/08/2018 15:59,201805,201705,Other UK Airports,EAST MIDLANDS INTERNATIONAL,5508,3614,1894,5398,3640,1758,2.037792,-0.714286,7.736064
09/08/2018 15:59,201805,201705,Other UK Airports,EDINBURGH,11476,11062,414,11369,10954,415,0.941156,0.985941,-0.240964
09/08/2018 15:59,201805,201705,Other UK Airports,EXETER,1271,1231,40,1358,1317,41,-6.406480,-6.529992,-2.439024
09/08/2018 15:59,201805,201705,London Area Airports,GATWICK,25510,25510,0,26092,26092,0,-2.230569,-2.230569,
09/08/2018 15:59,201805,201705,Other UK Airports,GLASGOW,8102,8027,75,8191,8138,53,-1.086558,-1.363971,41.509434
09/08/2018 15:59,201805,201705,Non UK Reporting Airports,GUERNSEY,1847,1700,147,2032,1892,140,-9.104331,-10.147992,5.000000
09/08/2018 15:59,201805,201705,London Area Airports,HEATHROW,41217,40962,255,41015,40773,242,0.492503,0.463542,5.371901
09/08/2018 15:59,201805,201705,Other UK Airports,HUMBERSIDE,693,679,14,568,557,11,22.007042,21.903052,27.272727
09/08/2018 15:59,201805,201705,Other UK Airports,INVERNESS,1103,1098,5,1133,1132,1,-2.647838,-3.003534,400.000000
09/08/2018 15:59,201805,201705,Other UK Airports,ISLAY,175,175,0,194,194,0,-9.793814,-9.793814,
09/08/2018 15:59,201805,201705,Non UK Reporting Airports,ISLE OF MAN,1312,1266,46,1261,1219,42,4.044409,3.855619,9.523810
09/08/2018 15:59,201805,201705,Other UK Airports,ISLES OF SCILLY (ST.MARYS),1289,1217,72,1005,949,56,28.258706,28.240253,28.571429
09/08/2018 15:59,201805,201705,Non UK Reporting Airports,JERSEY,2304,2187,117,2196,2098,98,4.918033,4.242135,19.387755
09/08/2018 15:59,201805,201705,Other UK Airports,KIRKWALL,1078,1075,3,1049,1047,2,2.764538,2.674308,50.000000
09/08/2018 15:59,201805,201705,Other UK Airports,LANDS END (ST JUST),867,801,66,698,642,56,24.212034,24.766355,17.857143
09/08/2018 15:59,201805,201705,Other UK Airports,LEEDS BRADFORD,3078,3078,0,3401,3401,0,-9.497207,-9.497207,
09/08/2018 15:59,201805,201705,Other UK Airports,LERWICK (TINGWALL),126,126,0,122,122,0,3.278689,3.278689,
09/08/2018 15:59,201805,201705,Other UK Airports,LIVERPOOL (JOHN LENNON),3255,3254,1,3317,3317,0,-1.869159,-1.899307,
09/08/2018 15:59,201805,201705,London Area Airports,LONDON CITY,6927,6927,0,6693,6693,0,3.496190,3.496190,
09/08/2018 15:59,201805,201705,London Area Airports,LUTON,9690,9561,129,9923,9787,136,-2.348080,-2.309186,-5.147059
09/08/2018 15:59,201805,201705,Other UK Airports,LYDD,1,1,0,21,21,0,-95.238095,-95.238095,
09/08/2018 15:59,201805,201705,Other UK Airports,MANCHESTER,17691,17628,63,18145,18071,74,-2.502067,-2.451442,-14.864865
09/08/2018 15:59,201805,201705,Other UK Airports,NEWCASTLE,4180,4146,34,4276,4244,32,-2.245089,-2.309142,6.250000
09/08/2018 15:59,201805,201705,Other UK Airports,NEWQUAY,817,817,0,867,867,0,-5.767013,-5.767013,
09/08/2018 15:59,201805,201705,Other UK Airports,NORWICH,1801,1801,0,2134,2134,0,-15.604499,-15.604499,
09/08/2018 15:59,201805,201705,Other UK Airports,OXFORD (KIDLINGTON),2,2,0,0,0,0,,,
09/08/2018 15:59,201805,201705,Other UK Airports,PRESTWICK,524,472,52,512,455,57,2.343750,3.736264,-8.771930
09/08/2018 15:59,201805,201705,Other UK Airports,SCATSTA,821,821,0,699,699,0,17.453505,17.453505,
09/08/2018 15:59,201805,201705,Other UK Airports,SOUTHAMPTON,3263,3262,1,3521,3521,0,-7.327464,-7.355865,
09/08/2018 15:59,201805,201705,London Area Airports,SOUTHEND,1509,1509,0,1081,1081,0,39.592969,39.592969,
09/08/2018 15:59,201805,201705,London Area Airports,STANSTED,16896,16079,817,15459,14642,817,9.295556,9.814233,0.000000
09/08/2018 15:59,201805,201705,Other UK Airports,STORNOWAY,638,638,0,548,548,0,16.423358,16.423358,
09/08/2018 15:59,201805,201705,Other UK Airports,SUMBURGH,875,875,0,747,747,0,17.135207,17.135207,
09/08/2018 15:59,201805,201705,Other UK Airports,TIREE,160,160,0,155,155,0,3.225806,3.225806,
09/08/2018 15:59,201805,201705,Other UK Airports,WICK JOHN O GROATS,142,142,0,163,163,0,-12.883436,-12.883436,

