rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
12/09/2018 14:18,201807,Other UK Airports,ABERDEEN,"7,075",239,"6,836"
12/09/2018 14:18,201807,Non UK Reporting Airports,ALDERNEY,516,32,484
12/09/2018 14:18,201807,Other UK Airports,BARRA,134,9,125
12/09/2018 14:18,201807,Other UK Airports,BELFAST CITY (GEORGE BEST),"3,247",39,"3,208"
12/09/2018 14:18,201807,Other UK Airports,BELFAST INTERNATIONAL,"4,483",48,"4,435"
12/09/2018 14:18,201807,Other UK Airports,BENBECULA,183,3,180
12/09/2018 14:18,201807,Other UK Airports,BIGGIN HILL,33,,33
12/09/2018 14:18,201807,Other UK Airports,BIRMINGHAM,"10,254",141,"10,113"
12/09/2018 14:18,201807,Other UK Airports,BLACKPOOL,566,,566
12/09/2018 14:18,201807,Other UK Airports,BOURNEMOUTH,444,,444
12/09/2018 14:18,201807,Other UK Airports,BRISTOL,"6,672",86,"6,586"
12/09/2018 14:18,201807,Other UK Airports,CAMPBELTOWN,98,6,92
12/09/2018 14:18,201807,Other UK Airports,CARDIFF WALES,"1,783",4,"1,779"
12/09/2018 14:18,201807,Other UK Airports,DONCASTER SHEFFIELD,998,2,996
12/09/2018 14:18,201807,Other UK Airports,DUNDEE,108,,108
12/09/2018 14:18,201807,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"5,780",40,"5,740"
12/09/2018 14:18,201807,Other UK Airports,EDINBURGH,"12,061",122,"11,939"
12/09/2018 14:18,201807,Other UK Airports,EXETER,"1,379",,"1,379"
12/09/2018 14:18,201807,Other UK Airports,GLASGOW,"8,458",142,"8,316"
12/09/2018 14:18,201807,Other UK Airports,PRESTWICK,528,4,524
12/09/2018 14:18,201807,Non UK Reporting Airports,GUERNSEY,"1,962",28,"1,934"
12/09/2018 14:18,201807,Other UK Airports,HUMBERSIDE,658,30,628
12/09/2018 14:18,201807,Other UK Airports,INVERNESS,"1,201",3,"1,198"
12/09/2018 14:18,201807,Other UK Airports,ISLAY,168,8,160
12/09/2018 14:18,201807,Non UK Reporting Airports,ISLE OF MAN,"1,174",64,"1,110"
12/09/2018 14:18,201807,Other UK Airports,ISLES OF SCILLY (ST.MARYS),"1,435",,"1,435"
12/09/2018 14:18,201807,Non UK Reporting Airports,JERSEY,"2,457",29,"2,428"
12/09/2018 14:18,201807,Other UK Airports,KIRKWALL,"1,104",49,"1,055"
12/09/2018 14:18,201807,Other UK Airports,LANDS END (ST JUST),"1,158",,"1,158"
12/09/2018 14:18,201807,Other UK Airports,LEEDS BRADFORD,"3,518",97,"3,421"
12/09/2018 14:18,201807,Other UK Airports,LERWICK (TINGWALL),103,,103
12/09/2018 14:18,201807,Other UK Airports,LIVERPOOL (JOHN LENNON),"3,333",48,"3,285"
12/09/2018 14:18,201807,London Area Airports,GATWICK,"27,897",271,"27,626"
12/09/2018 14:18,201807,London Area Airports,HEATHROW,"41,975",335,"41,640"
12/09/2018 14:18,201807,London Area Airports,LONDON CITY,"6,740",201,"6,539"
12/09/2018 14:18,201807,London Area Airports,LUTON,"10,322",160,"10,162"
12/09/2018 14:18,201807,London Area Airports,STANSTED,"17,714",375,"17,339"
12/09/2018 14:18,201807,Other UK Airports,CITY OF DERRY (EGLINTON),198,4,194
12/09/2018 14:18,201807,Other UK Airports,LYDD,13,,13
12/09/2018 14:18,201807,Other UK Airports,MANCHESTER,"19,224",159,"19,065"
12/09/2018 14:18,201807,Other UK Airports,NEWCASTLE,"4,445",61,"4,384"
12/09/2018 14:18,201807,Other UK Airports,NEWQUAY,909,14,895
12/09/2018 14:18,201807,Other UK Airports,NORWICH,"2,004",,"2,004"
12/09/2018 14:18,201807,Other UK Airports,SCATSTA,744,,744
12/09/2018 14:18,201807,Other UK Airports,SUMBURGH,781,8,773
12/09/2018 14:18,201807,Other UK Airports,SHOREHAM,-,,-
12/09/2018 14:18,201807,Other UK Airports,SOUTHAMPTON,"3,211",68,"3,143"
12/09/2018 14:18,201807,London Area Airports,SOUTHEND,"1,743",18,"1,725"
12/09/2018 14:18,201807,Other UK Airports,STORNOWAY,576,7,569
12/09/2018 14:18,201807,Other UK Airports,DURHAM TEES VALLEY,277,13,264
12/09/2018 14:18,201807,Other UK Airports,TIREE,166,4,162
12/09/2018 14:18,201807,Other UK Airports,WICK JOHN O GROATS,122,8,114
