rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
03/03/2019 10:37,2018,1,1,London Area Airports,GATWICK,283919,279718,0,3310,0,41,199,0,0,9,0,642
03/03/2019 10:37,2018,1,1,London Area Airports,HEATHROW,477604,475714,100,1308,1,45,28,0,235,252,21,0
03/03/2019 10:37,2018,1,1,London Area Airports,LONDON CITY,80854,80110,4839,533,0,211,0,0,0,0,0,0
03/03/2019 10:37,2018,1,1,London Area Airports,LUTON,136511,105723,0,1285,2,125,366,0,138,56,6,28810
03/03/2019 10:37,2018,1,1,London Area Airports,SOUTHEND,32531,17613,732,576,343,1639,151,6365,3911,36,38,1859
03/03/2019 10:37,2018,1,1,London Area Airports,STANSTED,201614,184485,645,5398,6,103,975,0,0,16,92,10539
03/03/2019 10:37,2018,1,2,Miscellaneous,METRO LONDON HELIPORT,10989,2761,2761,2574,1457,0,1214,0,2643,24,94,222
03/03/2019 10:37,2018,1,3,Other UK Airports,ABERDEEN,91279,80897,3122,3539,57,3220,2004,1387,0,4,77,94
03/03/2019 10:37,2018,1,3,Other UK Airports,BARRA,1439,1287,2,1,0,20,0,0,121,0,10,0
03/03/2019 10:37,2018,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),35959,35404,385,321,8,18,1,2,150,37,4,14
03/03/2019 10:37,2018,1,3,Other UK Airports,BELFAST INTERNATIONAL,60541,47335,1312,892,3133,417,0,853,766,0,6241,904
03/03/2019 10:37,2018,1,3,Other UK Airports,BENBECULA,3650,3327,1409,212,4,10,3,0,56,0,38,0
03/03/2019 10:37,2018,1,3,Other UK Airports,BIGGIN HILL,43343,10382,10180,111,0,0,0,14527,13209,0,67,5047
03/03/2019 10:37,2018,1,3,Other UK Airports,BIRMINGHAM,111828,104640,1650,2226,295,206,3739,0,647,3,72,0
03/03/2019 10:37,2018,1,3,Other UK Airports,BLACKPOOL,37526,5870,1144,1053,97,1883,13,19524,7838,0,384,864
03/03/2019 10:37,2018,1,3,Other UK Airports,BOURNEMOUTH,39886,4081,2,254,0,18562,5878,2362,6648,0,397,1704
03/03/2019 10:37,2018,1,3,Other UK Airports,BRISTOL,72927,65938,885,888,2,324,1410,4257,0,82,26,0
03/03/2019 10:37,2018,1,3,Other UK Airports,CAMBRIDGE,19280,0,0,0,3111,128,0,11024,2626,3,351,2037
03/03/2019 10:37,2018,1,3,Other UK Airports,CAMPBELTOWN,1887,1144,152,136,0,156,0,0,160,0,291,0
03/03/2019 10:37,2018,1,3,Other UK Airports,CARDIFF WALES,31085,16749,16,653,0,640,0,7057,5804,0,182,0
03/03/2019 10:37,2018,1,3,Other UK Airports,CARLISLE,4330,356,356,61,16,0,0,2209,1005,0,130,553
03/03/2019 10:37,2018,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),6330,2336,69,69,332,1457,3,870,853,4,161,245
03/03/2019 10:37,2018,1,3,Other UK Airports,COVENTRY,30357,12,12,1,10,20480,2,1196,8649,2,5,0
03/03/2019 10:37,2018,1,3,Other UK Airports,DONCASTER SHEFFIELD,18930,9856,1003,414,0,1419,1798,5087,105,1,250,0
03/03/2019 10:37,2018,1,3,Other UK Airports,DUNDEE,39965,1410,214,335,184,1056,91,34199,926,4,1104,656
03/03/2019 10:37,2018,1,3,Other UK Airports,DURHAM TEES VALLEY,16950,3630,58,60,4,515,6299,4876,821,4,741,0
03/03/2019 10:37,2018,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,76013,61298,4226,4015,5,513,3211,1,1251,2,70,5647
03/03/2019 10:37,2018,1,3,Other UK Airports,EDINBURGH,130016,124793,753,1655,18,41,22,0,3385,14,80,8
03/03/2019 10:37,2018,1,3,Other UK Airports,EXETER,39532,13382,6,387,3236,2184,617,9568,6401,0,661,3096
03/03/2019 10:37,2018,1,3,Other UK Airports,GLASGOW,97157,86467,2449,1905,10,527,3495,4277,1,0,106,369
03/03/2019 10:37,2018,1,3,Other UK Airports,GLOUCESTERSHIRE,78022,363,363,523,2123,8473,317,49911,14940,4,216,1152
03/03/2019 10:37,2018,1,3,Other UK Airports,HAWARDEN,17153,0,0,2,1656,588,2221,6093,3798,50,997,1748
03/03/2019 10:37,2018,1,3,Other UK Airports,HUMBERSIDE,18759,6758,107,1353,662,7016,1241,0,1208,0,320,201
03/03/2019 10:37,2018,1,3,Other UK Airports,INVERNESS,29690,15877,3973,1907,507,1824,121,7366,1382,0,94,612
03/03/2019 10:37,2018,1,3,Other UK Airports,ISLAY,2751,1844,172,139,0,6,0,0,672,0,90,0
03/03/2019 10:37,2018,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),12546,10766,101,33,0,152,0,0,1275,308,12,0
03/03/2019 10:37,2018,1,3,Other UK Airports,KIRKWALL,14771,12892,1495,913,35,279,164,0,465,0,10,13
03/03/2019 10:37,2018,1,3,Other UK Airports,LANDS END (ST JUST),11511,9032,445,202,86,877,18,50,1136,10,96,4
03/03/2019 10:37,2018,1,3,Other UK Airports,LEEDS BRADFORD,38680,31329,1109,1992,14,2888,158,0,2150,3,146,0
03/03/2019 10:37,2018,1,3,Other UK Airports,LERWICK (TINGWALL),1547,1270,315,184,0,6,0,0,87,0,0,0
03/03/2019 10:37,2018,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),59320,36935,668,481,1,184,6,17793,1856,5,165,1894
03/03/2019 10:37,2018,1,3,Other UK Airports,LYDD,22671,232,174,322,14,161,0,9854,10470,1504,92,22
