rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
03/03/2019 11:28,2018,Other UK Airports,ABERDEEN,"81,552","4,017","77,535"
03/03/2019 11:28,2018,Non UK Reporting Airports,ALDERNEY,"4,955",418,"4,537"
03/03/2019 11:28,2018,Other UK Airports,BARRA,"1,390",105,"1,285"
03/03/2019 11:28,2018,Other UK Airports,BELFAST CITY (GEORGE BEST),"35,845",555,"35,290"
03/03/2019 11:28,2018,Other UK Airports,BELFAST INTERNATIONAL,"46,115",255,"45,860"
03/03/2019 11:28,2018,Other UK Airports,BENBECULA,"1,960",42,"1,918"
03/03/2019 11:28,2018,Other UK Airports,BIGGIN HILL,202,,202
03/03/2019 11:28,2018,Other UK Airports,BIRMINGHAM,"104,553","1,305","103,248"
03/03/2019 11:28,2018,Other UK Airports,BLACKPOOL,"4,724",,"4,724"
03/03/2019 11:28,2018,Other UK Airports,BOURNEMOUTH,"4,096",28,"4,068"
03/03/2019 11:28,2018,Other UK Airports,BRISTOL,"66,147",927,"65,220"
03/03/2019 11:28,2018,Other UK Airports,CAMPBELTOWN,"1,069",77,992
03/03/2019 11:28,2018,Other UK Airports,CARDIFF WALES,"17,009",279,"16,730"
03/03/2019 11:28,2018,Other UK Airports,DONCASTER SHEFFIELD,"8,797",24,"8,773"
03/03/2019 11:28,2018,Other UK Airports,DUNDEE,"1,215",18,"1,197"
03/03/2019 11:28,2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"57,133",746,"56,387"
03/03/2019 11:28,2018,Other UK Airports,EDINBURGH,"125,426","1,670","123,756"
03/03/2019 11:28,2018,Other UK Airports,EXETER,"13,512",136,"13,376"
03/03/2019 11:28,2018,Other UK Airports,GLASGOW,"85,877","1,865","84,012"
03/03/2019 11:28,2018,Other UK Airports,PRESTWICK,"4,827",16,"4,811"
03/03/2019 11:28,2018,Non UK Reporting Airports,GUERNSEY,"20,930",712,"20,218"
03/03/2019 11:28,2018,Other UK Airports,HUMBERSIDE,"7,618",967,"6,651"
03/03/2019 11:28,2018,Other UK Airports,INVERNESS,"12,007",103,"11,904"
03/03/2019 11:28,2018,Other UK Airports,ISLAY,"1,832",159,"1,673"
03/03/2019 11:28,2018,Non UK Reporting Airports,ISLE OF MAN,"14,097",395,"13,702"
03/03/2019 11:28,2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),"10,587",,"10,587"
03/03/2019 11:28,2018,Non UK Reporting Airports,JERSEY,"23,828",436,"23,392"
03/03/2019 11:28,2018,Other UK Airports,KIRKWALL,"11,840",456,"11,384"
03/03/2019 11:28,2018,Other UK Airports,LANDS END (ST JUST),"8,587",,"8,587"
03/03/2019 11:28,2018,Other UK Airports,LEEDS BRADFORD,"31,525","1,077","30,448"
03/03/2019 11:28,2018,Other UK Airports,LERWICK (TINGWALL),955,,955
03/03/2019 11:28,2018,Other UK Airports,LIVERPOOL (JOHN LENNON),"35,914",251,"35,663"
03/03/2019 11:28,2018,London Area Airports,GATWICK,"283,186","3,414","279,772"
03/03/2019 11:28,2018,London Area Airports,HEATHROW,"480,339","4,731","475,608"
03/03/2019 11:28,2018,London Area Airports,LONDON CITY,"78,036","2,766","75,270"
03/03/2019 11:28,2018,London Area Airports,LUTON,"106,666",782,"105,884"
03/03/2019 11:28,2018,London Area Airports,STANSTED,"185,660","1,820","183,840"
03/03/2019 11:28,2018,Other UK Airports,CITY OF DERRY (EGLINTON),"2,324",57,"2,267"
03/03/2019 11:28,2018,Other UK Airports,MANCHESTER,"194,131","1,927","192,204"
03/03/2019 11:28,2018,Other UK Airports,NEWCASTLE,"42,412",932,"41,480"
03/03/2019 11:28,2018,Other UK Airports,NEWQUAY,"7,631",329,"7,302"
03/03/2019 11:28,2018,Other UK Airports,NORWICH,"20,575",,"20,575"
03/03/2019 11:28,2018,Other UK Airports,SCATSTA,"8,081",,"8,081"
03/03/2019 11:28,2018,Other UK Airports,SUMBURGH,"10,474",180,"10,294"
03/03/2019 11:28,2018,Other UK Airports,SHOREHAM,-,,-
03/03/2019 11:28,2018,Other UK Airports,SOUTHAMPTON,"35,750","1,278","34,472"
03/03/2019 11:28,2018,London Area Airports,SOUTHEND,"17,088",261,"16,827"
03/03/2019 11:28,2018,Other UK Airports,STORNOWAY,"6,903",243,"6,660"
03/03/2019 11:28,2018,Other UK Airports,DURHAM TEES VALLEY,"3,802",239,"3,563"
03/03/2019 11:28,2018,Other UK Airports,TIREE,"1,769",197,"1,572"
03/03/2019 11:28,2018,Other UK Airports,WICK JOHN O GROATS,"1,526",96,"1,430"
03/03/2019 11:28,2018,Other UK Airports,LYDD,58,,58
03/03/2019 11:28,2018,Other UK Airports,OXFORD (KIDLINGTON),3,,3

