rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
03/03/2019 10:47,2018,London Area Airports,GATWICK,186982,176029,176029,10953,10953,65925,62567,62567,3358,3358,30279,30029,30029,250,250
03/03/2019 10:47,2018,London Area Airports,HEATHROW,215101,213893,212497,1208,688,225986,225930,224880,56,54,39252,39251,39248,1,0
03/03/2019 10:47,2018,London Area Airports,LONDON CITY,49781,49776,49776,5,5,9484,9484,9484,0,0,18771,18771,18771,0,0
03/03/2019 10:47,2018,London Area Airports,LUTON,84918,83040,81658,1878,1878,12851,12752,12550,99,99,8897,8885,8884,12,12
03/03/2019 10:47,2018,London Area Airports,SOUTHEND,13904,13904,13904,0,0,272,272,272,0,0,2912,2912,2912,0,0
03/03/2019 10:47,2018,London Area Airports,STANSTED,150614,148224,144350,2390,2105,16640,16354,13125,286,201,18406,16290,15804,2116,14
03/03/2019 10:47,2018,Other UK Airports,ABERDEEN,8439,7886,7885,553,553,33789,4352,4349,29437,28939,39324,32957,32911,6367,5306
03/03/2019 10:47,2018,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,1390,1389,1388,1,1
03/03/2019 10:47,2018,Other UK Airports,BELFAST CITY (GEORGE BEST),1376,1334,1334,42,42,110,98,98,12,12,34359,34320,34320,39,39
03/03/2019 10:47,2018,Other UK Airports,BELFAST INTERNATIONAL,14344,12061,12061,2283,1615,915,710,710,205,194,30856,28095,28095,2761,72
03/03/2019 10:47,2018,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,1960,1960,1960,0,0
03/03/2019 10:47,2018,Other UK Airports,BIGGIN HILL,149,0,0,149,149,35,0,0,35,35,18,0,0,18,18
03/03/2019 10:47,2018,Other UK Airports,BIRMINGHAM,71884,65879,64031,6005,5945,10842,9699,9699,1143,1133,21827,21750,20990,77,31
03/03/2019 10:47,2018,Other UK Airports,BLACKPOOL,0,0,0,0,0,4724,0,0,4724,4724,0,0,0,0,0
03/03/2019 10:47,2018,Other UK Airports,BOURNEMOUTH,3736,2699,2699,1037,1037,267,219,219,48,48,93,48,48,45,45
03/03/2019 10:47,2018,Other UK Airports,BRISTOL,51223,47248,47248,3975,3975,3481,3021,3021,460,460,11443,11087,11087,356,356
03/03/2019 10:47,2018,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,1069,1069,1069,0,0
03/03/2019 10:47,2018,Other UK Airports,CARDIFF WALES,10867,8007,8007,2860,2859,843,466,466,377,377,5299,5193,5193,106,106
03/03/2019 10:47,2018,Other UK Airports,CITY OF DERRY (EGLINTON),25,4,4,21,21,0,0,0,0,0,2299,2298,2298,1,1
03/03/2019 10:47,2018,Other UK Airports,DONCASTER SHEFFIELD,7706,5414,5405,2292,2260,235,50,1,185,128,856,846,846,10,10
03/03/2019 10:47,2018,Other UK Airports,DUNDEE,35,0,0,35,35,22,0,0,22,22,1158,1132,1132,26,26
03/03/2019 10:47,2018,Other UK Airports,DURHAM TEES VALLEY,1824,1810,1810,14,12,0,0,0,0,0,1978,1952,1952,26,25
03/03/2019 10:47,2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,40201,30438,24232,9763,2665,2798,2242,635,556,185,14134,12398,6994,1736,17
03/03/2019 10:47,2018,Other UK Airports,EDINBURGH,53640,52067,51063,1573,1489,9666,9497,9497,169,169,62120,61490,58153,630,24
03/03/2019 10:47,2018,Other UK Airports,EXETER,4625,3395,3395,1230,1230,113,36,36,77,77,8774,8268,8268,506,14
03/03/2019 10:47,2018,Other UK Airports,GLASGOW,29018,26986,26588,2032,2028,5794,5355,5354,439,439,51065,51028,50746,37,36
03/03/2019 10:47,2018,Other UK Airports,HUMBERSIDE,2163,2039,2039,124,124,3765,0,0,3765,3628,1690,1631,1631,59,59
03/03/2019 10:47,2018,Other UK Airports,INVERNESS,1362,1337,1337,25,25,206,184,184,22,22,10439,10276,10276,163,52
03/03/2019 10:47,2018,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,1832,1832,1831,0,0
03/03/2019 10:47,2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,10587,10587,9771,0,0
03/03/2019 10:47,2018,Other UK Airports,KIRKWALL,4,0,0,4,4,22,18,18,4,4,11814,11800,11742,14,14
03/03/2019 10:47,2018,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,8587,8587,7704,0,0
03/03/2019 10:47,2018,Other UK Airports,LEEDS BRADFORD,23601,22779,22779,822,822,941,888,888,53,53,6983,6978,6978,5,5
03/03/2019 10:47,2018,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,955,955,955,0,0
03/03/2019 10:47,2018,Other UK Airports,LIVERPOOL (JOHN LENNON),24987,24762,24760,225,200,1469,1367,1367,102,102,9458,9374,9373,84,84
