rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax,pax_term_shd_uk,pax_tran_shd_uk,pax_term_shd_fe,pax_tran_shd_fe,pax_term_shd_fn,pax_tran_shd_fn,pax_term_cht_uk,pax_tran_cht_uk,pax_term_cht_fe,pax_tran_cht_fe,pax_term_cht_fn,pax_tran_cht_fn
03/03/2019 10:54,2018,1,1,London Area Airports,GATWICK,46086089,31709193,2235,7384821,0,4167844,0,2207300,43,602650,568,9519,1916
03/03/2019 10:54,2018,1,1,London Area Airports,HEATHROW,80124537,41510226,419,12354577,482,26116234,23325,113788,0,2238,0,3248,0
03/03/2019 10:54,2018,1,1,London Area Airports,LONDON CITY,4820292,3075884,0,1345467,0,398581,0,299,0,61,0,0,0
03/03/2019 10:54,2018,1,1,London Area Airports,LUTON,16769634,7708398,1489,8518514,1199,174022,0,330745,372,27276,22,7597,0
03/03/2019 10:54,2018,1,1,London Area Airports,SOUTHEND,1480139,900913,0,577927,0,1299,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,1,London Area Airports,STANSTED,27996116,4925261,381,21923476,0,756311,0,370807,0,19202,614,64,0
03/03/2019 10:54,2018,1,3,Other UK Airports,ABERDEEN,3056018,1630785,23,705704,0,97323,0,580850,0,40879,0,454,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BARRA,14706,14706,0,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2511261,2096449,926,408833,41,2447,0,2085,0,384,0,96,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BELFAST INTERNATIONAL,6268960,4942509,0,989425,0,0,0,306608,0,30171,0,240,7
03/03/2019 10:54,2018,1,3,Other UK Airports,BENBECULA,35417,35404,13,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BIGGIN HILL,1674,0,0,0,0,0,0,360,0,1314,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BIRMINGHAM,12457051,4877767,968,4832370,533,1401749,220,1296602,516,21753,172,24401,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BLACKPOOL,19321,0,0,0,0,0,0,19321,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BOURNEMOUTH,674972,18737,0,450703,0,12732,0,184203,0,2588,0,6009,0
03/03/2019 10:54,2018,1,3,Other UK Airports,BRISTOL,8699529,5668574,261,2258338,0,1015,0,718166,2507,44063,108,6497,0
03/03/2019 10:54,2018,1,3,Other UK Airports,CAMPBELTOWN,8532,8472,60,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,CARDIFF WALES,1581131,579620,1499,386675,0,55568,0,502094,282,42829,146,12418,0
03/03/2019 10:54,2018,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),185843,49434,0,133779,0,0,0,2436,0,194,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,DONCASTER SHEFFIELD,1222347,252184,52,534911,0,263,0,377190,0,38251,0,19496,0
03/03/2019 10:54,2018,1,3,Other UK Airports,DUNDEE,21185,20478,0,0,0,0,0,50,0,646,0,11,0
03/03/2019 10:54,2018,1,3,Other UK Airports,DURHAM TEES VALLEY,142080,25888,2531,110880,0,0,0,905,0,1876,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4873831,1963023,0,2416411,0,0,0,468458,0,19480,74,6385,0
03/03/2019 10:54,2018,1,3,Other UK Airports,EDINBURGH,14294305,7956342,0,5183160,173,907432,2251,205742,0,34831,70,4304,0
03/03/2019 10:54,2018,1,3,Other UK Airports,EXETER,931265,706257,57,1886,0,0,0,203463,26,7936,0,11640,0
03/03/2019 10:54,2018,1,3,Other UK Airports,GLASGOW,9656227,6327817,1115,1972700,507,915482,923,406075,321,29347,845,1095,0
03/03/2019 10:54,2018,1,3,Other UK Airports,HUMBERSIDE,192526,21874,474,127090,0,0,0,34053,0,8811,224,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,INVERNESS,894360,805679,1389,81131,0,0,0,230,0,4083,0,1848,0
03/03/2019 10:54,2018,1,3,Other UK Airports,ISLAY,32775,32508,267,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),92195,92195,0,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,KIRKWALL,181562,169171,11864,0,0,0,0,428,15,84,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,LANDS END (ST JUST),64216,63862,354,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,LEEDS BRADFORD,4038889,2379742,1147,1514634,0,11,8,121903,0,21330,48,66,0
03/03/2019 10:54,2018,1,3,Other UK Airports,LERWICK (TINGWALL),3881,3881,0,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),5046995,2552948,1612,2439965,3071,2878,0,16029,0,25693,0,4799,0
03/03/2019 10:54,2018,1,3,Other UK Airports,LYDD,284,174,0,0,0,0,0,29,0,81,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,MANCHESTER,28292797,13662514,637,8340000,664,3740451,32542,2374459,1425,105357,442,32189,2117
03/03/2019 10:54,2018,1,3,Other UK Airports,NEWCASTLE,5334095,3759581,1494,1310943,82,253946,0,5082,180,2203,101,483,0
03/03/2019 10:54,2018,1,3,Other UK Airports,NEWQUAY,456888,352162,377,104205,0,0,0,0,0,144,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,NORWICH,536578,164026,0,147079,0,0,0,205552,0,13902,0,6019,0
03/03/2019 10:54,2018,1,3,Other UK Airports,OXFORD (KIDLINGTON),100,100,0,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,PRESTWICK,681715,0,0,676652,82,0,0,731,331,2862,344,713,0
03/03/2019 10:54,2018,1,3,Other UK Airports,SCATSTA,174934,0,0,0,0,0,0,174934,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,SOUTHAMPTON,1991014,1854398,84,108620,0,9341,0,7701,0,10870,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,STORNOWAY,135700,133309,2325,0,0,0,0,22,0,44,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,SUMBURGH,245868,173801,79,0,0,0,0,71664,19,223,4,78,0
03/03/2019 10:54,2018,1,3,Other UK Airports,TIREE,12625,12285,340,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,1,3,Other UK Airports,WICK JOHN O GROATS,16775,16680,19,0,0,0,0,76,0,0,0,0,0
03/03/2019 10:54,2018,2,4,Non UK Reporting Airports,ALDERNEY,53343,53343,0,0,0,0,0,0,0,0,0,0,0
03/03/2019 10:54,2018,2,4,Non UK Reporting Airports,GUERNSEY,837615,799339,32029,1797,0,0,0,3311,1050,89,0,0,0
03/03/2019 10:54,2018,2,4,Non UK Reporting Airports,ISLE OF MAN,836656,786896,0,43407,0,0,0,5440,0,913,0,0,0
03/03/2019 10:54,2018,2,4,Non UK Reporting Airports,JERSEY,1664175,1597010,17613,30297,0,1225,0,5604,139,12287,0,0,0

