rundate,report_period,region_num,foreign_region,foreign_country,uk_group,uk_apt,foreign_apt,ty_t_pax,ty_s_pax,ty_c_pax,ly_t_pax,ly_s_pax,ly_c_pax,pc_change
03/03/2019 11:05,2018,,Unknown,Unknown,1,GATWICK,Unknown,0,0,0,32,0,32,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,BELFAST CITY (GEORGE BEST),Unknown,0,0,0,1330,0,1330,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,BELFAST INTERNATIONAL,Unknown,0,0,0,145,0,145,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,BRISTOL,Unknown,0,0,0,10693,0,10693,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,CARDIFF WALES,Unknown,0,0,0,36,0,36,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,LEEDS BRADFORD,Unknown,0,0,0,5030,5030,0,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,MANCHESTER,Unknown,10,10,0,10271,8214,2057,-99.90264
03/03/2019 11:05,2018,,Unknown,Unknown,2,NEWCASTLE,Unknown,0,0,0,119,0,119,-100
03/03/2019 11:05,2018,,Unknown,Unknown,2,SOUTHAMPTON,Unknown,0,0,0,20,20,0,-100
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,INNSBRUCK,200652,176646,24006,209084,183664,25420,-4.03283
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,KLAGENFURT,5758,5758,0,838,838,0,587.11217
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,LINZ,172,172,0,0,0,0,0
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,SALZBURG,137514,118512,19002,144593,125057,19536,-4.89581
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,VIENNA,265519,265519,0,223828,223828,0,18.62636
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,INNSBRUCK,54962,54962,0,34573,34573,0,58.97377
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,SALZBURG,33855,33855,0,13566,13231,335,149.55772
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,VIENNA,840882,840882,0,807858,807858,0,4.08785
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,GRAZ,401,0,401,819,0,819,-51.03785
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,INNSBRUCK,13975,13975,0,8515,8515,0,64.12214
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,LINZ,218,218,0,190,0,190,14.73684
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,SALZBURG,11521,8215,3306,11107,7648,3459,3.72738
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,VIENNA,63564,63564,0,64044,64008,36,-0.74948
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,SOUTHEND,VIENNA,16884,16884,0,13375,13375,0,26.23551
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,GRAZ,0,0,0,502,0,502,-100
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,INNSBRUCK,8794,946,7848,7775,0,7775,13.10611
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,LINZ,26776,26776,0,34039,33929,110,-21.33729
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,SALZBURG,150737,146304,4433,105552,101419,4133,42.80828
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,VIENNA,104876,104876,0,86559,85566,993,21.16129
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST CITY (GEORGE BEST),SALZBURG,1975,0,1975,3562,0,3562,-44.55362
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,SALZBURG,5098,1584,3514,411,0,411,1140.38929
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,VIENNA,562,296,266,293,293,0,91.80887
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,GRAZ,1859,1344,515,8312,8101,211,-77.63474
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,INNSBRUCK,15687,0,15687,17869,3312,14557,-12.21109
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,SALZBURG,16343,5555,10788,15578,5569,10009,4.91077
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,VIENNA,37621,37621,0,34626,34626,0,8.64957
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,ZELTWEG (MILITARY),0,0,0,44,0,44,-100
03/03/2019 11:05,2018,1,WESTERN EUROPE-EU,AUSTRIA,2,BOURNEMOUTH,VIENNA,0,0,0,159,159,0,-100
