rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_pax,pax_terminal_scheduled_UK,pax_transit_scheduled_UK,pax_terminal_scheduled_foreign_EU,pax_transit_scheduled_foreign_EU,pax_terminal_scheduled_foreign_non_EU,pax_transit_scheduled_foreign_non_EU,pax_terminal_charter_UK,pax_transit_charter_UK,pax_terminal_charter_foreign_EU,pax_transit_charter_foreign_EU,pax_terminal_charter_foreign_non_EU,pax_transit_charter_foreign_non_EU
12/03/2019 14:40,201901,Other UK Airports,ABERDEEN,204435,109026,0,42917,0,7475,88,42086,0,2843,0,0,0
12/03/2019 14:40,201901,Non UK Reporting Airports,ALDERNEY,3239,3239,0,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BARRA,765,765,0,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BELFAST CITY (GEORGE BEST),162013,139008,0,22307,0,0,0,695,0,3,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BELFAST INTERNATIONAL,405935,317825,0,78763,0,0,0,9052,0,295,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BENBECULA,2393,2393,0,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BIGGIN HILL,291,0,0,0,0,0,0,51,0,240,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BIRMINGHAM,781258,263931,0,336264,0,121819,51,56985,0,2208,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BLACKPOOL,1297,0,0,0,0,0,0,1297,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BOURNEMOUTH,35869,3573,0,19675,0,2787,0,9734,0,100,0,0,0
12/03/2019 14:40,201901,Other UK Airports,BRISTOL,520854,328895,427,150611,0,0,0,35378,0,5543,0,0,0
12/03/2019 14:40,201901,Other UK Airports,CAMPBELTOWN,523,505,18,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,CARDIFF WALES,73100,30456,0,20069,0,6614,0,15842,0,119,0,0,0
12/03/2019 14:40,201901,Other UK Airports,CITY OF DERRY (EGLINTON),14536,3934,0,10236,0,0,0,366,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,DONCASTER SHEFFIELD,69812,9966,0,44196,0,267,0,15348,0,13,0,22,0
12/03/2019 14:40,201901,Other UK Airports,DUNDEE,1438,1426,0,0,0,0,0,0,0,12,0,0,0
12/03/2019 14:40,201901,Other UK Airports,DURHAM TEES VALLEY,10124,1582,321,8221,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,EAST MIDLANDS INTERNATIONAL,215025,80936,0,115604,0,0,0,18485,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,EDINBURGH,920098,509602,391,347991,0,47818,226,12833,0,1237,0,0,0
12/03/2019 14:40,201901,Other UK Airports,EXETER,54388,43209,0,0,0,0,0,10863,0,316,0,0,0
12/03/2019 14:40,201901,London Area Airports,GATWICK,2953515,1982446,0,531007,0,276756,0,155688,0,7425,0,193,0
12/03/2019 14:40,201901,Other UK Airports,GLASGOW,526761,382025,512,85209,0,44823,235,13957,0,0,0,0,0
12/03/2019 14:40,201901,Non UK Reporting Airports,GUERNSEY,52763,49464,3266,0,0,0,0,30,0,3,0,0,0
12/03/2019 14:40,201901,London Area Airports,HEATHROW,5928655,2995384,235,847634,602,2083058,593,662,0,487,0,0,0
12/03/2019 14:40,201901,Other UK Airports,HUMBERSIDE,13624,1801,197,9710,0,0,0,1900,16,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,INVERNESS,49018,45386,28,3604,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,ISLAY,1619,1610,9,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Non UK Reporting Airports,ISLE OF MAN,56832,54070,0,2762,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3169,3169,0,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Non UK Reporting Airports,JERSEY,94809,90488,1707,0,0,0,0,36,30,2548,0,0,0
12/03/2019 14:40,201901,Other UK Airports,KIRKWALL,10659,10026,633,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,LANDS END (ST JUST),2766,2766,0,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,LEEDS BRADFORD,180511,84246,185,95532,0,0,0,144,0,404,0,0,0
12/03/2019 14:40,201901,Other UK Airports,LERWICK (TINGWALL),133,133,0,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,LIVERPOOL (JOHN LENNON),316432,162349,0,152977,0,276,0,470,0,360,0,0,0
12/03/2019 14:40,201901,London Area Airports,LONDON CITY,341022,211045,0,97233,0,32744,0,0,0,0,0,0,0
12/03/2019 14:40,201901,London Area Airports,LUTON,1156359,610775,0,534278,0,3131,0,6891,0,1284,0,0,0
12/03/2019 14:40,201901,Other UK Airports,LYDD,6,0,0,0,0,0,0,0,0,6,0,0,0
12/03/2019 14:40,201901,Other UK Airports,MANCHESTER,1784815,771325,0,572137,0,317952,1995,116944,0,3441,176,845,0
12/03/2019 14:40,201901,Other UK Airports,NEWCASTLE,274384,170420,1068,81626,0,20556,0,576,0,138,0,0,0
12/03/2019 14:40,201901,Other UK Airports,NEWQUAY,23416,19394,0,3706,0,0,0,316,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,NORWICH,28116,8526,0,10757,0,0,0,8490,0,343,0,0,0
12/03/2019 14:40,201901,Other UK Airports,PRESTWICK,22353,0,0,21925,16,0,0,134,117,0,0,1,160
12/03/2019 14:40,201901,Other UK Airports,SCATSTA,9780,0,0,0,0,0,0,9780,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,SOUTHAMPTON,120202,111203,0,4541,0,3398,0,1060,0,0,0,0,0
12/03/2019 14:40,201901,London Area Airports,SOUTHEND,72837,56651,0,16061,0,0,0,0,0,125,0,0,0
12/03/2019 14:40,201901,London Area Airports,STANSTED,1930066,234498,0,1603440,0,75731,0,15746,0,651,0,0,0
12/03/2019 14:40,201901,Other UK Airports,STORNOWAY,8164,8004,160,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,SUMBURGH,17496,10160,0,0,0,0,0,7336,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,TIREE,637,619,18,0,0,0,0,0,0,0,0,0,0
12/03/2019 14:40,201901,Other UK Airports,WICK JOHN O GROATS,1136,1064,72,0,0,0,0,0,0,0,0,0,0

