Textbox22,Textbox23,Textbox99,Textbox103,grp_name,apt1_apt_name,airport_2_name2,total_pax_this_period2,total_pax_scheduled_this_period2,total_pax_charter_this_period2,total_pax_last_period2,total_pax_scheduled_last_period2,total_pax_charter_last_period2,total_pax_percent2,Textbox42,Textbox44,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent,Textbox12,Textbox13,Textbox14,Textbox16,Textbox17,Textbox18,Textbox20
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- ABERDEEN,8143,8143,-,7353,7353,-,11,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- BELFAST INTERNATIONAL,42216,42216,-,48024,48024,-,-12,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- BIRMINGHAM,-,-,-,69,-,69,-100,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- DURHAM TEES VALLEY,-,-,-,116,-,116,-100,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- EDINBURGH,55526,55526,-,54523,54523,-,2,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- GLASGOW,50145,50145,-,46623,46623,-,8,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- GUERNSEY,21693,21693,-,21833,21833,-,-1,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- INVERNESS,16969,16969,-,16292,16292,-,4,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- ISLE OF MAN,11354,11354,-,11668,11668,-,-3,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,London Area Airports,GATWICK,- JERSEY,47332,47332,-,44373,44373,-,7,Total London Area Airports,901224,901025,199,871415,871094,321,3,3172313,3162537,9776,3085230,3067786,17444,3
