rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
3/12/2019 2:21:04 PM,201901,201801,London Area Airports,GATWICK,681.559,708.681,(4),0.000,0.000,,681.559,708.681,(4)
3/12/2019 2:21:04 PM,201901,201801,London Area Airports,HEATHROW,7071.453,7616.566,(7),7.834,4.252,84,7079.287,7620.818,(7)
3/12/2019 2:21:04 PM,201901,201801,London Area Airports,LONDON CITY,66.209,61.193,8,0.000,0.000,,66.209,61.193,8
3/12/2019 2:21:04 PM,201901,201801,London Area Airports,LUTON,0.000,5.950,,59.379,43.238,37,59.379,49.188,21
3/12/2019 2:21:04 PM,201901,201801,London Area Airports,STANSTED,0.000,0.000,,1489.451,1458.754,2,1489.451,1458.754,2
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,ABERDEEN,0.022,0.432,(95),120.974,120.526,0,120.996,120.958,0
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,BELFAST INTERNATIONAL,0.000,0.000,,1225.802,1391.884,(12),1225.802,1391.884,(12)
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,BIRMINGHAM,1.447,5.269,(73),0.000,0.000,,1.447,5.269,(73)
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,BRISTOL,0.000,9.017,,0.000,0.000,,0.000,9.017,
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.000,0.000,,1885.873,1678.061,12,1885.873,1678.061,12
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,EDINBURGH,0.000,0.000,,1917.649,1806.133,6,1917.649,1806.133,6
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,EXETER,0.000,0.000,,304.685,265.706,15,304.685,265.706,15
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,GLASGOW,8.762,17.960,(51),0.000,0.099,,8.762,18.059,(51)
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,INVERNESS,0.000,0.000,,18.886,1.700,1011,18.886,1.700,1011
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,ISLAY,6.016,6.219,(3),0.000,0.000,,6.016,6.219,(3)
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0.000,2.200,,21.000,18.300,15,21.000,20.500,2
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,KIRKWALL,1.900,1.800,6,0.042,0.031,35,1.942,1.831,6
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,LANDS END (ST JUST),2.100,2.200,(5),20.500,18.400,11,22.600,20.600,10
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,MANCHESTER,194.028,330.174,(41),0.000,0.000,,194.028,330.174,(41)
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,NEWCASTLE,0.000,0.000,,0.000,0.958,,0.000,0.958,
3/12/2019 2:21:04 PM,201901,201801,Other UK Airports,TIREE,2.935,2.728,8,0.000,0.099,,2.935,2.827,4
3/12/2019 2:21:04 PM,201901,201801,Non UK Reporting Airports,ALDERNEY,10.484,7.700,36,0.120,0.263,(54),10.604,7.963,33
3/12/2019 2:21:04 PM,201901,201801,Non UK Reporting Airports,GUERNSEY,10.058,8.344,21,224.451,226.375,(1),234.509,234.719,0
3/12/2019 2:21:04 PM,201901,201801,Non UK Reporting Airports,ISLE OF MAN,0.000,0.000,,158.433,163.219,(3),158.433,163.219,(3)
3/12/2019 2:21:04 PM,201901,201801,Non UK Reporting Airports,JERSEY,0.299,0.087,244,187.375,199.246,(6),187.674,199.333,(6)

