rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
28/05/2019 14:32,201903,Other UK Airports,ABERDEEN,"6,204",199,"6,005"
28/05/2019 14:32,201903,Non UK Reporting Airports,ALDERNEY,344,10,334
28/05/2019 14:32,201903,Other UK Airports,BARRA,114,10,104
28/05/2019 14:32,201903,Other UK Airports,BELFAST CITY (GEORGE BEST),"2,839",19,"2,820"
28/05/2019 14:32,201903,Other UK Airports,BELFAST INTERNATIONAL,"3,739",4,"3,735"
28/05/2019 14:32,201903,Other UK Airports,BENBECULA,152,2,150
28/05/2019 14:32,201903,Other UK Airports,BIGGIN HILL,12,,12
28/05/2019 14:32,201903,Other UK Airports,BIRMINGHAM,"7,919",141,"7,778"
28/05/2019 14:32,201903,Other UK Airports,BLACKPOOL,310,,310
28/05/2019 14:32,201903,Other UK Airports,BOURNEMOUTH,254,,254
28/05/2019 14:32,201903,Other UK Airports,BRISTOL,"4,296",,"4,296"
28/05/2019 14:32,201903,Other UK Airports,CAMPBELTOWN,84,2,82
28/05/2019 14:32,201903,Other UK Airports,CARDIFF WALES,"1,258",34,"1,224"
28/05/2019 14:32,201903,Other UK Airports,DONCASTER SHEFFIELD,574,5,569
28/05/2019 14:32,201903,Other UK Airports,DUNDEE,95,2,93
28/05/2019 14:32,201903,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"3,815",74,"3,741"
28/05/2019 14:32,201903,Other UK Airports,EDINBURGH,"9,721",48,"9,673"
28/05/2019 14:32,201903,Other UK Airports,EXETER,"1,028",11,"1,017"
28/05/2019 14:32,201903,Other UK Airports,GLASGOW,"6,100",86,"6,014"
28/05/2019 14:32,201903,Other UK Airports,PRESTWICK,229,,229
28/05/2019 14:32,201903,Non UK Reporting Airports,GUERNSEY,"1,657",15,"1,642"
28/05/2019 14:32,201903,Other UK Airports,HUMBERSIDE,636,52,584
28/05/2019 14:32,201903,Other UK Airports,INVERNESS,855,2,853
28/05/2019 14:32,201903,Other UK Airports,ISLAY,140,16,124
28/05/2019 14:32,201903,Non UK Reporting Airports,ISLE OF MAN,"1,159",14,"1,145"
28/05/2019 14:32,201903,Other UK Airports,ISLES OF SCILLY (ST.MARYS),588,,588
28/05/2019 14:32,201903,Non UK Reporting Airports,JERSEY,"1,824",11,"1,813"
28/05/2019 14:32,201903,Other UK Airports,KIRKWALL,860,12,848
28/05/2019 14:32,201903,Other UK Airports,LANDS END (ST JUST),454,,454
28/05/2019 14:32,201903,Other UK Airports,LEEDS BRADFORD,"1,958",19,"1,939"
28/05/2019 14:32,201903,Other UK Airports,LERWICK (TINGWALL),59,,59
28/05/2019 14:32,201903,Other UK Airports,LIVERPOOL (JOHN LENNON),"2,775",5,"2,770"
28/05/2019 14:32,201903,London Area Airports,GATWICK,"22,382",125,"22,257"
28/05/2019 14:32,201903,London Area Airports,HEATHROW,"40,070",225,"39,845"
28/05/2019 14:32,201903,London Area Airports,LONDON CITY,"7,103",222,"6,881"
28/05/2019 14:32,201903,London Area Airports,LUTON,"8,486",6,"8,480"
28/05/2019 14:32,201903,London Area Airports,STANSTED,"14,314",28,"14,286"
28/05/2019 14:32,201903,Other UK Airports,CITY OF DERRY (EGLINTON),242,2,240
28/05/2019 14:32,201903,Other UK Airports,MANCHESTER,"14,533",110,"14,423"
28/05/2019 14:32,201903,Other UK Airports,NEWCASTLE,"2,770",58,"2,712"
28/05/2019 14:32,201903,Other UK Airports,NEWQUAY,421,11,410
28/05/2019 14:32,201903,Other UK Airports,NORWICH,"1,599",,"1,599"
28/05/2019 14:32,201903,Other UK Airports,SCATSTA,407,,407
28/05/2019 14:32,201903,Other UK Airports,SUMBURGH,883,1,882
28/05/2019 14:32,201903,Other UK Airports,SHOREHAM,-,,-
28/05/2019 14:32,201903,Other UK Airports,SOUTHAMPTON,"2,728",156,"2,572"
28/05/2019 14:32,201903,London Area Airports,SOUTHEND,"1,008",17,991
28/05/2019 14:32,201903,Other UK Airports,STORNOWAY,470,7,463
28/05/2019 14:32,201903,Other UK Airports,DURHAM TEES VALLEY,320,21,299
28/05/2019 14:32,201903,Other UK Airports,TIREE,134,12,122
28/05/2019 14:32,201903,Other UK Airports,WICK JOHN O GROATS,120,6,114

