rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,ABERDEEN,239815,254237,-5.672660,239815,254237,-5.672660,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Non UK Reporting Airports,ALDERNEY,4578,4096,11.767578,4578,4096,11.767578,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BARRA,1412,1402,0.713267,1412,1402,0.713267,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BELFAST CITY (GEORGE BEST),211050,204267,3.320654,211050,203961,3.475664,0,306,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BELFAST INTERNATIONAL,542166,498574,8.743336,542166,498574,8.743336,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BENBECULA,3030,2721,11.356119,3030,2721,11.356119,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BIGGIN HILL,252,124,103.225806,252,124,103.225806,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BIRMINGHAM,1004085,962715,4.297222,1003699,962676,4.261351,386,39,889.743590
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BLACKPOOL,1745,2297,-24.031345,1745,2297,-24.031345,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BOURNEMOUTH,69079,64431,7.213919,69079,64431,7.213919,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,BRISTOL,714889,703428,1.629307,714889,702940,1.699861,0,488,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,CAMPBELTOWN,646,651,-0.768049,646,645,0.155039,0,6,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,CARDIFF WALES,126274,105117,20.127096,126274,104874,20.405439,0,243,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,CITY OF DERRY (EGLINTON),15887,14988,5.998132,15887,14988,5.998132,0,0,Null
6/27/2019 10:30:21 AM,201904,201804,Other UK Airports,DONCASTER SHEFFIELD,101122,94263,7.276450,101122,94261,7.278726,0,2,Null
