rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
15/08/2019 13:05,201906,1,3,Other UK Airports,ABERDEEN,6620,2270,887,206,2863,394,0
15/08/2019 13:05,201906,2,4,Non UK Reporting Airports,ALDERNEY,405,405,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,BARRA,118,118,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),3057,2657,393,2,0,5,0
15/08/2019 13:05,201906,1,3,Other UK Airports,BELFAST INTERNATIONAL,4327,3556,618,0,126,25,2
15/08/2019 13:05,201906,1,3,Other UK Airports,BENBECULA,165,165,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,BIGGIN HILL,43,0,0,0,0,41,2
15/08/2019 13:05,201906,1,3,Other UK Airports,BIRMINGHAM,9718,4765,3401,535,997,14,6
15/08/2019 13:05,201906,1,3,Other UK Airports,BLACKPOOL,363,0,0,0,363,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,BOURNEMOUTH,531,25,365,0,115,8,18
15/08/2019 13:05,201906,1,3,Other UK Airports,BRISTOL,6042,3670,1714,0,610,28,20
15/08/2019 13:05,201906,1,3,Other UK Airports,CAMPBELTOWN,90,90,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,CARDIFF WALES,1730,793,378,59,490,10,0
15/08/2019 13:05,201906,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),284,214,70,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,DONCASTER SHEFFIELD,1082,356,344,12,355,13,2
15/08/2019 13:05,201906,1,3,Other UK Airports,DUNDEE,95,90,0,0,1,4,0
15/08/2019 13:05,201906,1,3,Other UK Airports,DURHAM TEES VALLEY,332,162,160,0,0,10,0
15/08/2019 13:05,201906,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,5336,2095,2574,192,360,99,16
15/08/2019 13:05,201906,1,3,Other UK Airports,EDINBURGH,11563,6937,3628,817,154,27,0
15/08/2019 13:05,201906,1,3,Other UK Airports,EXETER,1466,1209,54,0,177,8,18
15/08/2019 13:05,201906,1,1,London Area Airports,GATWICK,26442,18658,4369,1895,1451,68,1
15/08/2019 13:05,201906,1,3,Other UK Airports,GLASGOW,7595,5750,1006,435,375,27,2
15/08/2019 13:05,201906,2,4,Non UK Reporting Airports,GUERNSEY,2186,1999,10,0,96,81,0
15/08/2019 13:05,201906,1,1,London Area Airports,HEATHROW,41072,22972,7873,10002,121,103,1
15/08/2019 13:05,201906,1,3,Other UK Airports,HUMBERSIDE,642,135,160,0,319,28,0
15/08/2019 13:05,201906,1,3,Other UK Airports,INVERNESS,1163,1024,130,0,0,9,0
15/08/2019 13:05,201906,1,3,Other UK Airports,ISLAY,194,194,0,0,0,0,0
15/08/2019 13:05,201906,2,4,Non UK Reporting Airports,ISLE OF MAN,1215,1037,120,0,10,48,0
15/08/2019 13:05,201906,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),1318,1318,0,0,0,0,0
15/08/2019 13:05,201906,2,4,Non UK Reporting Airports,JERSEY,2458,2340,65,0,19,34,0
15/08/2019 13:05,201906,1,3,Other UK Airports,KIRKWALL,1040,1040,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,LANDS END (ST JUST),951,951,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,LEEDS BRADFORD,3168,2097,1018,0,33,12,8
15/08/2019 13:05,201906,1,3,Other UK Airports,LERWICK (TINGWALL),93,93,0,0,0,0,0
15/08/2019 13:05,201906,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),3196,1743,1369,0,7,58,19
15/08/2019 13:05,201906,1,1,London Area Airports,LONDON CITY,6831,4379,2064,386,0,2,0
15/08/2019 13:05,201906,1,1,London Area Airports,LUTON,10153,5911,3854,225,137,16,10
15/08/2019 13:05,201906,1,3,Other UK Airports,LYDD,2,0,0,0,0,0,2
15/08/2019 13:05,201906,1,3,Other UK Airports,MANCHESTER,18725,10189,5584,1477,1421,53,1
