rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,mail_scheduled_passenger_aircraft_foreign_EU,mail_scheduled_cargo_aircraft_foreign_EU,mail_charter_passenger_aircraft_foreign_EU,mail_charter_cargo_aircraft_foreign_EU,mail_scheduled_passenger_aircraft_foreign_non_EU,mail_scheduled_cargo_aircraft_foreign_non_EU,mail_charter_passenger_aircraft_foreign_non_EU,mail_charter_cargo_aircraft_foreign_non_EU,mail_scheduled_passenger_aircraft_UK,mail_scheduled_cargo_aircraft_UK,mail_charter_passenger_aircraft_UK,mail_charter_cargo_aircraft_UK
10/22/2019 5:15:02 PM,201908,London Area Airports,GATWICK,215.108,0,0.162,0,393.398,0,0.975,0,0.608,0,0,0
10/22/2019 5:15:02 PM,201908,London Area Airports,HEATHROW,887.006,0,0,0,5785.497,2.234,0,0,0.448,0,0,0
10/22/2019 5:15:02 PM,201908,London Area Airports,LONDON CITY,13.536,0,0,0,39.208,0,0,0,0,0,0,0
10/22/2019 5:15:02 PM,201908,London Area Airports,LUTON,0,50.093,0,0,0.014,0,0,0,0,0,0,0
10/22/2019 5:15:02 PM,201908,London Area Airports,STANSTED,0,127.892,0,0,0,0,0,0,0,0,0,1122.166
10/22/2019 5:15:02 PM,201908,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,6.872,0.098,0,0
10/22/2019 5:15:02 PM,201908,Non UK Reporting Airports,GUERNSEY,0,0,0,0,0,0,0,0,6.755,0,0,203.155
10/22/2019 5:15:02 PM,201908,Non UK Reporting Airports,ISLE OF MAN,0,0,0,0,0,0,0,0,0,0,0,156.177
10/22/2019 5:15:02 PM,201908,Non UK Reporting Airports,JERSEY,0,0,0,0,0,0,0,0,0.61,160.696,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,ABERDEEN,0.035,0,0,0,0,0,0,0,0.046,0,0,125.481
10/22/2019 5:15:02 PM,201908,Other UK Airports,BELFAST INTERNATIONAL,0.018,0,0,0,0,0,0,0,0,672.801,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,BIRMINGHAM,0.756,0,0,0,5.54,0,0,0,0.071,0,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0,0,0,0,0,0,0,0,0,1823.973,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,EDINBURGH,0,0,0,0,0,0,0,0,0,1898.589,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,EXETER,0,0,0,0,0,0,0,0,0,0,0,273.291
10/22/2019 5:15:02 PM,201908,Other UK Airports,INVERNESS,0,0,0,0,0,0,0,0,0,0,0,16.693
10/22/2019 5:15:02 PM,201908,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,7.994,0,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0.3,15,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,KIRKWALL,0,0,0,0,0,0,0,0,1.725,0.016,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0.3,15,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,MANCHESTER,0.136,0,0,0,251.212,0,0,0,2.579,0,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,SOUTHAMPTON,1.596,0,0,0,0,0,0,0,0.287,0,0,0
10/22/2019 5:15:02 PM,201908,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,3.475,0,0,0

