Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
17/12/2019 14:58:43,      201909,201809,London Area Airports,GATWICK,"4,087,647","2,645,416","233,018","2,878,434","2,928,281",-1.7022615,"1,129,573","79,640","1,209,213","1,231,994",-1.8491161
17/12/2019 14:58:43,      201909,201809,London Area Airports,HEATHROW,"6,386,486","2,317,379","16,590","2,333,969","2,476,861",-5.7690763,"4,050,588","1,929","4,052,517","4,089,961",-0.9155100
17/12/2019 14:58:43,      201909,201809,London Area Airports,LONDON CITY,"373,655","317,972",190,"318,162","275,112",15.6481724,"55,493",0,"55,493","49,720",11.6110217
17/12/2019 14:58:43,      201909,201809,London Area Airports,LUTON,"1,621,873","1,387,575","28,788","1,416,363","1,284,147",10.2960175,"201,310","4,200","205,510","173,971",18.1288835
17/12/2019 14:58:43,      201909,201809,London Area Airports,SOUTHEND,"193,875","193,097",0,"193,097","138,680",39.2392558,778,0,778,92,745.6521739
17/12/2019 14:58:43,      201909,201809,London Area Airports,STANSTED,"2,502,291","2,211,081","42,375","2,253,456","2,283,408",-1.3117235,"239,377","9,458","248,835","233,574",6.5336895
17/12/2019 14:58:43,      201909,201809,Other UK Airports,ABERDEEN,"130,139","64,996","13,745","78,741","71,550",10.0503145,"17,648","33,750","51,398","51,119",0.5457853
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BELFAST CITY (GEORGE BEST),"11,646","11,642",4,"11,646","20,464",-43.0903049,0,0,0,54,0.0000000
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BELFAST INTERNATIONAL,"267,742","223,986","31,789","255,775","262,847",-2.6905386,"3,402","8,565","11,967","12,668",-5.5336280
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BIGGIN HILL,195,0,110,110,110,0.0000000,0,85,85,24,254.1666667
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BIRMINGHAM,"1,139,448","791,034","137,239","928,273","931,235",-0.3180722,"176,363","34,812","211,175","202,395",4.3380518
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BLACKPOOL,"1,497",0,0,0,0,0.0000000,0,"1,497","1,497",640,133.9062500
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BOURNEMOUTH,"93,047","67,654","23,056","90,710","74,840",21.2052378,0,"2,337","2,337","1,171",99.5730145
17/12/2019 14:58:43,      201909,201809,Other UK Airports,BRISTOL,"807,288","649,146","93,554","742,700","714,031",4.0150918,"53,473","11,115","64,588","59,396",8.7413294
