rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),2574,2574,0,3082,3082,0,-16.4828
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,BIRMINGHAM,8244,8244,0,8432,8432,0,-2.2296
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,BRISTOL,1090,1090,0,997,997,0,9.32798
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,CARDIFF WALES,602,602,0,16,16,0,3662.5
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,EDINBURGH,0,0,0,74,74,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,FARNBOROUGH,0,0,0,22,0,22,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,GLASGOW,17,17,0,17,17,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,HUMBERSIDE,975,975,0,1592,1592,0,-38.75628
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,KIRKWALL,3997,3997,0,3799,3745,54,5.2119
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,MANCHESTER,15199,15199,0,15468,15468,0,-1.73907
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,NEWCASTLE,2429,2429,0,626,626,0,288.01917
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,NORWICH,3088,3088,0,2695,2695,0,14.58256
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,SCATSTA,4514,0,4514,4850,0,4850,-6.92784
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,0,0,0,493,493,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,SUMBURGH,8065,5087,2978,9507,7674,1833,-15.16777
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,1074,1074,0,1109,1109,0,-3.156
10/02/2020 11:27,201912,201812,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,201,201,0,412,412,0,-51.21359
10/02/2020 11:27,201912,201812,Other Reporting Airports,ALDERNEY,GUERNSEY,1985,1985,0,1911,1911,0,3.87232
10/02/2020 11:27,201912,201812,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,1502,1502,0,1579,1579,0,-4.8765
10/02/2020 11:27,201912,201812,Other Reporting Airports,ANGLESEY (VALLEY),CARDIFF WALES,690,690,0,804,804,0,-14.1791
10/02/2020 11:27,201912,201812,Other Reporting Airports,BARRA,GLASGOW,856,856,0,844,844,0,1.4218
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,16750,16750,0,19363,19250,113,-13.49481
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,3496,3496,0,5926,5926,0,-41.00574
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARLISLE,609,609,0,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),DONCASTER SHEFFIELD,0,0,0,2571,2571,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,9269,9269,0,10925,10925,0,-15.15789
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,10600,10600,0,11006,11006,0,-3.6889
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,2347,2347,0,3244,3244,0,-27.65105
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),FARNBOROUGH,0,0,0,16,0,16,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,8685,8685,0,11427,11427,0,-23.9958
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,1921,1921,0,2478,2478,0,-22.4778
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,10500,10500,0,12616,12616,0,-16.77235
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),0,0,0,2395,2395,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,20606,20606,0,19594,19594,0,5.16485
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),PRESTWICK,52,0,52,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,8032,8032,0,8844,8844,0,-9.18137
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,22470,22470,0,20867,20788,79,7.68199
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,23778,23778,0,22675,22675,0,4.86439
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,CARDIFF WALES,0,0,0,94,0,94,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,27480,27415,65,26445,26445,0,3.91378
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,26581,26412,169,27830,27830,0,-4.48796
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,ISLE OF MAN,1981,1981,0,1747,1747,0,13.39439
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),43375,43375,0,43262,43262,0,0.2612
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,32796,32723,73,44351,44351,0,-26.05353
10/02/2020 11:27,201912,201812,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,20501,20501,0,22100,22100,0,-7.23529
10/02/2020 11:27,201912,201812,Other Reporting Airports,BENBECULA,GLASGOW,1920,1920,0,1895,1895,0,1.31926
10/02/2020 11:27,201912,201812,Other Reporting Airports,BENBECULA,INVERNESS,0,0,0,18,18,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BENBECULA,ISLAY,0,0,0,9,9,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BENBECULA,PRESTWICK,0,0,0,33,33,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BENBECULA,STORNOWAY,531,531,0,616,616,0,-13.7987
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIGGIN HILL,GUERNSEY,6,0,6,26,0,26,-76.92308
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIGGIN HILL,INVERNESS,16,0,16,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,BOURNEMOUTH,0,0,0,87,0,87,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,0,0,0,37,37,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,EDINBURGH,16714,16714,0,20006,20006,0,-16.45506
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,GLASGOW,13793,13793,0,15278,15278,0,-9.71986
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,GUERNSEY,129,129,0,3459,3459,0,-96.2706
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,INVERNESS,2023,2023,0,3547,3547,0,-42.96589
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,3371,3371,0,3567,3567,0,-5.49481
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,JERSEY,5859,5859,0,2743,2743,0,113.59825
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,NEWCASTLE,50,50,0,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,NEWQUAY,158,158,0,666,666,0,-76.27628
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,PRESTWICK,110,110,0,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,SOUTHAMPTON,50,0,50,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BIRMINGHAM,TEESSIDE INTERNATIONAL AIRPORT,35,0,35,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BOURNEMOUTH,DONCASTER SHEFFIELD,0,0,0,43,0,43,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BOURNEMOUTH,LEEDS BRADFORD,0,0,0,36,0,36,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BOURNEMOUTH,LIVERPOOL (JOHN LENNON),83,0,83,74,0,74,12.16216
10/02/2020 11:27,201912,201812,Other Reporting Airports,BOURNEMOUTH,MANCHESTER,0,0,0,136,0,136,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BOURNEMOUTH,NORWICH,33,0,33,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,CARDIFF WALES,182,182,0,0,0,0,0
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,EDINBURGH,34926,34926,0,34566,34566,0,1.04149
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,GLASGOW,27192,27192,0,24699,24699,0,10.09353
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,GUERNSEY,1630,1630,0,2946,2946,0,-44.67074
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,HAWARDEN,230,0,230,3,3,0,7566.66667
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,INVERNESS,5848,5848,0,6399,6399,0,-8.61072
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,ISLE OF MAN,3000,3000,0,2338,2338,0,28.3148
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,JERSEY,1876,1876,0,733,733,0,155.93452
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,LIVERPOOL (JOHN LENNON),0,0,0,149,149,0,-100
10/02/2020 11:27,201912,201812,Other Reporting Airports,BRISTOL,NEWCASTLE,14913,14913,0,15128,15128,0,-1.42121
10/02/2020 11:27,201912,201812,Other Reporting Airports,CAMBRIDGE,MANCHESTER,4,4,0,99,99,0,-95.9596
10/02/2020 11:27,201912,201812,Other Reporting Airports,CAMPBELTOWN,GLASGOW,447,447,0,390,390,0,14.61538
10/02/2020 11:27,201912,201812,Other Reporting Airports,CAMPBELTOWN,ISLAY,0,0,0,14,14,0,-100
