rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
17/03/2020 10:46,2019,2018,1,1,London Area Airports,GATWICK,3447490,3445,3450935,3729096,-7.459207272
17/03/2020 10:46,2019,2018,1,1,London Area Airports,HEATHROW,4866303,22,4866325,4792938,1.531148536
17/03/2020 10:46,2019,2018,1,1,London Area Airports,LONDON CITY,1113079,86,1113165,1091727,1.963677733
17/03/2020 10:46,2019,2018,1,1,London Area Airports,LUTON,1204715,595,1205310,1197279,0.670770973
17/03/2020 10:46,2019,2018,1,1,London Area Airports,SOUTHEND,129384,0,129384,125289,3.268443359
17/03/2020 10:46,2019,2018,1,1,London Area Airports,STANSTED,1550767,316,1551083,1944537,-20.233814013
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,ABERDEEN,1446183,106012,1552195,1750234,-11.315001308
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BARRA,14599,0,14599,14706,-0.727594179
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2329810,169,2329979,2375144,-1.901568915
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BELFAST INTERNATIONAL,3934165,2741,3936906,3919175,0.452416644
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BENBECULA,34656,0,34656,35404,-2.112755621
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BIGGIN HILL,0,706,706,359,96.657381616
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BIRMINGHAM,1330498,1626,1332124,1354776,-1.672010724
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BOURNEMOUTH,2032,1303,3335,2748,21.360989811
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,BRISTOL,1373950,3627,1377577,1352167,1.879205749
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,CAMPBELTOWN,7975,0,7975,8472,-5.866383381
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,CARDIFF WALES,233807,4004,237811,259343,-8.302518287
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),203411,0,203411,183194,11.035841785
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,DONCASTER SHEFFIELD,65573,512,66085,59386,11.280436467
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,DUNDEE,20470,165,20635,20623,0.058187461
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,342537,1802,344339,401391,-14.213572302
17/03/2020 10:46,2019,2018,1,3,Other UK Airports,EDINBURGH,5332389,1455,5333844,5372325,-0.716282057
