rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
3/17/2020 2:49:14 PM,2019,London Area Airports,GATWICK,110358.050000,17857.215000,47854.206000,277.525000,452.537000,20420.478000,20732.813000,1536.859000,1215.441000,5.706000,5.270000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,London Area Airports,HEATHROW,1587486.409000,301772.642000,349467.724000,27053.141000,28609.546000,446811.537000,415706.146000,81.305000,55.989000,14901.905000,3026.474000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,London Area Airports,LONDON CITY,4.080000,1.028000,0.747000,0.819000,1.484000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,London Area Airports,LUTON,35761.034000,0.000000,1.443000,28601.870000,2174.516000,3787.852000,1174.294000,0.815000,20.243000,0.000000,0.001000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,London Area Airports,STANSTED,224139.213000,3348.311000,205.287000,14612.569000,3771.095000,119006.910000,80895.775000,17.312000,112.124000,257.325000,13.680000,1503.731000,395.094000
3/17/2020 2:49:14 PM,2019,Other UK Airports,ABERDEEN,5985.809000,63.213000,192.781000,1711.516000,1246.626000,112.274000,123.918000,644.165000,1029.665000,510.324000,351.327000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,BARRA,12.143000,11.897000,0.246000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,BELFAST CITY (GEORGE BEST),195.871000,87.726000,78.664000,27.667000,1.812000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,BELFAST INTERNATIONAL,25095.304000,310.002000,52.556000,10965.009000,4649.190000,10.225000,98.119000,0.152000,17.973000,5938.283000,2927.267000,0.403000,126.125000
3/17/2020 2:49:14 PM,2019,Other UK Airports,BENBECULA,38.141000,31.116000,4.830000,0.000000,0.000000,0.000000,0.000000,2.195000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,BIRMINGHAM,29865.644000,154.232000,56.466000,869.481000,308.789000,17022.336000,10863.685000,174.872000,126.006000,1.328000,70.143000,148.230000,70.076000
3/17/2020 2:49:14 PM,2019,Other UK Airports,BRISTOL,10.645000,0.000000,0.264000,4.968000,0.423000,0.000000,0.000000,4.922000,0.068000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,CARDIFF WALES,1803.154000,0.000000,0.000000,0.000000,0.000000,1733.791000,60.506000,0.304000,8.553000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,DONCASTER SHEFFIELD,17647.063000,0.004000,1.138000,60.021000,15.349000,14286.142000,287.103000,27.625000,6.845000,803.643000,26.555000,608.472000,1524.166000
3/17/2020 2:49:14 PM,2019,Other UK Airports,EAST MIDLANDS INTERNATIONAL,335948.142000,16768.997000,16749.394000,101641.585000,99492.142000,30569.937000,24559.369000,56.200000,401.642000,22817.393000,21700.100000,405.008000,786.375000
3/17/2020 2:49:14 PM,2019,Other UK Airports,EDINBURGH,19409.926000,33.818000,1.709000,9244.190000,7446.900000,8.343000,3.622000,38.958000,0.000000,1494.942000,1137.444000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,GLASGOW,12822.485000,64.103000,422.115000,74.625000,90.312000,2918.096000,9234.305000,7.261000,11.667000,0.000000,0.001000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,HUMBERSIDE,116.743000,0.098000,0.652000,0.022000,0.000000,0.000000,0.000000,46.918000,68.413000,0.000000,0.000000,0.640000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,ISLAY,313.318000,146.450000,166.868000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,ISLES OF SCILLY (ST.MARYS),68.100000,45.400000,22.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,KIRKWALL,32.957000,9.715000,23.242000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,LANDS END (ST JUST),71.000000,18.600000,52.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,LIVERPOOL (JOHN LENNON),783.903000,14.032000,28.139000,0.607000,12.296000,0.000000,4.500000,44.763000,41.968000,80.901000,15.681000,325.205000,215.811000
3/17/2020 2:49:14 PM,2019,Other UK Airports,LYDD,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,7.000000,3.500000,3.500000
