rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
07/04/2020 14:10,202002,201902,Other UK Airports,ABERDEEN,5581,5440,141,5626,5494,132,-0.799858,-0.982890,6.818182
07/04/2020 14:10,202002,201902,Non UK Reporting Airports,ALDERNEY,308,305,3,309,308,1,-0.323625,-0.974026,200.000000
07/04/2020 14:10,202002,201902,Other UK Airports,BARRA,98,98,0,100,100,0,-2.000000,-2.000000,
07/04/2020 14:10,202002,201902,Other UK Airports,BELFAST CITY (GEORGE BEST),2375,2375,0,2528,2528,0,-6.052215,-6.052215,
07/04/2020 14:10,202002,201902,Other UK Airports,BELFAST INTERNATIONAL,3056,2704,352,3381,3113,268,-9.612541,-13.138452,31.343284
07/04/2020 14:10,202002,201902,Other UK Airports,BENBECULA,139,139,0,136,136,0,2.205882,2.205882,
07/04/2020 14:10,202002,201902,Other UK Airports,BIGGIN HILL,35,35,0,18,18,0,94.444444,94.444444,
07/04/2020 14:10,202002,201902,Other UK Airports,BIRMINGHAM,6868,6714,154,7027,6809,218,-2.262701,-1.395212,-29.357798
07/04/2020 14:10,202002,201902,Other UK Airports,BLACKPOOL,352,352,0,338,338,0,4.142012,4.142012,
07/04/2020 14:10,202002,201902,Other UK Airports,BOURNEMOUTH,273,273,0,238,238,0,14.705882,14.705882,
07/04/2020 14:10,202002,201902,Other UK Airports,BRISTOL,4144,4144,0,3994,3994,0,3.755633,3.755633,
07/04/2020 14:10,202002,201902,Other UK Airports,CAMPBELTOWN,80,80,0,79,79,0,1.265823,1.265823,
07/04/2020 14:10,202002,201902,Other UK Airports,CARDIFF WALES,1007,1007,0,1004,1004,0,0.298805,0.298805,
07/04/2020 14:10,202002,201902,Other UK Airports,CITY OF DERRY (EGLINTON),216,216,0,178,178,0,21.348315,21.348315,
07/04/2020 14:10,202002,201902,Other UK Airports,DONCASTER SHEFFIELD,363,348,15,486,466,20,-25.308642,-25.321888,-25.000000
07/04/2020 14:10,202002,201902,Other UK Airports,DUNDEE,91,91,0,95,95,0,-4.210526,-4.210526,
07/04/2020 14:10,202002,201902,Other UK Airports,EAST MIDLANDS INTERNATIONAL,3452,1564,1888,3406,1668,1738,1.350558,-6.235012,8.630610
07/04/2020 14:10,202002,201902,Other UK Airports,EDINBURGH,8857,8447,410,8514,8123,391,4.028659,3.988674,4.859335
07/04/2020 14:10,202002,201902,Other UK Airports,EXETER,829,788,41,922,883,39,-10.086768,-10.758777,5.128205
07/04/2020 14:10,202002,201902,London Area Airports,GATWICK,19226,19226,0,19659,19659,0,-2.202554,-2.202554,
07/04/2020 14:10,202002,201902,Other UK Airports,GLASGOW,5213,5156,57,5246,5193,53,-0.629051,-0.712498,7.547170
07/04/2020 14:10,202002,201902,Non UK Reporting Airports,GUERNSEY,1777,1626,151,1486,1345,141,19.582773,20.892193,7.092199
07/04/2020 14:10,202002,201902,London Area Airports,HEATHROW,36542,36349,193,35488,35280,208,2.970018,3.030045,-7.211538
07/04/2020 14:10,202002,201902,Other UK Airports,HUMBERSIDE,428,415,13,558,553,5,-23.297491,-24.954792,160.000000
07/04/2020 14:10,202002,201902,Other UK Airports,INVERNESS,798,760,38,754,750,4,5.835544,1.333333,850.000000
07/04/2020 14:10,202002,201902,Other UK Airports,ISLAY,114,114,0,125,125,0,-8.800000,-8.800000,
07/04/2020 14:10,202002,201902,Non UK Reporting Airports,ISLE OF MAN,968,927,41,1024,984,40,-5.468750,-5.792683,2.500000
07/04/2020 14:10,202002,201902,Other UK Airports,ISLES OF SCILLY (ST.MARYS),346,268,78,433,346,87,-20.092379,-22.543353,-10.344828
07/04/2020 14:10,202002,201902,Non UK Reporting Airports,JERSEY,1713,1656,57,1585,1463,122,8.075710,13.192071,-53.278689
07/04/2020 14:10,202002,201902,Other UK Airports,KIRKWALL,795,787,8,789,784,5,0.760456,0.382653,60.000000
07/04/2020 14:10,202002,201902,Other UK Airports,LANDS END (ST JUST),324,248,76,393,314,79,-17.557252,-21.019108,-3.797468
07/04/2020 14:10,202002,201902,Other UK Airports,LEEDS BRADFORD,1598,1598,0,1624,1624,0,-1.600985,-1.600985,
07/04/2020 14:10,202002,201902,Other UK Airports,LERWICK (TINGWALL),50,50,0,62,62,0,-19.354839,-19.354839,
07/04/2020 14:10,202002,201902,Other UK Airports,LIVERPOOL (JOHN LENNON),2359,2353,6,2506,2469,37,-5.865922,-4.698258,-83.783784
07/04/2020 14:10,202002,201902,London Area Airports,LONDON CITY,6260,6260,0,6412,6412,0,-2.370555,-2.370555,
07/04/2020 14:10,202002,201902,London Area Airports,LUTON,7521,7331,190,7557,7372,185,-0.476380,-0.556158,2.702703
07/04/2020 14:10,202002,201902,Other UK Airports,MANCHESTER,12797,12732,65,12693,12640,53,0.819349,0.727848,22.641509
07/04/2020 14:10,202002,201902,Other UK Airports,NEWCASTLE,2405,2373,32,2443,2410,33,-1.555465,-1.535270,-3.030303
07/04/2020 14:10,202002,201902,Other UK Airports,NEWQUAY,413,413,0,339,339,0,21.828909,21.828909,
07/04/2020 14:10,202002,201902,Other UK Airports,NORWICH,1187,1187,0,1470,1470,0,-19.251701,-19.251701,
07/04/2020 14:10,202002,201902,Other UK Airports,PRESTWICK,149,101,48,183,129,54,-18.579235,-21.705426,-11.111111
07/04/2020 14:10,202002,201902,Other UK Airports,SCATSTA,353,353,0,393,393,0,-10.178117,-10.178117,
07/04/2020 14:10,202002,201902,Other UK Airports,SOUTHAMPTON,2358,2357,1,2400,2400,0,-1.750000,-1.791667,
07/04/2020 14:10,202002,201902,London Area Airports,SOUTHEND,1256,1256,0,900,900,0,39.555556,39.555556,
07/04/2020 14:10,202002,201902,London Area Airports,STANSTED,12705,11946,759,12734,11984,750,-0.227737,-0.317089,1.200000
07/04/2020 14:10,202002,201902,Other UK Airports,STORNOWAY,415,415,0,420,420,0,-1.190476,-1.190476,
07/04/2020 14:10,202002,201902,Other UK Airports,SUMBURGH,744,740,4,830,830,0,-10.361446,-10.843373,
07/04/2020 14:10,202002,201902,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,301,301,0,301,301,0,0.000000,0.000000,
07/04/2020 14:10,202002,201902,Other UK Airports,TIREE,109,109,0,128,127,1,-14.843750,-14.173228,-.000000
07/04/2020 14:10,202002,201902,Other UK Airports,WICK JOHN O GROATS,86,86,0,114,114,0,-24.561404,-24.561404,

