rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
24/07/2020 11:13:45,202004,London Area Airports,  GATWICK,0.006000,0.000000,0.000000,0.000000,18.382000,35.903000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24/07/2020 11:13:45,202004,London Area Airports,  HEATHROW,328.458000,1444.788000,5.127000,1589.879000,17987.829000,21609.171000,449.007000,8204.740000,0.859000,0.519000,0.000000,0.000000
24/07/2020 11:13:45,202004,London Area Airports,  LUTON,0.000000,1639.128000,0.000000,0.000000,0.000000,388.346000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24/07/2020 11:13:45,202004,London Area Airports,  STANSTED,9.170000,3795.426000,0.000000,7.994000,0.000000,12875.459000,2.604000,618.193000,0.000000,53.273000,0.000000,0.000000
24/07/2020 11:13:45,202004,Other UK Airports,  ABERDEEN,0.433000,1.658000,0.000000,0.000000,8.539000,0.000000,108.516000,6.096000,2.345000,259.186000,5.934000,0.084000
24/07/2020 11:13:45,202004,Other UK Airports,  BELFAST INTERNATIONAL,0.000000,863.481000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,844.356000,0.000000,0.000000
24/07/2020 11:13:45,202004,Other UK Airports,  BENBECULA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.869000,0.017000,0.000000,0.000000
24/07/2020 11:13:45,202004,Other UK Airports,  BIRMINGHAM,0.161000,247.994000,0.000000,0.000000,15.556000,0.000000,0.000000,3.024000,0.000000,0.000000,0.000000,1.738000
24/07/2020 11:13:45,202004,Other UK Airports,  CARDIFF WALES,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.741000,0.000000,0.000000,0.000000,0.000000
24/07/2020 11:13:45,202004,Other UK Airports,  DONCASTER SHEFFIELD,0.000000,0.000000,0.000000,0.000000,0.000000,2027.076000,0.000000,653.850000,0.000000,0.000000,0.000000,0.000000
24/07/2020 11:13:45,202004,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,0.000000,14541.340000,0.000000,2959.868000,0.000000,3277.427000,0.000000,2002.711000,0.000000,2270.645000,0.000000,0.000000
