rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),0,0,0,3556,3556,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,BIRMINGHAM,138,138,0,9516,9516,0,-98.54981
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,BRISTOL,122,122,0,1619,1619,0,-92.46448
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,EDINBURGH,0,0,0,31,31,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,GLASGOW,0,0,0,37,37,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,HEATHROW,2441,2441,0,60641,60641,0,-95.97467
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,HUMBERSIDE,330,330,0,1488,1488,0,-77.82258
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,JERSEY,0,0,0,687,687,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,KIRKWALL,745,745,0,4310,4310,0,-82.71462
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,LUTON,0,0,0,6632,6632,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,MANCHESTER,725,725,0,18718,18718,0,-96.12672
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,NEWCASTLE,189,189,0,1733,1733,0,-89.09406
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,NEWQUAY,0,0,0,98,98,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,NORWICH,724,724,0,3755,3755,0,-80.71904
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,SCATSTA,1639,0,1639,4755,0,4755,-65.53102
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,198,198,0,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,SOUTHEND,0,0,0,3609,3609,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,SUMBURGH,1929,902,1027,11963,6740,5223,-83.87528
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,56,56,0,1398,1398,0,-95.99428
14/08/2020 09:29,202006,201906,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,0,0,0,485,485,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ALDERNEY,GUERNSEY,917,917,0,2583,2583,0,-64.49864
14/08/2020 09:29,202006,201906,Other Reporting Airports,ALDERNEY,JERSEY,0,0,0,92,92,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,0,0,0,2096,2096,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BARRA,BENBECULA,0,0,0,7,7,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BARRA,GLASGOW,110,110,0,1480,1480,0,-92.56757
14/08/2020 09:29,202006,201906,Other Reporting Airports,BARRA,TIREE,22,22,0,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ABERDEEN,0,0,0,3523,3523,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,0,0,0,24198,24198,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,0,0,0,5738,5738,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),DONCASTER SHEFFIELD,0,0,0,3064,3064,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,0,0,0,12373,12373,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,0,0,0,13476,13476,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,0,0,0,3216,3216,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,0,0,0,12906,12906,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),HEATHROW,10681,10681,0,59974,59974,0,-82.19062
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,0,0,0,3414,3414,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,0,0,0,13060,13060,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LONDON CITY,0,0,0,19740,19740,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,0,0,0,25401,25401,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWQUAY,0,0,0,958,958,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,122,122,0,11441,11441,0,-98.93366
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST CITY (GEORGE BEST),TEESSIDE INTERNATIONAL AIRPORT,53,53,0,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,1278,1278,0,21842,21842,0,-94.14889
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,1615,1615,0,23126,23126,0,-93.01652
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,1752,1752,0,29582,29582,0,-94.07748
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,GATWICK,2869,2869,0,50319,50319,0,-94.29838
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,2060,2060,0,23999,23999,0,-91.41631
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,ISLE OF MAN,0,0,0,2020,2020,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,0,0,0,2669,2669,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),3100,3100,0,38843,38843,0,-92.01915
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,LUTON,0,0,0,29542,29542,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,0,0,0,36356,36356,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,1554,1554,0,23435,23435,0,-93.36889
14/08/2020 09:29,202006,201906,Other Reporting Airports,BELFAST INTERNATIONAL,STANSTED,0,0,0,36373,36373,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BENBECULA,GLASGOW,132,132,0,2501,2501,0,-94.72211
14/08/2020 09:29,202006,201906,Other Reporting Airports,BENBECULA,INVERNESS,0,0,0,1,1,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BENBECULA,STORNOWAY,61,61,0,886,886,0,-93.11512
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIGGIN HILL,GUERNSEY,0,0,0,12,0,12,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIGGIN HILL,INVERNESS,0,0,0,9,0,9,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIGGIN HILL,LIVERPOOL (JOHN LENNON),26,0,26,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,ABERDEEN,129,129,0,9490,9490,0,-98.64067
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,BELFAST CITY (GEORGE BEST),0,0,0,24217,24217,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,BELFAST INTERNATIONAL,1267,1267,0,21695,21695,0,-94.15994
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,BOURNEMOUTH,71,0,71,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,BRISTOL,27,27,0,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,EDINBURGH,0,0,0,22091,22091,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,GLASGOW,0,0,0,20929,20929,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,GUERNSEY,0,0,0,1056,1056,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,INVERNESS,0,0,0,3928,3928,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,0,0,0,4240,4240,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,JERSEY,0,0,0,7571,7571,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,MANCHESTER,0,0,0,173,0,173,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BIRMINGHAM,NEWQUAY,0,0,0,2734,2734,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BOURNEMOUTH,GUERNSEY,0,0,0,58,58,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BOURNEMOUTH,JERSEY,0,0,0,254,254,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,ABERDEEN,102,102,0,1608,1608,0,-93.65672
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,BELFAST INTERNATIONAL,1558,1558,0,23084,23084,0,-93.25074
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,BIRMINGHAM,31,31,0,2,2,0,1450
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,EDINBURGH,0,0,0,32269,32269,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,GATWICK,0,0,0,2,2,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,GLASGOW,0,0,0,27023,27023,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,GUERNSEY,0,0,0,2051,2051,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,HAWARDEN,0,0,0,418,9,409,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,INVERNESS,0,0,0,8747,8747,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,ISLE OF MAN,0,0,0,2290,2290,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,JERSEY,0,0,0,2729,2729,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,LUTON,0,0,0,2,0,2,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,BRISTOL,NEWCASTLE,0,0,0,17090,17090,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,CAMPBELTOWN,GLASGOW,9,9,0,837,837,0,-98.92473
14/08/2020 09:29,202006,201906,Other Reporting Airports,CAMPBELTOWN,ISLAY,4,4,0,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,CAMPBELTOWN,TIREE,3,3,0,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,ANGLESEY (VALLEY),0,0,0,1063,1063,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,BELFAST CITY (GEORGE BEST),0,0,0,5782,5782,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,EDINBURGH,0,0,0,9435,9435,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,GLASGOW,0,0,0,2736,2736,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,HUMBERSIDE,34,0,34,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,JERSEY,0,0,0,1840,1840,0,-100
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,LEEDS BRADFORD,34,0,34,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,MANCHESTER,66,0,66,0,0,0,0
14/08/2020 09:29,202006,201906,Other Reporting Airports,CARDIFF WALES,NEWCASTLE,0,0,0,487,487,0,-100
