rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
13/01/2021 14:51,202008,London Area Airports,GATWICK,8119,7860,0,146,0,82,0,0,0,1,0,30
13/01/2021 14:51,202008,London Area Airports,HEATHROW,15460,15254,15,163,0,4,0,0,32,3,4,0
13/01/2021 14:51,202008,London Area Airports,LONDON CITY,585,568,77,17,0,0,0,0,0,0,0,0
13/01/2021 14:51,202008,London Area Airports,LUTON,9022,7169,0,75,0,4,23,0,0,0,0,1751
13/01/2021 14:51,202008,London Area Airports,SOUTHEND,1937,576,6,65,14,126,13,797,276,4,8,58
13/01/2021 14:51,202008,London Area Airports,STANSTED,10709,9504,58,380,2,4,57,0,0,1,0,761
13/01/2021 14:51,202008,Miscellaneous,EDMISTON LONDON HELIPORT,346,46,46,42,2,0,58,0,196,0,0,2
13/01/2021 14:51,202008,Non UK Reporting Airports,ALDERNEY,464,241,3,3,193,2,0,5,20,0,0,0
13/01/2021 14:51,202008,Non UK Reporting Airports,GUERNSEY,1255,525,13,78,435,2,24,36,107,0,12,36
13/01/2021 14:51,202008,Non UK Reporting Airports,ISLE OF MAN,593,379,89,29,0,6,0,102,33,0,10,34
13/01/2021 14:51,202008,Non UK Reporting Airports,JERSEY,1871,682,30,20,0,11,486,605,0,61,6,0
13/01/2021 14:51,202008,Other UK Airports,ABERDEEN,4639,3781,297,206,2,243,209,190,0,0,7,1
13/01/2021 14:51,202008,Other UK Airports,BARRA,122,116,0,0,0,0,0,0,6,0,0,0
13/01/2021 14:51,202008,Other UK Airports,BELFAST CITY (GEORGE BEST),424,406,17,9,0,0,0,0,5,2,2,0
13/01/2021 14:51,202008,Other UK Airports,BELFAST INTERNATIONAL,3118,2196,22,63,0,6,405,0,0,124,324,0
13/01/2021 14:51,202008,Other UK Airports,BENBECULA,196,180,83,7,3,0,0,0,6,0,0,0
13/01/2021 14:51,202008,Other UK Airports,BIGGIN HILL,3929,1533,1489,30,320,0,0,789,943,0,0,314
13/01/2021 14:51,202008,Other UK Airports,BIRMINGHAM,3166,2871,150,108,0,4,140,0,43,0,0,0
13/01/2021 14:51,202008,Other UK Airports,BLACKPOOL,3403,488,62,24,0,306,0,1854,659,0,4,68
13/01/2021 14:51,202008,Other UK Airports,BOURNEMOUTH,3005,302,0,55,0,1320,394,199,596,0,16,123
13/01/2021 14:51,202008,Other UK Airports,BRISTOL,3693,2867,24,24,0,88,247,437,0,10,20,0
13/01/2021 14:51,202008,Other UK Airports,CAMBRIDGE,1433,0,0,0,254,8,0,813,277,0,12,69
13/01/2021 14:51,202008,Other UK Airports,CAMPBELTOWN,110,60,16,16,0,0,0,0,20,0,14,0
13/01/2021 14:51,202008,Other UK Airports,CARDIFF WALES,1183,240,0,19,0,0,0,594,318,0,12,0
13/01/2021 14:51,202008,Other UK Airports,CITY OF DERRY (EGLINTON),502,164,6,8,40,18,0,167,83,0,4,18
13/01/2021 14:51,202008,Other UK Airports,COVENTRY,2455,0,0,0,1,2250,0,0,204,0,0,0
13/01/2021 14:51,202008,Other UK Airports,DONCASTER SHEFFIELD,1309,577,211,34,0,152,53,384,11,74,24,0
13/01/2021 14:51,202008,Other UK Airports,DUNDEE,2496,79,20,26,8,93,13,2153,63,0,2,59
13/01/2021 14:51,202008,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4758,3684,221,320,0,29,296,0,101,0,0,328
13/01/2021 14:51,202008,Other UK Airports,EDINBURGH,4513,4201,38,86,0,0,2,0,192,0,32,0
13/01/2021 14:51,202008,Other UK Airports,EXETER,2264,262,4,16,279,174,21,752,552,0,28,180
13/01/2021 14:51,202008,Other UK Airports,GLASGOW,3531,2634,177,94,0,62,300,409,0,0,15,17
13/01/2021 14:51,202008,Other UK Airports,GLOUCESTERSHIRE,6014,29,29,34,66,1446,35,3163,1167,0,19,55
13/01/2021 14:51,202008,Other UK Airports,HAWARDEN,1221,0,0,0,60,102,60,328,538,0,54,79
13/01/2021 14:51,202008,Other UK Airports,HUMBERSIDE,1250,208,3,91,0,680,77,0,72,0,106,16
