rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
1/15/2021 9:24:32 AM,202011,201911,London Area Airports,GATWICK,145.967,734.930,(80),15.950,0.000,,161.917,734.930,(78)
1/15/2021 9:24:32 AM,202011,201911,London Area Airports,HEATHROW,3400.700,8069.128,(58),2245.592,7.836,28557,5646.292,8076.964,(30)
1/15/2021 9:24:32 AM,202011,201911,London Area Airports,LONDON CITY,0.000,43.215,,0.000,0.000,,0.000,43.215,
1/15/2021 9:24:32 AM,202011,201911,London Area Airports,LUTON,5.880,2.749,114,100.537,93.305,8,106.417,96.054,11
1/15/2021 9:24:32 AM,202011,201911,London Area Airports,STANSTED,0.000,0.000,,1533.420,1413.504,8,1533.420,1413.504,8
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,ABERDEEN,0.000,0.091,,358.284,121.871,194,358.284,121.962,194
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,BELFAST INTERNATIONAL,0.000,0.000,,1289.697,1211.700,6,1289.697,1211.700,6
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,BENBECULA,0.000,0.000,,0.000,15.602,,0.000,15.602,
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,BIRMINGHAM,5.776,28.056,(79),0.000,0.000,,5.776,28.056,(79)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.000,0.000,,1729.333,1998.827,(13),1729.333,1998.827,(13)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,EDINBURGH,0.000,0.000,,1883.569,2031.514,(7),1883.569,2031.514,(7)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,EXETER,0.000,0.000,,278.343,310.299,(10),278.343,310.299,(10)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,GLASGOW,27.717,0.003,923800,0.040,0.000,,27.757,0.003,925133
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,INVERNESS,0.000,0.000,,98.022,142.669,(31),98.022,142.669,(31)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,ISLAY,10.860,8.919,22,0.000,0.000,,10.860,8.919,22
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,ISLES OF SCILLY (ST.MARYS),11.600,2.700,330,16.800,17.600,(5),28.400,20.300,40
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,KIRKWALL,1.224,2.064,(41),20.183,0.086,23369,21.407,2.150,896
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,LANDS END (ST JUST),1.400,0.900,56,26.500,17.700,50,27.900,18.600,50
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,MANCHESTER,20.641,185.839,(89),3.628,0.000,,24.269,185.839,(87)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,PRESTWICK,0.000,0.000,,0.000,2.742,,0.000,2.742,
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,SOUTHAMPTON,0.022,13.001,(100),0.000,0.000,,0.022,13.001,(100)
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,STORNOWAY,0.000,0.000,,0.000,32.795,,0.000,32.795,
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,SUMBURGH,0.000,0.000,,107.836,0.000,,107.836,0.000,
1/15/2021 9:24:32 AM,202011,201911,Other UK Airports,TIREE,5.517,4.035,37,0.040,0.000,,5.557,4.035,38
1/15/2021 9:24:32 AM,202011,201911,Non UK Reporting Airports,ALDERNEY,9.045,8.197,10,0.000,0.114,,9.045,8.311,9
1/15/2021 9:24:32 AM,202011,201911,Non UK Reporting Airports,GUERNSEY,9.144,8.985,2,250.422,236.445,6,259.566,245.430,6
1/15/2021 9:24:32 AM,202011,201911,Non UK Reporting Airports,ISLE OF MAN,0.000,0.000,,157.640,162.082,(3),157.640,162.082,(3)
1/15/2021 9:24:32 AM,202011,201911,Non UK Reporting Airports,JERSEY,0.000,0.514,,180.677,178.182,1,180.677,178.696,1

