rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
16/04/2021 16:31,2010 - 2020,1,1,London Area Airports,GATWICK,240500,251067,246987,250520,259962,267760,280666,285912,283919,284987,80161,-71.872050304
16/04/2021 16:31,2010 - 2020,1,1,London Area Airports,HEATHROW,454823,480906,475176,471936,472802,474087,474963,475783,477604,478059,204730,-57.174742030
16/04/2021 16:31,2010 - 2020,1,1,London Area Airports,LONDON CITY,68640,68792,70781,74006,76260,84753,85169,80490,80854,84260,19069,-77.368858296
16/04/2021 16:31,2010 - 2020,1,1,London Area Airports,LUTON,94574,97574,96797,95763,101950,114083,128519,133743,136511,141858,59769,-57.867021952
16/04/2021 16:31,2010 - 2020,1,1,London Area Airports,SOUTHEND,27320,25470,27715,29443,30514,23538,23449,26674,32531,36327,18401,-49.346216313
16/04/2021 16:31,2010 - 2020,1,1,London Area Airports,STANSTED,155140,148317,143511,146324,157117,168629,180430,189919,201614,199925,86107,-56.930348881
16/04/2021 16:31,2010 - 2020,1,2,London Heliports,EDMISTON LONDON HELIPORT,8055,8442,7170,7650,8925,10352,11347,11899,10989,10200,3808,-62.666666667
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,ABERDEEN,102396,108862,115013,118219,124282,112357,96156,97007,91279,91248,59250,-35.067069963
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BARRA,1252,1258,1403,966,988,1034,1347,1412,1439,1389,970,-30.165586753
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),40324,41844,37189,38050,37112,41782,42475,36332,35959,35382,10359,-70.722401221
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BELFAST INTERNATIONAL,60742,57460,58011,54003,50973,52246,55155,58152,60541,59259,32983,-44.340943992
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BEMBRIDGE,15514,0,0,0,0,0,0,0,0,0,0,
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BENBECULA,4402,4366,4478,3708,3504,3517,3648,3420,3650,3484,2367,-32.060849598
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BIGGIN HILL,49830,47354,44264,41493,45477,50481,52970,50000,43343,39390,29856,-24.204112719
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BIRMINGHAM,95454,93145,92632,95713,97346,98015,113184,122067,111828,109357,35647,-67.403092623
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BLACKPOOL,50905,48922,46875,41406,32776,33075,33749,33429,37526,36289,25404,-29.995315385
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BOURNEMOUTH,55398,51799,51089,47174,43122,43020,36922,34641,39886,38540,28370,-26.388168137
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,BRISTOL,69134,66179,61206,65299,64230,68074,73536,76199,72927,69434,29191,-57.958636979
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,CAMBRIDGE,24304,21745,17292,19785,20036,19215,20226,20749,19280,16732,10888,-34.927085824
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,CAMPBELTOWN,2334,1993,1527,1596,1628,1520,1452,1410,1887,1823,1032,-43.390016456
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,CARDIFF WALES,25645,29130,26842,24879,25864,25077,26256,28934,31085,31881,10111,-68.285185534
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,CARLISLE,18419,14911,17349,17280,16427,18427,19826,17439,4330,14421,1501,-89.591567852
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),9948,8464,7355,7103,5764,5005,5441,5156,6330,7096,3522,-50.366403608
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,COVENTRY,6648,29754,39964,41629,42928,39285,35932,26357,30357,31708,22477,-29.112526807
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,DONCASTER SHEFFIELD,11030,11876,11724,11197,11697,11998,16098,17435,18930,23043,12232,-46.916634119
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,DUNDEE,37169,36815,40926,40427,35730,38680,36730,38096,39965,43354,19011,-56.149374914
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,69452,75140,74602,76563,76726,77053,73689,77067,76013,74566,48265,-35.272107931
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,EDINBURGH,108997,113357,110288,111736,109545,115286,122220,128675,130016,131617,45966,-65.075940038
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,EXETER,33740,31308,31093,31458,32852,33210,40665,40472,39532,44306,22997,-48.095066131
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,GLASGOW,77755,78111,80472,79520,84000,90790,98127,102766,97157,91812,34715,-62.189038470
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,GLOUCESTERSHIRE,67788,66715,73762,73857,73687,74474,83329,81451,78022,74523,53336,-28.430149081
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,HAWARDEN,17731,18911,18550,15662,13533,14882,18433,18208,17153,18103,9479,-47.638512954
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,HUMBERSIDE,32813,26599,25636,27178,27647,25665,22744,18282,18759,18228,10347,-43.235681369
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,INVERNESS,28155,30755,31764,28947,28495,29873,30450,31002,29690,31338,19610,-37.424213415
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,ISLAY,2775,3003,2969,2637,2610,2515,2540,2637,2751,3199,1833,-42.700844014
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),12097,12016,11425,12238,10965,12210,13164,11357,12546,12329,6200,-49.712060994
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),2072,1856,1560,0,0,0,0,0,0,0,0,
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,KIRKWALL,14535,14131,13980,14403,14420,14199,14539,14754,14771,14247,9498,-33.333333333
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,LANDS END (ST JUST),10412,8910,7460,8586,7088,10425,11189,10062,11511,11177,6297,-43.661089738
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,LEEDS BRADFORD,52284,51527,47311,45627,42989,42912,44304,46159,38680,35641,12312,-65.455514716
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,LERWICK (TINGWALL),1859,1926,1924,2084,2169,2801,2426,1795,1547,1461,1054,-27.857631759
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),68164,69055,60270,55839,52249,55905,62441,56643,59320,58968,28468,-51.722968390
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,LYDD,20527,18259,17397,16347,19808,20095,22060,19853,22671,26676,19431,-27.159244265
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,MANCHESTER,159114,167469,168883,169497,170639,173165,192293,203689,201247,202892,66760,-67.095794807
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,MANSTON (KENT INT),16260,18695,14688,17504,6494,0,0,0,0,0,0,
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,NEWCASTLE,66677,64521,61006,59962,59114,55950,56263,57808,53740,50688,18449,-63.602825126
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,NEWQUAY,11680,7130,4859,5118,9261,22848,30417,37113,41172,46338,34398,-25.767188916
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,NORWICH,36864,38929,39846,40702,37391,36045,37190,37307,34287,35187,24542,-30.252650126
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,OXFORD (KIDLINGTON),38382,40648,40322,37553,42456,44020,40507,36902,38529,47026,45364,-3.534215115
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,PENZANCE HELIPORT,5064,4762,3573,0,0,0,0,0,0,0,0,
16/04/2021 16:31,2010 - 2020,1,3,Other UK Airports,PLYMOUTH,18495,12193,0,0,0,0,0,0,0,0,0,
