rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
16/04/2021 17:09,2020 - 2020,1,1,London Area Airports,GATWICK,233553,244570,240447,244301,254540,262571,277094,283437,283186,282896,79489,-71.901688253
16/04/2021 17:09,2020 - 2020,1,1,London Area Airports,HEATHROW,449271,476295,471382,469564,470708,472058,473199,476186,480339,479811,207021,-56.853636119
16/04/2021 17:09,2020 - 2020,1,1,London Area Airports,LONDON CITY,59919,61064,64310,68118,70133,79251,80449,76611,78037,80931,19554,-75.838677392
16/04/2021 17:09,2020 - 2020,1,1,London Area Airports,LUTON,68571,72138,71725,70889,75616,87440,102931,106064,106666,112745,49251,-56.316466362
16/04/2021 17:09,2020 - 2020,1,1,London Area Airports,SOUTHEND,64,1259,7268,9475,11541,8975,8276,11331,17088,19162,4892,-74.470305814
16/04/2021 17:09,2020 - 2020,1,1,London Area Airports,STANSTED,142993,136898,131297,131925,143230,154478,164213,172109,185660,183566,74417,-59.460357583
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,ABERDEEN,87950,94796,98783,99887,106143,95687,77679,81926,81552,78209,47430,-39.354805713
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,BARRA,1177,1179,1254,880,882,947,1313,1394,1390,1366,1047,-23.352855051
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),38701,40556,35921,36865,36052,40571,41370,36891,35845,34625,10095,-70.844765343
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,BELFAST INTERNATIONAL,39230,37308,39120,36596,34795,36273,38104,41691,46115,47230,19416,-58.890535676
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,BENBECULA,2555,2573,2420,1887,1681,1692,1755,1827,1960,1974,1299,-34.194528875
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,BIGGIN HILL,0,0,0,8,34,24,61,146,202,325,277,-14.769230769
16/04/2021 17:09,2020 - 2020,1,3,Other UK Airports,BIRMINGHAM,84790,83826,84062,84851,89056,89837,104246,112128,104553,102515,31968,-68.816270790
