rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
4/16/2021 5:12:43 PM,2020,2019,1,1,London Area Airports,GATWICK,10173431,46576473,-78.157575392,10171867,46574786,-78.160142271,1564,1687,-7.291049200
4/16/2021 5:12:43 PM,2020,2019,1,1,London Area Airports,HEATHROW,22111326,80890031,-72.664955463,22109550,80886589,-72.665987930,1776,3442,-48.402091807
4/16/2021 5:12:43 PM,2020,2019,1,1,London Area Airports,LONDON CITY,908105,5122271,-82.271437806,908105,5122271,-82.271437806,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,1,London Area Airports,LUTON,5550821,18216207,-69.528118559,5550401,18213901,-69.526566549,420,2306,-81.786643539
4/16/2021 5:12:43 PM,2020,2019,1,1,London Area Airports,SOUTHEND,401143,2035535,-80.292994225,401143,2035535,-80.292994225,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,1,London Area Airports,STANSTED,7539689,28124292,-73.191542031,7536869,28124292,-73.201568950,2820,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,ABERDEEN,994077,2912883,-65.873088620,994076,2912743,-65.871482654,1,140,-99.285714286
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,BARRA,6156,14599,-57.832728269,6140,14599,-57.942324817,16,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),542547,2455259,-77.902657113,542523,2455259,-77.903634606,24,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,BELFAST INTERNATIONAL,1747086,6278563,-72.173791997,1746951,6278374,-72.175104573,135,189,-28.571428571
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,BENBECULA,14199,34691,-59.070075812,12713,34656,-63.316597415,1486,35,4145.714285714
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,BIGGIN HILL,1845,2262,-18.435013263,1845,2262,-18.435013263,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,BIRMINGHAM,2869582,12650607,-77.316645755,2865845,12646456,-77.338750081,3737,4151,-9.973500361
