Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
16/04/2021 17:13:38,   2020,2019,London Area Airports,GATWICK,"9,221,662","5,727,018","365,256","6,092,274","29,184,657",-79.1250793,"2,884,827","244,561","3,129,388","13,939,194",-77.5497206
16/04/2021 17:13:38,   2020,2019,London Area Airports,HEATHROW,"20,589,122","8,021,231","30,788","8,052,019","27,461,840",-70.6792444,"12,279,766","257,337","12,537,103","48,558,424",-74.1814047
16/04/2021 17:13:38,   2020,2019,London Area Airports,LONDON CITY,"699,297","582,798","2,999","585,797","3,373,162",-82.6335942,"113,413",87,"113,500","635,944",-82.1525166
16/04/2021 17:13:38,   2020,2019,London Area Airports,LUTON,"5,175,571","4,348,713","11,767","4,360,480","14,700,454",-70.3377868,"811,403","3,688","815,091","2,308,137",-64.6861950
16/04/2021 17:13:38,   2020,2019,London Area Airports,SOUTHEND,"385,793","366,339",0,"366,339","1,869,977",-80.4094382,"19,454",0,"19,454","34,610",-43.7908119
16/04/2021 17:13:38,   2020,2019,London Area Airports,STANSTED,"7,175,209","6,205,582","55,666","6,261,248","24,069,604",-73.9869090,"884,479","29,482","913,961","2,503,605",-63.4942014
16/04/2021 17:13:38,   2020,2019,Other UK Airports,ABERDEEN,"556,866","174,338","11,766","186,104","749,725",-75.1770316,"59,688","311,074","370,762","610,823",-39.3012378
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BELFAST CITY (GEORGE BEST),"12,920","12,848",23,"12,871","125,219",-89.7212084,0,49,49,61,-19.6721311
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BELFAST INTERNATIONAL,"333,396","272,713","17,335","290,048","2,201,829",-86.8269516,"41,382","1,966","43,348","139,562",-68.9399693
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BIGGIN HILL,"1,421",0,"1,127","1,127",957,17.7638454,0,294,294,599,-50.9181970
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BIRMINGHAM,"2,556,898","1,780,921","169,628","1,950,549","9,051,022",-78.4494060,"519,476","86,873","606,349","2,262,280",-73.1974380
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BLACKPOOL,"11,412",0,0,0,0,0.0000000,0,"11,412","11,412","15,213",-24.9852100
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BOURNEMOUTH,"174,849","124,797","24,211","149,008","760,173",-80.3981462,"18,009","7,832","25,841","39,619",-34.7762437
16/04/2021 17:13:38,   2020,2019,Other UK Airports,BRISTOL,"1,749,365","1,465,608","104,547","1,570,155","6,944,800",-77.3909256,"146,727","32,483","179,210","636,767",-71.8562677
16/04/2021 17:13:38,   2020,2019,Other UK Airports,CARDIFF WALES,"187,620","90,404","63,529","153,933","1,222,339",-87.4066851,"22,076","11,611","33,687","194,770",-82.7042152
16/04/2021 17:13:38,   2020,2019,Other UK Airports,CITY OF DERRY (EGLINTON),70,0,70,70,0,0.0000000,0,0,0,366,0.0000000
16/04/2021 17:13:38,   2020,2019,Other UK Airports,DONCASTER SHEFFIELD,"336,708","261,057","58,051","319,108","1,273,842",-74.9491695,826,"16,774","17,600","67,935",-74.0928829
16/04/2021 17:13:38,   2020,2019,Other UK Airports,DUNDEE,93,0,68,68,81,-16.0493827,0,25,25,201,-87.5621891
16/04/2021 17:13:38,   2020,2019,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"843,971","731,441","69,750","801,191","4,155,828",-80.7212666,"36,036","6,744","42,780","174,171",-75.4379317
16/04/2021 17:13:38,   2020,2019,Other UK Airports,EDINBURGH,"2,170,734","1,816,272","46,209","1,862,481","7,839,852",-76.2434163,"303,377","4,876","308,253","1,560,270",-80.2436117
16/04/2021 17:13:38,   2020,2019,Other UK Airports,EXETER,"88,144","49,604","34,925","84,529","562,545",-84.9738243,902,"2,713","3,615","17,307",-79.1124978
16/04/2021 17:13:38,   2020,2019,Other UK Airports,GLASGOW,"884,099","622,725","45,665","668,390","3,703,429",-81.9521314,"195,969","19,740","215,709","1,219,212",-82.3075068
16/04/2021 17:13:38,   2020,2019,Other UK Airports,GLOUCESTERSHIRE,5,0,5,5,0,0.0000000,0,0,0,0,0.0000000
16/04/2021 17:13:38,   2020,2019,Other UK Airports,HUMBERSIDE,"37,534","29,209",457,"29,666","157,329",-81.1439722,0,"7,868","7,868","21,666",-63.6850365
16/04/2021 17:13:38,   2020,2019,Other UK Airports,INVERNESS,"15,811","15,745",1,"15,746","118,020",-86.6581935,0,65,65,"3,161",-97.9436887
16/04/2021 17:13:38,   2020,2019,Other UK Airports,KIRKWALL,47,0,0,0,0,0.0000000,0,47,47,389,-87.9177378
16/04/2021 17:13:38,   2020,2019,Other UK Airports,LEEDS BRADFORD,"695,007","623,748","1,680","625,428","3,502,451",-82.1431335,"69,296",283,"69,579","171,394",-59.4040632
16/04/2021 17:13:38,   2020,2019,Other UK Airports,LIVERPOOL (JOHN LENNON),"1,022,603","930,152","4,403","934,555","3,862,578",-75.8048899,"85,073","2,975","88,048","222,073",-60.3517762
16/04/2021 17:13:38,   2020,2019,Other UK Airports,LYDD,,0,0,0,22,0.0000000,0,0,0,16,0.0000000
16/04/2021 17:13:38,   2020,2019,Other UK Airports,MANCHESTER,"6,479,575","4,056,357","316,106","4,372,463","18,511,151",-76.3793024,"1,867,370","239,742","2,107,112","8,381,320",-74.8594255
16/04/2021 17:13:38,   2020,2019,Other UK Airports,NEWCASTLE,"754,362","613,626","1,013","614,639","3,446,835",-82.1680179,"139,572",151,"139,723","610,161",-77.1006341
16/04/2021 17:13:38,   2020,2019,Other UK Airports,NEWQUAY,"16,147","15,845",302,"16,147","99,475",-83.7677808,0,0,0,614,0.0000000
16/04/2021 17:13:38,   2020,2019,Other UK Airports,NORWICH,"95,482","33,097","4,353","37,450","302,784",-87.6314468,0,"58,032","58,032","97,904",-40.7256088
16/04/2021 17:13:38,   2020,2019,Other UK Airports,OXFORD (KIDLINGTON),514,514,0,514,0,0.0000000,0,0,0,0,0.0000000
16/04/2021 17:13:38,   2020,2019,Other UK Airports,PRESTWICK,"90,607","90,176",424,"90,600","637,991",-85.7991727,7,0,7,159,-95.5974843
16/04/2021 17:13:38,   2020,2019,Other UK Airports,SCATSTA,"16,434",0,0,0,0,0.0000000,0,"16,434","16,434","50,386",-67.3837971
16/04/2021 17:13:38,   2020,2019,Other UK Airports,SOUTHAMPTON,"70,393","61,357",44,"61,401","617,816",-90.0616041,"8,992",0,"8,992","16,578",-45.7594402
16/04/2021 17:13:38,   2020,2019,Other UK Airports,STORNOWAY,,0,,0,24,0.0000000,0,0,0,0,0.0000000
16/04/2021 17:13:38,   2020,2019,Other UK Airports,SUMBURGH,"38,129",0,1,1,0,0.0000000,72,"38,056","38,128","64,197",-40.6078166
16/04/2021 17:13:38,   2020,2019,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"24,003","23,979",0,"23,979","126,114",-80.9862505,0,24,24,378,-93.6507937
16/04/2021 17:13:38,   2020,2019,Other UK Airports,WICK JOHN O GROATS,8,0,0,0,0,0.0000000,0,8,8,0,0.0000000
16/04/2021 17:13:38,   2020,2019,Non UK Reporting Airports,GUERNSEY,984,935,10,945,"7,488",-87.3798077,0,39,39,792,-95.0757576
16/04/2021 17:13:38,   2020,2019,Non UK Reporting Airports,ISLE OF MAN,"8,565","7,496",0,"7,496","45,133",-83.3913101,0,"1,069","1,069","2,779",-61.5329255
16/04/2021 17:13:38,   2020,2019,Non UK Reporting Airports,JERSEY,"10,228",31,"9,248","9,279","50,262",-81.5387370,949,0,949,"4,128",-77.0106589

