rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,ABERDEEN,67,67,0,10472,10472,0,-99.3602
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,221958,221479,479,581909,581909,0,-61.85692
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,BIRMINGHAM,1129,371,758,609,362,247,85.38588
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,BLACKPOOL,78,0,78,0,0,0,0
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,BOURNEMOUTH,0,0,0,58,58,0,-100
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,BRISTOL,314,181,133,0,0,0,0
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,128,3,125,62,0,62,106.45161
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,DUNDEE,100,0,100,0,0,0,0
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,159,0,159,145,0,145,9.65517
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,EDINBURGH,202694,202316,378,731793,731793,0,-72.30173
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,EXETER,17,0,17,0,0,0,0
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,GLASGOW,175346,175346,0,641566,641121,445,-72.66906
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,GUERNSEY,52504,52504,0,310399,310399,0,-83.085
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,HEATHROW,757,757,0,314,314,0,141.0828
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,HUMBERSIDE,76,0,76,8,0,8,850
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,INVERNESS,83462,83462,0,258376,258376,0,-67.69746
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,ISLE OF MAN,31892,31892,0,177200,177200,0,-82.00226
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,JERSEY,176871,176871,0,692449,692449,0,-74.45718
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,LEEDS BRADFORD,0,0,0,88,0,88,-100
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),332,0,332,404,102,302,-17.82178
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,LUTON,122,122,0,0,0,0,0
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,MANCHESTER,1165,165,1000,1233,183,1050,-5.515
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,NEWCASTLE,466,122,344,349,0,349,33.52436
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,NEWQUAY,0,0,0,40404,40404,0,-100
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,NORWICH,77,0,77,72,7,65,6.94444
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,PRESTWICK,1,0,1,0,0,0,0
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,SOUTHEND,42,0,42,234,0,234,-82.05128
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,STANSTED,453,269,184,165,140,25,174.54545
16/04/2021 17:24,2020,2019,A,London Area Airports,GATWICK,TEESSIDE INTERNATIONAL AIRPORT,0,0,0,34,0,34,-100
16/04/2021 17:24,2020,2019,A,London Area Airports,HEATHROW,ABERDEEN,203094,203094,0,692289,692289,0,-70.66341
16/04/2021 17:24,2020,2019,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),261777,261777,0,668575,668575,0,-60.84553
