rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
4/16/2021 5:22:28 PM,2020,London Area Airports,GATWICK,26063.345000,5434.048000,8818.499000,210.753000,103.616000,4943.848000,6101.140000,236.278000,202.270000,0.358000,0.021000,6.217000,6.297000
4/16/2021 5:22:28 PM,2020,London Area Airports,HEATHROW,1146309.870000,195323.109000,196819.535000,12086.334000,21087.694000,296761.749000,242090.462000,34160.966000,32776.923000,23112.392000,4478.099000,55342.076000,32270.531000
4/16/2021 5:22:28 PM,2020,London Area Airports,LUTON,31155.108000,7.157000,1.611000,23061.533000,2586.216000,4421.427000,1075.958000,0.000000,1.206000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,London Area Airports,STANSTED,254572.838000,1451.590000,27.547000,13637.077000,3563.357000,137046.665000,94010.357000,487.881000,182.708000,115.014000,24.300000,2250.855000,1775.487000
4/16/2021 5:22:28 PM,2020,Other UK Airports,ABERDEEN,5433.751000,807.514000,663.753000,1262.705000,1082.884000,66.972000,87.202000,620.784000,839.229000,0.000000,1.807000,0.000000,0.901000
4/16/2021 5:22:28 PM,2020,Other UK Airports,BARRA,8.008000,7.060000,0.948000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,BELFAST CITY (GEORGE BEST),48.671000,18.011000,18.751000,10.462000,1.447000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,BELFAST INTERNATIONAL,27946.015000,857.861000,305.789000,18376.850000,8212.068000,115.651000,67.675000,0.000000,0.000000,10.121000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,BENBECULA,29.150000,24.991000,4.159000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,BIRMINGHAM,18547.608000,106.377000,23.252000,156.606000,98.723000,10031.996000,7143.273000,181.062000,29.336000,200.147000,45.491000,471.496000,59.849000
4/16/2021 5:22:28 PM,2020,Other UK Airports,BRISTOL,15.957000,0.301000,0.268000,11.988000,0.128000,0.000000,0.000000,3.272000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,CARDIFF WALES,316.612000,0.000000,0.000000,0.350000,0.000000,191.049000,12.604000,0.000000,0.000000,0.000000,0.000000,112.609000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,DONCASTER SHEFFIELD,22572.852000,0.000000,0.000000,0.091000,0.000000,14438.502000,172.063000,0.987000,0.080000,610.571000,13.591000,5752.261000,1584.706000
4/16/2021 5:22:28 PM,2020,Other UK Airports,EAST MIDLANDS INTERNATIONAL,381953.607000,7420.853000,7011.045000,112720.018000,109028.949000,28330.634000,24329.809000,128.425000,288.789000,30731.925000,26301.876000,17399.162000,18262.122000
4/16/2021 5:22:28 PM,2020,Other UK Airports,EDINBURGH,17321.567000,19.807000,0.134000,9757.317000,7462.030000,0.000000,0.000000,82.279000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,GLASGOW,6601.309000,264.167000,209.195000,19.145000,20.421000,2128.469000,3245.300000,42.412000,0.630000,0.215000,9.359000,494.175000,167.821000
4/16/2021 5:22:28 PM,2020,Other UK Airports,HUMBERSIDE,51.980000,0.160000,0.096000,0.001000,0.000000,0.000000,0.000000,19.926000,29.737000,1.860000,0.200000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,ISLAY,69.245000,33.804000,35.441000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,ISLES OF SCILLY (ST.MARYS),82.300000,66.100000,16.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,KIRKWALL,21.276000,6.886000,14.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,LANDS END (ST JUST),82.800000,16.600000,66.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,LIVERPOOL (JOHN LENNON),294.038000,3.352000,31.830000,0.068000,44.329000,0.000000,0.000000,48.769000,0.000000,100.159000,5.060000,59.607000,0.864000
4/16/2021 5:22:28 PM,2020,Other UK Airports,MANCHESTER,48938.213000,828.179000,1350.075000,505.155000,274.215000,24280.264000,19551.537000,84.717000,142.740000,230.263000,65.312000,1167.089000,458.667000
4/16/2021 5:22:28 PM,2020,Other UK Airports,NEWCASTLE,1039.040000,0.913000,0.464000,1.685000,0.628000,74.854000,433.225000,0.000000,0.000000,0.000000,0.000000,201.796000,325.475000
4/16/2021 5:22:28 PM,2020,Other UK Airports,NEWQUAY,1.594000,0.285000,0.589000,0.520000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,NORWICH,178.226000,0.353000,0.174000,0.082000,0.000000,0.000000,0.000000,86.861000,89.179000,0.380000,1.197000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,PRESTWICK,12048.828000,0.000000,0.000000,7697.555000,2613.537000,0.000000,0.000000,808.960000,24.801000,243.297000,0.000000,168.205000,492.473000
4/16/2021 5:22:28 PM,2020,Other UK Airports,SCATSTA,96.146000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.334000,52.812000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,SOUTHAMPTON,69.112000,25.074000,43.638000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,STORNOWAY,134.437000,126.686000,7.751000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,SUMBURGH,168.788000,90.571000,4.446000,0.000000,0.000000,0.000000,0.000000,35.218000,38.553000,0.000000,0.000000,0.000000,0.000000
4/16/2021 5:22:28 PM,2020,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,8.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.260000,0.000000,0.000000,0.000000,0.000000,0.000000
