rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_freight_passenger_aircraft_this_period,total_freight_passenger_aircraft_last_period,total_freight_passenger_aircraft_percent_change,total_freight_cargo_aircraft_this_period,total_freight_cargo_aircraft_last_period,total_freight_cargo_aircraft_percent_change,total_freight_this_period,total_freight_last_period,total_freight_percent_change
16/04/2021 17:25:10,2020,2019,London Area Airports,  GATWICK,24706.987000,110150.161000,-78.000000,1356.358000,207.889000,552.000000,26063.345000,110358.050000,-76.000000
16/04/2021 17:25:10,2020,2019,London Area Airports,  HEATHROW,679754.251000,1503729.831000,-55.000000,466555.619000,83756.578000,457.000000,1146309.870000,1587486.409000,-28.000000
16/04/2021 17:25:10,2020,2019,London Area Airports,  LONDON CITY,0.210000,4.080000,0.000000,0.000000,0.000000,0.000000,0.210000,4.080000,0.000000
16/04/2021 17:25:10,2020,2019,London Area Airports,  LUTON,73.536000,353.256000,-79.000000,31081.572000,35407.778000,-12.000000,31155.108000,35761.034000,-13.000000
16/04/2021 17:25:10,2020,2019,London Area Airports,  STANSTED,3263.125000,6874.054000,-53.000000,251309.713000,217265.159000,16.000000,254572.838000,224139.213000,14.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  ABERDEEN,1547.810000,2273.590000,-32.000000,3885.941000,3712.219000,5.000000,5433.751000,5985.809000,-9.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  BARRA,7.680000,12.130000,-33.000000,0.328000,0.013000,0.000000,8.008000,12.143000,-33.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  BELFAST CITY (GEORGE BEST),48.671000,195.871000,-75.000000,0.000000,0.000000,0.000000,48.671000,195.871000,-75.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  BELFAST INTERNATIONAL,126.476000,16.500000,641.000000,27819.539000,25078.804000,11.000000,27946.015000,25095.304000,11.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  BENBECULA,29.123000,35.901000,-19.000000,0.027000,2.240000,0.000000,29.150000,38.141000,-24.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  BIRMINGHAM,5386.548000,15764.201000,-66.000000,13161.060000,14101.443000,-7.000000,18547.608000,29865.644000,-38.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  BRISTOL,15.957000,10.645000,45.000000,0.000000,0.000000,0.000000,15.957000,10.645000,45.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  CARDIFF WALES,204.003000,1794.613000,-89.000000,112.609000,8.541000,1156.000000,316.612000,1803.154000,-82.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  DONCASTER SHEFFIELD,1.158000,8.120000,-88.000000,22571.694000,17638.943000,28.000000,22572.852000,17647.063000,28.000000
16/04/2021 17:25:10,2020,2019,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,11.259000,1.237000,1000.000000,381942.348000,335946.905000,14.000000,381953.607000,335948.142000,14.000000
