rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
4/16/2021 4:30:00 PM,2020,2019,London Area Airports,GATWICK,2319.843,7638.106,(70),44.055,1.424,2994,2363.898,7639.530,(69)
4/16/2021 4:30:00 PM,2020,2019,London Area Airports,HEATHROW,45062.771,85265.281,(47),16029.415,158.057,10042,61092.186,85423.338,(28)
4/16/2021 4:30:00 PM,2020,2019,London Area Airports,LONDON CITY,0.002,758.649,(100),0.000,0.000,,0.002,758.649,(100)
4/16/2021 4:30:00 PM,2020,2019,London Area Airports,LUTON,65.582,19.113,243,1218.275,781.575,56,1283.857,800.688,60
4/16/2021 4:30:00 PM,2020,2019,London Area Airports,STANSTED,0.000,0.000,,17618.344,17094.132,3,17618.344,17094.132,3
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,ABERDEEN,14.266,0.312,4472,2159.046,1445.822,49,2173.312,1446.134,50
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,BELFAST INTERNATIONAL,0.000,7.121,,15537.435,11530.745,35,15537.435,11537.866,35
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,BENBECULA,0.325,0.289,12,1.631,23.305,(93),1.956,23.594,(92)
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,BIRMINGHAM,79.505,143.445,(45),0.000,0.000,,79.505,143.445,(45)
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.000,0.002,,23766.630,22041.140,8,23766.630,22041.142,8
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,EDINBURGH,0.039,0.031,26,22649.443,22967.711,(1),22649.482,22967.742,(1)
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,EXETER,0.000,0.000,,3482.191,3363.080,4,3482.191,3363.080,4
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,GLASGOW,145.109,30.527,375,9.855,3.847,156,154.964,34.374,351
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,INVERNESS,0.000,0.000,,1125.578,628.337,79,1125.578,628.337,79
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,ISLAY,86.958,89.689,(3),3.564,0.000,,90.522,89.689,1
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,ISLES OF SCILLY (ST.MARYS),35.400,6.100,480,198.700,188.500,5,234.100,194.600,20
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,KIRKWALL,12.102,20.688,(42),85.344,0.421,20172,97.446,21.109,362
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,LANDS END (ST JUST),23.100,13.100,76,206.600,188.000,10,229.700,201.100,14
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,MANCHESTER,399.081,2364.095,(83),8.945,0.000,,408.026,2364.095,(83)
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,NEWCASTLE,0.000,2.825,,0.000,0.000,,0.000,2.825,
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,PRESTWICK,0.000,0.002,,0.000,16.832,,0.000,16.834,
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,SOUTHAMPTON,26.112,36.790,(29),0.000,0.000,,26.112,36.790,(29)
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,STORNOWAY,0.420,0.000,,0.000,88.353,,0.420,88.353,(100)
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,SUMBURGH,0.034,0.018,89,218.256,0.005,4365020,218.290,0.023,948987
4/16/2021 4:30:00 PM,2020,2019,Other UK Airports,TIREE,39.333,40.981,(4),6.109,0.297,1957,45.442,41.278,10
4/16/2021 4:30:00 PM,2020,2019,Non UK Reporting Airports,ALDERNEY,83.196,95.493,(13),3.215,0.563,471,86.411,96.056,(10)
4/16/2021 4:30:00 PM,2020,2019,Non UK Reporting Airports,GUERNSEY,88.754,95.320,(7),2817.962,2671.630,5,2906.716,2766.950,5
4/16/2021 4:30:00 PM,2020,2019,Non UK Reporting Airports,ISLE OF MAN,0.000,0.000,,1810.945,1867.666,(3),1810.945,1867.666,(3)
4/16/2021 4:30:00 PM,2020,2019,Non UK Reporting Airports,JERSEY,2.391,5.071,(53),2157.506,2022.204,7,2159.897,2027.275,7

