rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_fixed_wing_this_period,total_pax_fixed_wing_last_period,total_pax_fixed_wing_percent_change,total_pax_rotary_wing_this_period,total_pax_rotary_wing_last_period,total_pax_rotary_wing_percent_change,total_atms_fixed_wing_this_period,total_atms_fixed_wing_last_period,total_atms_fixed_wing_percent_change,total_atms_rotary_wing_this_period,total_atms_rotary_wing_last_period,total_atms_rotary_wing_percent_change
4/1/2021 10:19:45 AM,202101,202001,London Area Airports,GATWICK,88358,2892920,-96.945715747,0,0,Null,1371,18477,-92.579964280,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,London Area Airports,HEATHROW,677356,6099240,-88.894419633,0,0,Null,10143,38108,-73.383541514,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,London Area Airports,LONDON CITY,6474,334774,-98.066158065,0,0,Null,226,6184,-96.345407503,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,London Area Airports,LUTON,118405,1210489,-90.218415863,0,0,Null,1775,7793,-77.223148980,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,London Area Airports,SOUTHEND,447,124462,-99.640854237,0,0,Null,14,1271,-98.898505114,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,London Area Airports,STANSTED,104477,1903595,-94.511595166,0,0,Null,2319,13186,-82.413165479,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Non UK Reporting Airports,ALDERNEY,1521,2860,-46.818181818,0,0,Null,155,320,-51.562500000,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Non UK Reporting Airports,GUERNSEY,3305,52888,-93.750945394,0,0,Null,372,1805,-79.390581717,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Non UK Reporting Airports,ISLE OF MAN,1218,54597,-97.769108193,0,0,Null,238,975,-75.589743590,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Non UK Reporting Airports,JERSEY,5665,96872,-94.152076968,0,0,Null,172,1687,-89.804386485,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,ABERDEEN,22669,167097,-86.433628372,23147,31151,-25.694199223,846,3642,-76.771004942,2124,2444,-13.093289689
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BARRA,144,741,-80.566801619,0,0,Null,60,105,-42.857142857,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BELFAST CITY (GEORGE BEST),18471,141536,-86.949609993,0,0,Null,521,2342,-77.754056362,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BELFAST INTERNATIONAL,29163,380056,-92.326657124,0,0,Null,922,3182,-71.024512885,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BENBECULA,1237,2322,-46.726959518,0,0,Null,101,144,-29.861111111,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BIGGIN HILL,83,114,-27.192982456,0,0,Null,10,20,-50.000000000,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BIRMINGHAM,33967,776704,-95.626776739,0,0,Null,903,6834,-86.786654960,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BLACKPOOL,0,0,Null,0,1546,Null,0,0,Null,0,359,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BOURNEMOUTH,822,43582,-98.113900234,0,0,Null,84,287,-70.731707317,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,BRISTOL,18484,535312,-96.547060406,0,0,Null,477,4065,-88.265682657,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,CAMPBELTOWN,67,345,-80.579710145,0,0,Null,68,84,-19.047619048,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,CARDIFF WALES,591,68227,-99.133774019,0,0,Null,17,990,-98.282828283,0,0,Null
4/1/2021 10:19:45 AM,202101,202001,Other UK Airports,CITY OF DERRY (EGLINTON),1111,15199,-92.690308573,0,0,Null,118,238,-50.420168067,0,0,Null
