rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,0,0,0,16748,14261,2487,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,GATWICK,KLAGENFURT,0,0,0,803,803,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,0,0,0,11753,11036,717,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,0,0,0,6138,6138,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,0,0,0,3044,3044,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,0,0,0,2053,2053,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,2669,2669,0,20745,20745,0,-87.134249
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,0,0,0,1964,1964,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,0,0,0,1338,1338,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,373,373,0,1999,1999,0,-81.34067
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,0,0,0,1451,433,1018,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,0,0,0,4144,3958,186,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,301,301,0,7513,7513,0,-95.993611
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,0,0,0,1126,460,666,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,VIENNA,52,0,52,0,0,0,0
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,0,0,0,1682,473,1209,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,0,0,0,1093,481,612,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,VIENNA,0,0,0,2661,2661,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,0,0,0,2649,1783,866,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,0,0,0,1057,893,164,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,0,0,0,1642,1642,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,CARDIFF WALES,VIENNA,54,0,54,0,0,0,0
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,0,0,0,643,509,134,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,0,0,0,824,0,824,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,SALZBURG,0,0,0,818,527,291,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,0,0,0,2624,2624,0,-100
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,VIENNA,148,0,148,0,0,0,0
25/05/2021 11:00,202103,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,SALZBURG,0,0,0,396,396,0,-100
