rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
13/12/2021 09:09,202110,Other UK Airports,ABERDEEN,348,324,324,24,24,2468,214,214,2254,2205,1592,1431,1388,161,98
13/12/2021 09:09,202110,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,377,377,375,0,0
13/12/2021 09:09,202110,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,126,126,125,0,0
13/12/2021 09:09,202110,Other UK Airports,BELFAST CITY (GEORGE BEST),55,54,54,1,1,0,0,0,0,0,1434,1431,1431,3,3
13/12/2021 09:09,202110,Other UK Airports,BELFAST INTERNATIONAL,630,625,579,5,5,21,19,19,2,2,2590,2587,2146,3,3
13/12/2021 09:09,202110,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,170,170,170,0,0
13/12/2021 09:09,202110,Other UK Airports,BIGGIN HILL,54,0,0,54,54,10,0,0,10,10,5,0,0,5,5
13/12/2021 09:09,202110,Other UK Airports,BIRMINGHAM,3229,2941,2791,288,279,343,294,294,49,41,852,849,817,3,3
13/12/2021 09:09,202110,Other UK Airports,BOURNEMOUTH,341,261,261,80,79,55,4,0,51,0,117,114,114,3,2
13/12/2021 09:09,202110,Other UK Airports,BRISTOL,2705,2566,2566,139,139,97,97,97,0,0,872,869,869,3,3
13/12/2021 09:09,202110,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0
13/12/2021 09:09,202110,Other UK Airports,CARDIFF WALES,201,100,100,101,101,0,0,0,0,0,101,98,98,3,3
13/12/2021 09:09,202110,Other UK Airports,CITY OF DERRY (EGLINTON),0,0,0,0,0,0,0,0,0,0,213,213,213,0,0
13/12/2021 09:09,202110,Other UK Airports,DONCASTER SHEFFIELD,460,299,299,161,159,19,9,0,10,0,2,0,0,2,2
13/12/2021 09:09,202110,Other UK Airports,EAST MIDLANDS INTERNATIONAL,2855,2550,1433,305,133,402,324,41,78,0,776,770,127,6,1
13/12/2021 09:09,202110,Other UK Airports,EDINBURGH,2623,2602,2561,21,21,236,235,234,1,1,2833,2817,2412,16,11
13/12/2021 09:09,202110,Other UK Airports,EXETER,83,36,36,47,47,0,0,0,0,0,491,449,449,42,0
13/12/2021 09:09,202110,London Area Airports,GATWICK,5128,4676,4676,452,452,1299,1231,1231,68,68,1485,1475,1475,10,10
13/12/2021 09:09,202110,Other UK Airports,GLASGOW,1192,1099,1066,93,93,162,130,130,32,32,2543,2543,2538,0,0
13/12/2021 09:09,202110,Non UK Reporting Airports,GUERNSEY,18,1,1,17,17,2,0,0,2,2,1202,1045,1043,157,12
13/12/2021 09:09,202110,London Area Airports,HEATHROW,10930,10689,10592,241,20,10952,10292,9397,660,55,2241,2239,2239,2,2
13/12/2021 09:09,202110,Other UK Airports,HUMBERSIDE,33,30,30,3,3,245,0,0,245,231,63,63,63,0,0
13/12/2021 09:09,202110,Other UK Airports,INVERNESS,50,50,50,0,0,0,0,0,0,0,779,741,741,38,0
13/12/2021 09:09,202110,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,122,122,121,0,0
13/12/2021 09:09,202110,Non UK Reporting Airports,ISLE OF MAN,0,0,0,0,0,0,0,0,0,0,510,470,470,40,0
13/12/2021 09:09,202110,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,890,890,823,0,0
13/12/2021 09:09,202110,Non UK Reporting Airports,JERSEY,17,0,0,17,17,0,0,0,0,0,1388,1367,1279,21,0
13/12/2021 09:09,202110,Other UK Airports,KIRKWALL,0,0,0,0,0,0,0,0,0,0,822,822,816,0,0
13/12/2021 09:09,202110,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,603,603,537,0,0
13/12/2021 09:09,202110,Other UK Airports,LEEDS BRADFORD,1221,1221,1221,0,0,81,81,81,0,0,262,262,262,0,0
13/12/2021 09:09,202110,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,79,79,79,0,0
13/12/2021 09:09,202110,Other UK Airports,LIVERPOOL (JOHN LENNON),1339,1316,1316,23,19,31,30,30,1,1,581,573,573,8,8
13/12/2021 09:09,202110,London Area Airports,LONDON CITY,1532,1531,1531,1,1,218,218,218,0,0,628,627,627,1,1
13/12/2021 09:09,202110,Other UK Airports,MANCHESTER,6578,6050,5984,528,526,1264,1164,1160,100,100,1328,1322,1322,6,6
13/12/2021 09:09,202110,Other UK Airports,NEWCASTLE,1294,1261,1261,33,0,102,102,102,0,0,678,674,674,4,4
13/12/2021 09:09,202110,Other UK Airports,NEWQUAY,36,36,36,0,0,0,0,0,0,0,202,202,202,0,0
13/12/2021 09:09,202110,Other UK Airports,NORWICH,63,38,38,25,25,908,0,0,908,908,181,180,180,1,1
13/12/2021 09:09,202110,Other UK Airports,PRESTWICK,159,158,130,1,1,40,29,0,11,6,16,0,0,16,0
13/12/2021 09:09,202110,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:09,202110,Other UK Airports,SOUTHAMPTON,168,168,168,0,0,0,0,0,0,0,1094,1087,1086,7,7
13/12/2021 09:09,202110,London Area Airports,SOUTHEND,296,296,217,0,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:09,202110,London Area Airports,STANSTED,9521,9430,9038,91,87,1048,1032,742,16,9,735,533,517,202,1
13/12/2021 09:09,202110,Other UK Airports,STORNOWAY,0,0,0,0,0,0,0,0,0,0,388,388,388,0,0
13/12/2021 09:09,202110,Other UK Airports,SUMBURGH,0,0,0,0,0,383,0,0,383,383,528,410,410,118,118
13/12/2021 09:09,202110,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,82,82,82,0,0,0,0,0,0,0,349,347,347,2,2
13/12/2021 09:09,202110,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,0,0,126,126,125,0,0

