rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_pax,pax_terminal_scheduled_UK,pax_transit_scheduled_UK,pax_terminal_scheduled_foreign_EU,pax_transit_scheduled_foreign_EU,pax_terminal_scheduled_foreign_non_EU,pax_transit_scheduled_foreign_non_EU,pax_terminal_charter_UK,pax_transit_charter_UK,pax_terminal_charter_foreign_EU,pax_transit_charter_foreign_EU,pax_terminal_charter_foreign_non_EU,pax_transit_charter_foreign_non_EU
13/12/2021 09:12,202110,Other UK Airports,ABERDEEN,139334,79928,0,23112,0,3169,0,33125,0,0,0,0,0
13/12/2021 09:12,202110,Non UK Reporting Airports,ALDERNEY,4666,4666,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BARRA,928,928,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BELFAST CITY (GEORGE BEST),111897,77843,0,34010,0,0,0,7,0,37,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BELFAST INTERNATIONAL,371310,354395,0,16589,0,0,0,194,0,132,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BENBECULA,2459,2459,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BIGGIN HILL,331,0,0,0,0,0,0,95,0,236,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BIRMINGHAM,502285,198247,67,214366,0,32048,232,54821,25,586,0,1893,0
13/12/2021 09:12,202110,Other UK Airports,BOURNEMOUTH,47422,4831,0,30560,1,0,0,11890,140,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,BRISTOL,446082,294009,27,130964,0,0,0,20823,259,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,CAMPBELTOWN,33,33,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,CARDIFF WALES,24712,2176,141,9137,0,0,0,12368,0,890,0,0,0
13/12/2021 09:12,202110,Other UK Airports,CITY OF DERRY (EGLINTON),7752,7752,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,DONCASTER SHEFFIELD,61181,15284,0,20077,0,0,0,25820,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,EAST MIDLANDS INTERNATIONAL,212960,81990,81,109966,0,0,0,20854,0,69,0,0,0
13/12/2021 09:12,202110,Other UK Airports,EDINBURGH,587376,331280,99,237569,0,15744,0,2259,0,239,0,186,0
13/12/2021 09:12,202110,Other UK Airports,EXETER,25301,13795,0,4469,0,0,0,7037,0,0,0,0,0
13/12/2021 09:12,202110,London Area Airports,GATWICK,1131302,819775,49,140873,0,74833,0,91782,63,3925,0,2,0
13/12/2021 09:12,202110,Other UK Airports,GLASGOW,386782,301311,279,52240,0,16277,0,14265,0,2274,38,98,0
13/12/2021 09:12,202110,Non UK Reporting Airports,GUERNSEY,46272,45037,14,0,0,0,0,1145,38,38,0,0,0
13/12/2021 09:12,202110,London Area Airports,HEATHROW,3043580,1766525,0,487280,0,781889,322,3526,0,53,0,3985,0
13/12/2021 09:12,202110,Other UK Airports,HUMBERSIDE,3315,873,0,1052,0,0,0,1372,0,18,0,0,0
13/12/2021 09:12,202110,Other UK Airports,INVERNESS,59900,56763,0,3137,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,ISLAY,2037,2029,8,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Non UK Reporting Airports,ISLE OF MAN,33129,33129,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8688,8688,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Non UK Reporting Airports,JERSEY,111471,109810,12,0,0,0,0,1145,0,504,0,0,0
