rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_this_period,total_pax_last_period,total_pax_percent
13/12/2021 09:19,202110,202010,Other UK Airports,ABERDEEN,78030,2451,80481,31591,154.759267
13/12/2021 09:19,202110,202010,Non UK Reporting Airports,ALDERNEY,4666,0,4666,3441,35.600116
13/12/2021 09:19,202110,202010,Other UK Airports,BARRA,928,0,928,647,43.431221
13/12/2021 09:19,202110,202010,Other UK Airports,BELFAST CITY (GEORGE BEST),108834,10,108844,36292,199.911826
13/12/2021 09:19,202110,202010,Other UK Airports,BELFAST INTERNATIONAL,297267,32,297299,98585,201.566161
13/12/2021 09:19,202110,202010,Other UK Airports,BENBECULA,2459,0,2459,916,168.449782
13/12/2021 09:19,202110,202010,Other UK Airports,BIGGIN HILL,0,94,94,0,Null
13/12/2021 09:19,202110,202010,Other UK Airports,BIRMINGHAM,68476,48,68524,19247,256.024315
13/12/2021 09:19,202110,202010,Other UK Airports,BOURNEMOUTH,4831,139,4970,52,9457.692308
13/12/2021 09:19,202110,202010,Other UK Airports,BRISTOL,101769,214,101983,28524,257.534006
13/12/2021 09:19,202110,202010,Other UK Airports,CAMPBELTOWN,33,0,33,225,-85.333333
13/12/2021 09:19,202110,202010,Other UK Airports,CARDIFF WALES,2176,113,2289,686,233.673469
13/12/2021 09:19,202110,202010,Other UK Airports,CITY OF DERRY (EGLINTON),7752,0,7752,3631,113.494905
13/12/2021 09:19,202110,202010,Other UK Airports,DONCASTER SHEFFIELD,0,37,37,167,-77.844311
13/12/2021 09:19,202110,202010,Other UK Airports,DUNDEE,0,0,0,905,Null
13/12/2021 09:19,202110,202010,Other UK Airports,EAST MIDLANDS INTERNATIONAL,8278,105,8383,3105,169.983897
13/12/2021 09:19,202110,202010,Other UK Airports,EDINBURGH,236938,419,237357,80423,195.135720
13/12/2021 09:19,202110,202010,Other UK Airports,EXETER,13795,0,13795,3032,354.980211
13/12/2021 09:19,202110,202010,London Area Airports,GATWICK,194261,405,194666,47932,306.129517
13/12/2021 09:19,202110,202010,Other UK Airports,GLASGOW,214573,0,214573,68774,211.997266
13/12/2021 09:19,202110,202010,Non UK Reporting Airports,GUERNSEY,45031,154,45185,7144,532.488802
13/12/2021 09:19,202110,202010,London Area Airports,HEATHROW,269330,57,269387,130872,105.840057
13/12/2021 09:19,202110,202010,Other UK Airports,HUMBERSIDE,873,0,873,649,34.514638
13/12/2021 09:19,202110,202010,Other UK Airports,INVERNESS,56763,0,56763,21590,162.913386
13/12/2021 09:19,202110,202010,Other UK Airports,ISLAY,2029,0,2029,781,159.795134
13/12/2021 09:19,202110,202010,Non UK Reporting Airports,ISLE OF MAN,33129,0,33129,3096,970.058140
13/12/2021 09:19,202110,202010,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8688,0,8688,7522,15.501196
13/12/2021 09:19,202110,202010,Non UK Reporting Airports,JERSEY,109810,0,109810,20405,438.152414
13/12/2021 09:19,202110,202010,Other UK Airports,KIRKWALL,9560,0,9560,4445,115.073116
13/12/2021 09:19,202110,202010,Other UK Airports,LANDS END (ST JUST),6540,0,6540,5679,15.161120
13/12/2021 09:19,202110,202010,Other UK Airports,LEEDS BRADFORD,12805,0,12805,2608,390.989264
13/12/2021 09:19,202110,202010,Other UK Airports,LERWICK (TINGWALL),267,0,267,171,56.140351
13/12/2021 09:19,202110,202010,Other UK Airports,LIVERPOOL (JOHN LENNON),57977,332,58309,14765,294.913647
13/12/2021 09:19,202110,202010,London Area Airports,LONDON CITY,37681,40,37721,5899,539.447364
13/12/2021 09:19,202110,202010,London Area Airports,LUTON,0,0,0,25744,Null
13/12/2021 09:19,202110,202010,Other UK Airports,MANCHESTER,108624,207,108831,29585,267.858712
13/12/2021 09:19,202110,202010,Other UK Airports,NEWCASTLE,55123,160,55283,18706,195.536192
13/12/2021 09:19,202110,202010,Other UK Airports,NEWQUAY,8544,0,8544,5597,52.653207
13/12/2021 09:19,202110,202010,Other UK Airports,NORWICH,4231,35,4266,1627,162.200369
13/12/2021 09:19,202110,202010,Other UK Airports,SOUTHAMPTON,34603,235,34838,10167,242.657618
13/12/2021 09:19,202110,202010,London Area Airports,SOUTHEND,0,0,0,32,Null
13/12/2021 09:19,202110,202010,London Area Airports,STANSTED,60069,40,60109,22865,162.886508
13/12/2021 09:19,202110,202010,Other UK Airports,STORNOWAY,8005,0,8005,3052,162.287025
13/12/2021 09:19,202110,202010,Other UK Airports,SUMBURGH,10848,3085,13933,7846,77.580933
13/12/2021 09:19,202110,202010,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,4252,63,4315,1756,145.728929
13/12/2021 09:19,202110,202010,Other UK Airports,TIREE,906,0,906,527,71.916509

